"","x"
"1",0.0514200988942189
"2",0.0526316487221646
"3",0.0536473580639346
"4",0.0545017768053224
"5",0.0551924073601958
"6",0.055764520642483
"7",0.0562270954910927
"8",0.0565989099563551
"9",0.0568825048561377
"10",0.0571001599171363
"11",0.0572598104635568
"12",0.0573677438671233
"13",0.0574313263851561
"14",0.0574585880355366
"15",0.0574550619223387
"16",0.057425376395647
"17",0.0573752749566362
"18",0.0573071174537537
"19",0.057223566576289
"20",0.0571248346507418
"21",0.0570255751998505
"22",0.0569146820044261
"23",0.0567943471885533
"24",0.0566724218779672
"25",0.0565504228288037
"26",0.0564253793968567
"27",0.0562995253624997
"28",0.0561722269614255
"29",0.0560482528970165
"30",0.0559239750476231
"31",0.0557998599699751
"32",0.0556776362847271
"33",0.0555601738270349
"34",0.055443738451914
"35",0.0553285777925322
"36",0.0552161139946648
"37",0.0551087927857743
"38",0.0550030497405681
"39",0.0548990097137016
"40",0.0547978615900274
