Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,JACK,6.71675597,7.06742998,6.68978105,6.87860551,15.93750000,6.87860551,6.87860551,3418,0,3418,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,23511
19971202,54,JACK,6.85163059,6.87860551,6.58188135,6.71675597,15.56250000,6.71675597,6.71675597,3661,0,3661,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,24590
19971203,54,JACK,6.77070582,6.82465566,6.74373089,6.79768074,15.75000000,6.79768074,6.79768074,2310,0,2310,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15703
19971204,54,JACK,6.79768074,7.01348013,6.79768074,6.90558044,16.00000000,6.90558044,6.90558044,4222,0,4222,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,29155
19971205,54,JACK,6.87860551,7.01348013,6.87860551,6.90558044,16.00000000,6.90558044,6.90558044,1010,0,1010,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6975
19971208,54,JACK,6.90558044,7.14835475,6.85163059,7.09440490,16.43750000,7.09440490,7.09440490,982,0,982,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6967
19971209,54,JACK,7.12137982,7.17532967,7.01348013,7.04045505,16.31250000,7.04045505,7.04045505,871,0,871,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6132
19971210,54,JACK,7.12137982,7.17532967,6.90558044,6.95953028,16.12500000,6.95953028,6.95953028,4361,0,4361,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,30351
19971211,54,JACK,6.90558044,6.90558044,6.60885628,6.60885628,15.31250000,6.60885628,6.60885628,2238,0,2238,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14791
19971212,54,JACK,6.60885628,6.66280612,6.28515719,6.36608196,14.75000000,6.36608196,6.36608196,3529,0,3529,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22466
19971215,54,JACK,6.36608196,6.63583120,6.36608196,6.36608196,14.75000000,6.36608196,6.36608196,5019,0,5019,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,31951
19971216,54,JACK,6.36608196,6.60885628,6.17725750,6.50095658,15.06250000,6.50095658,6.50095658,7261,0,7261,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,47203
19971217,54,JACK,6.55490643,6.63583120,6.36608196,6.47398166,15.00000000,6.47398166,6.47398166,8524,0,8524,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,55184
19971218,54,JACK,6.47398166,6.47398166,6.31213212,6.42003181,14.87500000,6.42003181,6.42003181,8244,0,8244,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,52927
19971219,54,JACK,6.42003181,6.60885628,6.36608196,6.52793151,15.12500000,6.52793151,6.52793151,1738,0,1738,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11346
19971222,54,JACK,6.58188135,6.79768074,6.58188135,6.74373089,15.62500000,6.74373089,6.74373089,3355,0,3355,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22625
19971223,54,JACK,6.77070582,6.90558044,6.74373089,6.74373089,15.62500000,6.74373089,6.74373089,2363,0,2363,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15935
19971224,54,JACK,6.79768074,6.79768074,6.25818227,6.39305689,14.81250000,6.39305689,6.39305689,27078,0,27078,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,173111
19971225,54,JACK,6.79768074,6.79768074,6.25818227,6.39305689,14.81250000,14.81250000,6.39305689,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,JACK,6.44700673,6.47398166,6.39305689,6.42003181,14.87500000,6.42003181,6.42003181,1135,0,1135,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7287
19971229,54,JACK,6.42003181,6.52793151,6.39305689,6.42003181,14.87500000,6.42003181,6.42003181,2435,0,2435,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15633
19971230,54,JACK,6.44700673,6.50095658,6.42003181,6.44700673,14.93750000,6.44700673,6.44700673,4284,0,4284,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,27619
19971231,54,JACK,6.33910704,6.68978105,6.09633273,6.50095658,15.06250000,6.50095658,6.50095658,21170,0,21170,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,137625
19980101,54,JACK,6.33910704,6.68978105,6.09633273,6.50095658,15.06250000,15.06250000,6.50095658,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,JACK,6.55490643,6.68978105,6.36608196,6.47398166,15.00000000,6.47398166,6.47398166,1784,0,1784,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11550
19980105,54,JACK,6.47398166,6.74373089,6.47398166,6.66280612,15.43750000,6.66280612,6.66280612,6131,0,6131,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,40850
19980106,54,JACK,6.74373089,6.87860551,6.44700673,6.47398166,15.00000000,6.47398166,6.47398166,27111,0,27111,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,175516
