Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,MarketCap
19971201,54,MCD,14.53000000,14.59000000,14.40000000,14.57000000,48.87500000,14.57000000,14.57000000,46167,0,46167,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971202,54,MCD,14.34000000,14.55000000,14.34000000,14.55000000,48.81250000,14.55000000,14.55000000,42135,0,42135,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971203,54,MCD,14.49000000,14.51000000,14.29000000,14.38000000,48.25000000,14.38000000,14.38000000,57081,0,57081,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971204,54,MCD,14.46000000,14.47000000,14.16000000,14.20000000,47.62500000,14.20000000,14.20000000,63073,0,63073,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971205,54,MCD,14.05000000,14.31000000,14.03000000,14.18000000,47.56250000,14.18000000,14.18000000,52065,0,52065,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971208,54,MCD,14.08000000,14.20000000,14.05000000,14.16000000,47.50000000,14.16000000,14.16000000,47281,0,47281,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971209,54,MCD,14.14000000,14.25000000,14.03000000,14.20000000,47.62500000,14.20000000,14.20000000,59557,0,59557,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971210,54,MCD,14.18000000,14.23000000,14.01000000,14.07000000,47.18750000,14.07000000,14.07000000,51908,0,51908,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971211,54,MCD,13.99000000,13.99000000,13.71000000,13.71000000,46.00000000,13.71000000,13.71000000,67310,0,67310,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971212,54,MCD,13.79000000,13.84000000,13.71000000,13.82000000,46.37500000,13.82000000,13.82000000,44654,0,44654,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971215,54,MCD,13.86000000,13.93000000,13.71000000,13.71000000,46.00000000,13.71000000,13.71000000,57460,0,57460,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971216,54,MCD,13.71000000,13.93000000,13.56000000,13.62000000,45.68750000,13.62000000,13.62000000,97951,0,97951,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971217,54,MCD,13.66000000,13.67000000,13.49000000,13.52000000,45.37500000,13.52000000,13.52000000,71561,0,71561,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971218,54,MCD,13.47000000,13.54000000,13.41000000,13.41000000,45.00000000,13.41000000,13.41000000,51254,0,51254,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971219,54,MCD,13.43000000,13.82000000,13.23000000,13.69000000,45.93750000,13.69000000,13.69000000,100971,0,100971,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971222,54,MCD,13.67000000,13.86000000,13.67000000,13.82000000,46.37500000,13.82000000,13.82000000,39927,0,39927,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971223,54,MCD,13.75000000,13.84000000,13.69000000,13.82000000,46.37500000,13.82000000,13.82000000,37032,0,37032,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971224,54,MCD,13.86000000,13.86000000,13.69000000,13.69000000,45.93750000,13.69000000,13.69000000,23528,0,23528,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971225,54,MCD,13.86000000,13.86000000,13.69000000,13.69000000,45.93750000,45.93750000,13.69000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,MCD,13.69000000,13.77000000,13.45000000,13.47000000,45.18750000,13.47000000,13.47000000,18754,0,18754,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971229,54,MCD,13.56000000,13.82000000,13.52000000,13.79000000,46.25000000,13.79000000,13.79000000,30248,0,30248,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971230,54,MCD,13.80000000,14.10000000,13.80000000,14.08000000,47.25000000,14.08000000,14.08000000,56212,0,56212,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971231,54,MCD,14.03000000,14.23000000,13.86000000,14.23000000,47.75000000,14.23000000,14.23000000,91016,0,91016,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980101,54,MCD,14.03000000,14.23000000,13.86000000,14.23000000,47.75000000,47.75000000,14.23000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,MCD,14.27000000,14.31000000,13.97000000,14.20000000,47.62500000,14.20000000,14.20000000,42323,0,42323,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980105,54,MCD,14.20000000,14.20000000,14.05000000,14.16000000,47.50000000,14.16000000,14.16000000,80291,0,80291,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980106,54,MCD,14.10000000,14.23000000,14.01000000,14.20000000,47.62500000,14.20000000,14.20000000,57011,0,57011,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980107,54,MCD,14.05000000,14.14000000,13.97000000,14.08000000,47.25000000,14.08000000,14.08000000,50472,0,50472,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980108,54,MCD,14.01000000,14.05000000,13.82000000,13.82000000,46.37500000,13.82000000,13.82000000,40618,0,40618,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980109,54,MCD,13.80000000,13.82000000,13.49000000,13.52000000,45.37500000,13.52000000,13.52000000,63600,0,63600,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980112,54,MCD,13.34000000,13.92000000,13.30000000,13.82000000,46.37500000,13.82000000,13.82000000,58749,0,58749,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980113,54,MCD,13.86000000,14.05000000,13.80000000,14.05000000,47.12500000,14.05000000,14.05000000,52146,0,52146,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980114,54,MCD,14.03000000,14.07000000,13.79000000,14.03000000,47.06250000,14.03000000,14.03000000,50885,0,50885,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980115,54,MCD,13.99000000,14.12000000,13.82000000,13.95000000,46.81250000,13.95000000,13.95000000,48154,0,48154,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980116,54,MCD,14.12000000,14.29000000,13.99000000,14.18000000,47.56250000,14.18000000,14.18000000,64348,0,64348,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
