Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,MCD,13.73189990,13.78471490,13.60866490,13.76710990,48.87500000,13.76710990,13.76710990,48853,0,48853,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,672565
19971202,54,MCD,13.55584990,13.74950490,13.55584990,13.74950490,48.81250000,13.74950490,13.74950490,44586,0,44586,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,613035
19971203,54,MCD,13.69668990,13.71429490,13.50303490,13.59105990,48.25000000,13.59105990,13.59105990,60402,0,60402,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,820927
19971204,54,MCD,13.66147990,13.67908490,13.37979990,13.41500990,47.62500000,13.41500990,13.41500990,66742,0,66742,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,895345
19971205,54,MCD,13.27416990,13.52063990,13.25656490,13.39740490,47.56250000,13.39740490,13.39740490,55094,0,55094,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,738117
19971208,54,MCD,13.30937990,13.41500990,13.27416990,13.37979990,47.50000000,13.37979990,13.37979990,50032,0,50032,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,669418
19971209,54,MCD,13.36219490,13.46782490,13.25656490,13.41500990,47.62500000,13.41500990,13.41500990,63022,0,63022,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,845441
19971210,54,MCD,13.39740490,13.45021990,13.23895990,13.29177490,47.18750000,13.29177490,13.29177490,54928,0,54928,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,730091
19971211,54,MCD,13.22135490,13.22135490,12.95727990,12.95727990,46.00000000,12.95727990,12.95727990,71226,0,71226,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,922895
19971212,54,MCD,13.02769990,13.08051490,12.95727990,13.06290990,46.37500000,13.06290990,13.06290990,47252,0,47252,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,617249
19971215,54,MCD,13.09811990,13.16853990,12.95727990,12.95727990,46.00000000,12.95727990,12.95727990,60803,0,60803,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,787841
19971216,54,MCD,12.95727990,13.16853990,12.81643990,12.86925490,45.68750000,12.86925490,12.86925490,103650,0,103650,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1333898
19971217,54,MCD,12.90446490,12.92206990,12.74601991,12.78122990,45.37500000,12.78122990,12.78122990,75724,0,75724,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,967846
19971218,54,MCD,12.72841491,12.79883490,12.67559991,12.67559991,45.00000000,12.67559991,12.67559991,54235,0,54235,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,687461
19971219,54,MCD,12.69320491,13.06290990,12.49954991,12.93967490,45.93750000,12.93967490,12.93967490,106845,0,106845,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1382540
19971222,54,MCD,12.92206990,13.09811990,12.92206990,13.06290990,46.37500000,13.06290990,13.06290990,42250,0,42250,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,551908
19971223,54,MCD,12.99248990,13.08051490,12.93967490,13.06290990,46.37500000,13.06290990,13.06290990,39186,0,39186,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,511883
19971224,54,MCD,13.09811990,13.09811990,12.93967490,12.93967490,45.93750000,12.93967490,12.93967490,24897,0,24897,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,322159
19971225,54,MCD,13.09811990,13.09811990,12.93967490,12.93967490,45.93750000,45.93750000,12.93967490,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,MCD,12.93967490,13.01009490,12.71080991,12.72841491,45.18750000,12.72841491,12.72841491,19845,0,19845,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,252595
19971229,54,MCD,12.81643990,13.06290990,12.78122990,13.02769990,46.25000000,13.02769990,13.02769990,32008,0,32008,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,416991
19971230,54,MCD,13.04530490,13.32698490,13.04530490,13.30937990,47.25000000,13.30937990,13.30937990,59482,0,59482,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,791669
19971231,54,MCD,13.25656490,13.45021990,13.09811990,13.45021990,47.75000000,13.45021990,13.45021990,96311,0,96311,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1295404
19980101,54,MCD,13.25656490,13.45021990,13.09811990,13.45021990,47.75000000,47.75000000,13.45021990,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,MCD,13.48542990,13.52063990,13.20374990,13.41500990,47.62500000,13.41500990,13.41500990,44785,0,44785,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,600791
19980105,54,MCD,13.41500990,13.41500990,13.27416990,13.37979990,47.50000000,13.37979990,13.37979990,84962,0,84962,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1136775
19980106,54,MCD,13.32698490,13.45021990,13.23895990,13.41500990,47.62500000,13.41500990,13.41500990,60327,0,60327,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,809287
19980107,54,MCD,13.27416990,13.36219490,13.20374990,13.30937990,47.25000000,13.30937990,13.30937990,53408,0,53408,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,710827
19980108,54,MCD,13.23895990,13.27416990,13.06290990,13.06290990,46.37500000,13.06290990,13.06290990,42981,0,42981,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,561457
19980109,54,MCD,13.04530490,13.06290990,12.74601991,12.78122990,45.37500000,12.78122990,12.78122990,67300,0,67300,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,860177
19980112,54,MCD,12.60517991,13.15093490,12.56996991,13.06290990,46.37500000,13.06290990,13.06290990,62166,0,62166,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,812069
19980113,54,MCD,13.09811990,13.27416990,13.04530490,13.27416990,47.12500000,13.27416990,13.27416990,55180,0,55180,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,732469
19980114,54,MCD,13.25656490,13.29177490,13.02769990,13.25656490,47.06250000,13.25656490,13.25656490,53845,0,53845,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,713800
19980115,54,MCD,13.22135490,13.34458990,13.06290990,13.18614490,46.81250000,13.18614490,13.18614490,50955,0,50955,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,671900
19980116,54,MCD,13.34458990,13.50303490,13.22135490,13.39740490,47.56250000,13.39740490,13.39740490,68091,0,68091,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,912243
19980119,54,MCD,13.34458990,13.50303490,13.22135490,13.39740490,47.56250000,47.56250000,13.39740490,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,MCD,13.30937990,13.52063990,13.29177490,13.52063990,48.00000000,13.52063990,13.52063990,68546,0,68546,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,926786
19980121,54,MCD,13.27416990,13.41500990,13.18614490,13.34458990,47.37500000,13.34458990,13.34458990,66778,0,66778,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,891125
19980122,54,MCD,13.27416990,13.48542990,13.22135490,13.48542990,47.87500000,13.48542990,13.48542990,58716,0,58716,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,791811
19980123,54,MCD,13.43261490,13.46782490,13.09811990,13.25656490,47.06250000,13.25656490,13.25656490,86882,0,86882,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1151757
19980126,54,MCD,13.11572490,13.29177490,13.02769990,13.23895990,47.00000000,13.23895990,13.23895990,48630,0,48630,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,643811
19980127,54,MCD,13.18614490,13.45021990,13.15093490,13.32698490,47.31250000,13.32698490,13.32698490,73481,0,73481,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,979280
19980128,54,MCD,13.32698490,13.48542990,13.16853990,13.41500990,47.62500000,13.41500990,13.41500990,61804,0,61804,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,829101
