Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,SPY,61.34044303,62.53577482,61.22090985,62.53577482,98.09375000,62.53577482,62.53577482,76091,0,76091,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4758410
19971202,54,SPY,62.27678627,62.46604713,61.99787552,62.15725309,97.50000000,62.15725309,62.15725309,30978,0,30978,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1925507
19971203,54,SPY,62.23694187,62.81468557,61.75880916,62.33655286,97.78125000,62.33655286,62.33655286,51803,0,51803,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3229220
19971204,54,SPY,62.79476338,62.93421875,62.07756430,62.27678627,97.68750000,62.27678627,62.27678627,45058,0,45058,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2806067
19971205,54,SPY,62.07756430,63.11351852,61.91818673,63.07367413,98.93750000,63.07367413,63.07367413,54255,0,54255,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3422062
19971208,54,SPY,63.09359632,63.11351852,62.63538580,62.89437436,98.65625000,62.89437436,62.89437436,35908,0,35908,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2258411
19971209,54,SPY,62.61546361,62.85452997,62.23694187,62.51585263,98.06250000,62.51585263,62.51585263,26713,0,26713,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1669986
19971210,54,SPY,62.19709748,62.37639725,61.49982060,61.97795332,97.21875000,61.97795332,61.97795332,55817,0,55817,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3459423
19971211,54,SPY,61.40020962,61.57950939,60.76269933,60.92207690,95.56250000,60.92207690,60.92207690,79572,0,79572,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4847692
19971212,54,SPY,61.47989841,61.51974280,60.50371078,61.04161008,95.75000000,61.04161008,61.04161008,70248,0,70248,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4288051
19971215,54,SPY,61.36036523,61.90822563,61.12129887,61.65919818,96.71875000,61.65919818,61.65919818,73327,0,73327,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4521284
