Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,AAPL,0.14000000,0.14000000,0.13000000,0.14000000,17.75000000,0.14000000,0.14000000,1018729,0,1018729,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,142622
19971202,54,AAPL,0.13000000,0.13000000,0.12000000,0.12000000,15.87500000,0.12000000,0.12000000,4633915,0,4633915,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,556070
19971203,54,AAPL,0.12000000,0.12000000,0.12000000,0.12000000,15.75000000,0.12000000,0.12000000,4006119,0,4006119,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,480734
19971204,54,AAPL,0.12000000,0.12000000,0.12000000,0.12000000,15.62500000,0.12000000,0.12000000,2331344,0,2331344,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,279761
19971205,54,AAPL,0.12000000,0.12000000,0.12000000,0.12000000,15.81250000,0.12000000,0.12000000,2586255,0,2586255,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,310351
19971208,54,AAPL,0.12000000,0.12000000,0.12000000,0.12000000,15.56250000,0.12000000,0.12000000,1559941,0,1559941,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,187193
19971209,54,AAPL,0.12000000,0.12000000,0.11000000,0.12000000,15.25000000,0.12000000,0.12000000,2838289,0,2838289,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,340595
19971210,54,AAPL,0.12000000,0.12000000,0.11000000,0.11000000,14.75000000,0.11000000,0.11000000,2275758,0,2275758,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,250333
19971211,54,AAPL,0.11000000,0.11000000,0.11000000,0.11000000,14.56250000,0.11000000,0.11000000,3000470,0,3000470,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,330052
19971212,54,AAPL,0.11000000,0.11000000,0.11000000,0.11000000,14.12500000,0.11000000,0.11000000,1875016,0,1875016,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,206252
19971215,54,AAPL,0.11000000,0.11000000,0.11000000,0.11000000,13.93750000,0.11000000,0.11000000,1937272,0,1937272,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,213100
19971216,54,AAPL,0.11000000,0.11000000,0.11000000,0.11000000,14.31250000,0.11000000,0.11000000,2167725,0,2167725,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,238450
19971217,54,AAPL,0.11000000,0.11000000,0.11000000,0.11000000,13.93750000,0.11000000,0.11000000,3098040,0,3098040,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,340784
19971218,54,AAPL,0.11000000,0.11000000,0.11000000,0.11000000,13.81250000,0.11000000,0.11000000,2359464,0,2359464,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,259541
19971219,54,AAPL,0.10000000,0.11000000,0.10000000,0.10000000,13.68750000,0.10000000,0.10000000,2225927,0,2225927,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,222593
19971222,54,AAPL,0.11000000,0.11000000,0.10000000,0.10000000,13.31250000,0.10000000,0.10000000,1862329,0,1862329,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,186233
19971223,54,AAPL,0.10000000,0.10000000,0.10000000,0.10000000,12.93750000,0.10000000,0.10000000,5358103,0,5358103,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,535810
19971224,54,AAPL,0.10000000,0.10000000,0.10000000,0.10000000,13.12500000,0.10000000,0.10000000,1142457,0,1142457,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,114246
19971225,54,AAPL,0.10000000,0.10000000,0.10000000,0.10000000,13.12500000,13.12500000,0.10000000,0,0,0,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,AAPL,0.10000000,0.10000000,0.10000000,0.10000000,13.31250000,0.10000000,0.10000000,1259776,0,1259776,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,125978
19971229,54,AAPL,0.10000000,0.10000000,0.10000000,0.10000000,13.12500000,0.10000000,0.10000000,3248710,0,3248710,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,324871
19971230,54,AAPL,0.10000000,0.10000000,0.10000000,0.10000000,13.18750000,0.10000000,0.10000000,3999711,0,3999711,0,"Technology","Technology/Hardware","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,399971
