Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
20031204,54,AEL,7.69000000,7.99000000,7.69000000,7.74000000,9.05000000,7.74000000,7.74000000,53799,0,53799,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,416404
20031205,54,AEL,7.74000000,8.20000000,7.74000000,8.05000000,9.42000000,8.05000000,8.05000000,42484,0,42484,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,341996
20031208,54,AEL,8.04000000,8.22000000,7.91000000,7.99000000,9.35000000,7.99000000,7.99000000,2939,0,2939,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,23483
20031209,54,AEL,8.08000000,8.10000000,7.77000000,7.81000000,9.13000000,7.81000000,7.81000000,4733,0,4733,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,36965
20031210,54,AEL,7.82000000,7.87000000,7.71000000,7.78000000,9.10000000,7.78000000,7.78000000,2115,0,2115,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,16455
20031211,54,AEL,7.81000000,7.90000000,7.74000000,7.76000000,9.08000000,7.76000000,7.76000000,3192,0,3192,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,24770
20031212,54,AEL,7.75000000,7.78000000,7.31000000,7.78000000,9.10000000,7.78000000,7.78000000,3559,0,3559,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,27689
20031215,54,AEL,7.75000000,7.75000000,7.69000000,7.70000000,9.01000000,7.70000000,7.70000000,3427,0,3427,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,26388
20031216,54,AEL,7.75000000,7.78000000,7.70000000,7.71000000,9.02000000,7.71000000,7.71000000,627,0,627,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4834
20031217,54,AEL,7.72000000,7.82000000,7.71000000,7.77000000,9.08000000,7.77000000,7.77000000,957,0,957,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7436
20031218,54,AEL,7.79000000,7.86000000,7.77000000,7.81000000,9.12000000,7.81000000,7.81000000,1142,0,1142,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8919
20031219,54,AEL,7.79000000,7.90000000,7.77000000,7.87000000,9.20000000,7.87000000,7.87000000,1979,0,1979,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15575
20031222,54,AEL,7.87000000,7.98000000,7.85000000,7.87000000,9.20000000,7.87000000,7.87000000,1060,0,1060,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8342
20031223,54,AEL,7.87000000,7.97000000,7.84000000,7.87000000,9.20000000,7.87000000,7.87000000,2124,0,2124,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,16716
20031224,54,AEL,7.85000000,7.92000000,7.79000000,7.90000000,9.23000000,7.90000000,7.90000000,506,0,506,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3997
20031225,54,AEL,7.85000000,7.92000000,7.79000000,7.90000000,9.23000000,9.23000000,7.90000000,0,0,0,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20031226,54,AEL,7.92000000,8.20000000,7.88000000,8.09000000,9.45000000,8.09000000,8.09000000,1347,0,1347,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,10897
20031229,54,AEL,8.10000000,8.26000000,8.00000000,8.05000000,9.40000000,8.05000000,8.05000000,1861,0,1861,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14981
20031230,54,AEL,8.05000000,8.37000000,7.99000000,8.28000000,9.67000000,8.28000000,8.28000000,3108,0,3108,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,25734
20031231,54,AEL,8.36000000,8.82000000,8.36000000,8.53000000,9.97000000,8.53000000,8.53000000,8840,0,8840,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,75405
20040101,54,AEL,8.36000000,8.82000000,8.36000000,8.53000000,9.97000000,9.97000000,8.53000000,0,0,0,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20040102,54,AEL,8.60000000,8.90000000,8.60000000,8.76000000,10.23000000,8.76000000,8.76000000,1890,0,1890,0,"Financials","Financials/Insurance","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,16556
