Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,BA,33.81000000,34.36000000,33.81000000,33.93000000,53.93750000,33.93000000,33.93000000,74830,0,74830,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2538982
19971202,54,BA,33.93000000,34.20000000,33.61000000,33.96000000,54.00000000,33.96000000,33.96000000,46978,0,46978,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1595373
19971203,54,BA,33.96000000,34.12000000,33.30000000,33.89000000,53.87500000,33.89000000,33.89000000,40899,0,40899,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1386067
19971204,54,BA,33.81000000,33.81000000,32.63000000,32.98000000,52.43750000,32.98000000,32.98000000,62946,0,62946,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2075959
19971205,54,BA,32.98000000,33.89000000,32.86000000,32.94000000,52.37500000,32.94000000,32.94000000,69447,0,69447,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2287584
19971208,54,BA,32.90000000,32.90000000,32.20000000,32.35000000,51.43750000,32.35000000,32.35000000,66482,0,66482,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2150693
19971209,54,BA,32.35000000,32.35000000,31.80000000,31.92000000,50.75000000,31.92000000,31.92000000,43423,0,43423,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1386062
19971210,54,BA,31.84000000,31.84000000,30.94000000,31.41000000,49.93750000,31.41000000,31.41000000,54236,0,54236,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1703553
19971211,54,BA,31.17000000,31.17000000,30.39000000,30.58000000,48.62500000,30.58000000,30.58000000,53162,0,53162,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1625694
19971212,54,BA,30.58000000,31.21000000,30.35000000,30.82000000,49.00000000,30.82000000,30.82000000,35216,0,35216,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1085357
19971215,54,BA,30.82000000,31.02000000,30.66000000,30.78000000,48.93750000,30.78000000,30.78000000,44221,0,44221,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1361122
19971216,54,BA,31.17000000,31.92000000,31.17000000,31.84000000,50.62500000,31.84000000,31.84000000,64917,0,64917,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2066957
19971217,54,BA,31.84000000,32.55000000,31.57000000,31.80000000,50.56250000,31.80000000,31.80000000,57783,0,57783,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1837499
19971218,54,BA,31.57000000,31.57000000,31.02000000,31.33000000,49.81250000,31.33000000,31.33000000,43951,0,43951,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1376985
19971219,54,BA,30.94000000,30.94000000,29.80000000,30.54000000,48.56250000,30.54000000,30.54000000,67232,0,67232,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2053265
19971222,54,BA,30.54000000,30.94000000,30.19000000,30.66000000,48.75000000,30.66000000,30.66000000,34995,0,34995,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1072947
19971223,54,BA,30.66000000,30.94000000,30.07000000,30.27000000,48.12500000,30.27000000,30.27000000,37423,0,37423,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1132794
19971224,54,BA,30.27000000,30.43000000,29.84000000,30.07000000,47.81250000,30.07000000,30.07000000,20166,0,20166,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,606392
19971225,54,BA,30.27000000,30.43000000,29.84000000,30.07000000,47.81250000,47.81250000,30.07000000,0,0,0,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,BA,30.07000000,30.19000000,29.95000000,30.07000000,47.81250000,30.07000000,30.07000000,11613,0,11613,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,349203
19971229,54,BA,30.19000000,30.66000000,30.19000000,30.31000000,48.18750000,30.31000000,30.31000000,34161,0,34161,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1035420
19971230,54,BA,30.31000000,30.62000000,30.11000000,30.43000000,48.37500000,30.43000000,30.43000000,43050,0,43050,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1310012
19971231,54,BA,30.47000000,31.02000000,30.47000000,30.78000000,48.93750000,30.78000000,30.78000000,56033,0,56033,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1724696
19980101,54,BA,30.47000000,31.02000000,30.47000000,30.78000000,48.93750000,48.93750000,30.78000000,0,0,0,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,BA,30.78000000,31.33000000,30.27000000,30.74000000,48.87500000,30.74000000,30.74000000,43902,0,43902,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1349547
19980105,54,BA,30.74000000,31.29000000,30.31000000,30.58000000,48.62500000,30.58000000,30.58000000,60672,0,60672,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1855350
19980106,54,BA,30.58000000,30.78000000,29.88000000,30.11000000,47.87500000,30.11000000,30.11000000,64405,0,64405,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1939235
19980107,54,BA,30.11000000,30.27000000,29.80000000,30.27000000,48.12500000,30.27000000,30.27000000,51363,0,51363,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1554758
19980108,54,BA,29.92000000,29.92000000,28.93000000,29.17000000,46.37500000,29.17000000,29.17000000,107045,0,107045,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,3122503
19980109,54,BA,29.17000000,29.21000000,28.30000000,28.38000000,45.12500000,28.38000000,28.38000000,74860,0,74860,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2124527
19980112,54,BA,28.38000000,28.66000000,27.64000000,28.54000000,45.37500000,28.54000000,28.54000000,64622,0,64622,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1844312
19980113,54,BA,28.54000000,29.05000000,28.11000000,28.34000000,45.06250000,28.34000000,28.34000000,59187,0,59187,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1677360
19980114,54,BA,28.38000000,29.09000000,28.38000000,29.09000000,46.25000000,29.09000000,29.09000000,54031,0,54031,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1571762
19980115,54,BA,28.66000000,28.66000000,27.75000000,27.75000000,44.12500000,27.75000000,27.75000000,85999,0,85999,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2386472
19980116,54,BA,27.75000000,28.07000000,27.05000000,27.32000000,43.43750000,27.32000000,27.32000000,185155,0,185155,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,5058435
19980119,54,BA,27.75000000,28.07000000,27.05000000,27.32000000,43.43750000,43.43750000,27.32000000,0,0,0,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,BA,27.32000000,27.83000000,26.93000000,27.36000000,43.50000000,27.36000000,27.36000000,122904,0,122904,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,3362653
19980121,54,BA,27.36000000,28.07000000,27.09000000,27.67000000,44.00000000,27.67000000,27.67000000,93737,0,93737,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2593703
19980122,54,BA,27.71000000,28.70000000,27.71000000,28.46000000,45.25000000,28.46000000,28.46000000,104598,0,104598,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2976859
19980123,54,BA,28.46000000,28.74000000,27.83000000,27.87000000,44.31250000,27.87000000,27.87000000,72604,0,72604,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2023473
19980126,54,BA,27.87000000,28.30000000,27.71000000,27.95000000,44.43750000,27.95000000,27.95000000,44256,0,44256,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1236955
19980127,54,BA,27.95000000,28.46000000,27.67000000,28.30000000,45.00000000,28.30000000,28.30000000,57182,0,57182,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1618251
19980128,54,BA,28.42000000,29.84000000,28.42000000,29.60000000,47.06250000,29.60000000,29.60000000,86872,0,86872,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2571411
19980129,54,BA,29.72000000,30.31000000,29.72000000,29.88000000,47.50000000,29.88000000,29.88000000,76799,0,76799,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,2294754
19980130,54,BA,29.88000000,30.27000000,29.76000000,29.95000000,47.62500000,29.95000000,29.95000000,48753,0,48753,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1460152
19980202,54,BA,30.23000000,30.74000000,30.23000000,30.39000000,48.31250000,30.39000000,30.39000000,61216,0,61216,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1860354
19980203,54,BA,30.39000000,30.58000000,30.23000000,30.39000000,48.31250000,30.39000000,30.39000000,48996,0,48996,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1488988
19980204,54,BA,30.35000000,30.35000000,29.76000000,29.84000000,47.43750000,29.84000000,29.84000000,58184,0,58184,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1736211
19980205,54,BA,29.84000000,30.11000000,28.97000000,29.44000000,46.81250000,29.44000000,29.44000000,66513,0,66513,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,27,26.590,26.590,26.590,27.550,N/A,N/A,1958143
