Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,CSX,1.83000000,1.86000000,1.83000000,1.86000000,53.12500000,1.86000000,1.86000000,83408,0,83408,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,155139
19971202,54,CSX,1.87000000,1.90000000,1.87000000,1.90000000,54.25000000,1.90000000,1.90000000,113538,0,113538,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,215722
19971203,54,CSX,1.90000000,1.91000000,1.89000000,1.89000000,54.18750000,1.89000000,1.89000000,235317,0,235317,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,444749
19971204,54,CSX,1.89000000,1.90000000,1.88000000,1.89000000,54.12500000,1.89000000,1.89000000,249223,0,249223,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,471031
19971205,54,CSX,1.89000000,1.90000000,1.88000000,1.88000000,53.75000000,1.88000000,1.88000000,90676,0,90676,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,170471
19971208,54,CSX,1.88000000,1.89000000,1.87000000,1.89000000,53.93750000,1.89000000,1.89000000,139805,0,139805,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,264231
19971209,54,CSX,1.88000000,1.89000000,1.87000000,1.89000000,53.93750000,1.89000000,1.89000000,235088,0,235088,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,444316
19971210,54,CSX,1.87000000,1.88000000,1.86000000,1.86000000,53.25000000,1.86000000,1.86000000,90504,0,90504,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,168337
19971211,54,CSX,1.86000000,1.87000000,1.84000000,1.85000000,53.00000000,1.85000000,1.85000000,78200,0,78200,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,144670
19971212,54,CSX,1.86000000,1.87000000,1.83000000,1.84000000,52.62500000,1.84000000,1.84000000,117945,0,117945,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,217019
19971215,54,CSX,1.84000000,1.89000000,1.84000000,1.87000000,53.50000000,1.87000000,1.87000000,71562,0,71562,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,133821
19971216,54,CSX,1.88000000,1.91000000,1.88000000,1.91000000,54.56250000,1.91000000,1.91000000,143439,0,143439,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,273968
19971217,54,CSX,1.92000000,1.93000000,1.91000000,1.92000000,54.81250000,1.92000000,1.92000000,166559,0,166559,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,319793
19971218,54,CSX,1.92000000,1.92000000,1.88000000,1.89000000,54.00000000,1.89000000,1.89000000,328511,0,328511,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,620886
19971219,54,CSX,1.85000000,1.88000000,1.82000000,1.88000000,53.87500000,1.88000000,1.88000000,246276,0,246276,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,462999
19971222,54,CSX,1.88000000,1.91000000,1.87000000,1.91000000,54.68750000,1.91000000,1.91000000,142752,0,142752,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,272656
19971223,54,CSX,1.92000000,1.92000000,1.84000000,1.85000000,52.93750000,1.85000000,1.85000000,73079,0,73079,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,135196
19971224,54,CSX,1.85000000,1.85000000,1.80000000,1.80000000,51.56250000,1.80000000,1.80000000,79459,0,79459,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,143026
19971225,54,CSX,1.85000000,1.85000000,1.80000000,1.80000000,51.56250000,51.56250000,1.80000000,0,0,0,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,CSX,1.80000000,1.81000000,1.78000000,1.79000000,51.12500000,1.79000000,1.79000000,65010,0,65010,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,116368
19971229,54,CSX,1.80000000,1.83000000,1.80000000,1.82000000,51.93750000,1.82000000,1.82000000,85783,0,85783,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,156125
