Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,CVX,16.53000000,16.70000000,16.32000000,16.59000000,79.62500000,16.59000000,16.59000000,75392,0,75392,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1250753
19971202,54,CVX,16.46000000,16.66000000,16.29000000,16.36000000,78.50000000,16.36000000,16.36000000,75469,0,75469,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1234673
19971203,54,CVX,16.31000000,16.52000000,16.20000000,16.37000000,78.56250000,16.37000000,16.37000000,125344,0,125344,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2051881
19971204,54,CVX,16.46000000,16.46000000,16.09000000,16.18000000,77.62500000,16.18000000,16.18000000,73367,0,73367,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1187078
19971205,54,CVX,16.13000000,16.65000000,16.13000000,16.52000000,79.25000000,16.52000000,16.52000000,70714,0,70714,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1168195
19971208,54,CVX,16.65000000,16.71000000,16.44000000,16.54000000,79.37500000,16.54000000,16.54000000,69572,0,69572,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1150721
19971209,54,CVX,16.46000000,16.52000000,16.26000000,16.36000000,78.50000000,16.36000000,16.36000000,45359,0,45359,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,742073
19971210,54,CVX,16.31000000,16.48000000,16.15000000,16.31000000,78.25000000,16.31000000,16.31000000,45978,0,45978,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,749901
19971211,54,CVX,16.31000000,16.33000000,16.06000000,16.16000000,77.56250000,16.16000000,16.16000000,46127,0,46127,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,745412
19971212,54,CVX,16.16000000,16.16000000,15.70000000,15.73000000,75.50000000,15.73000000,15.73000000,56573,0,56573,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,889893
19971215,54,CVX,15.79000000,16.05000000,15.79000000,15.88000000,76.18750000,15.88000000,15.88000000,60858,0,60858,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,966425
19971216,54,CVX,16.01000000,16.07000000,15.75000000,15.79000000,75.75000000,15.79000000,15.79000000,47610,0,47610,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,751762
19971217,54,CVX,15.77000000,15.86000000,15.58000000,15.60000000,74.87500000,15.60000000,15.60000000,61338,0,61338,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,956873
19971218,54,CVX,15.66000000,15.73000000,15.37000000,15.43000000,74.06250000,15.43000000,15.43000000,52490,0,52490,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,809921
19971219,54,CVX,15.41000000,15.58000000,14.90000000,15.46000000,74.18750000,15.46000000,15.46000000,97714,0,97714,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1510658
19971222,54,CVX,15.62000000,15.79000000,15.49000000,15.67000000,75.18750000,15.67000000,15.67000000,58272,0,58272,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,913122
