Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
20070411,54,HYG,40.53000000,40.55000000,40.53000000,40.53000000,104.35000000,40.53000000,40.53000000,49,0,49,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1986
20070412,54,HYG,40.56000000,40.56000000,40.53000000,40.56000000,104.42000000,40.56000000,40.56000000,157,0,157,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6368
20070413,54,HYG,40.55000000,40.59000000,40.48000000,40.48000000,104.23000000,40.48000000,40.48000000,88,0,88,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3562
20070416,54,HYG,40.50000000,40.50000000,40.45000000,40.47000000,104.19000000,40.47000000,40.47000000,196,0,196,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7932
20070417,54,HYG,40.45000000,40.55000000,40.45000000,40.45000000,104.14000000,40.45000000,40.45000000,723,0,723,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,29245
20070418,54,HYG,40.47000000,40.50000000,40.45000000,40.46000000,104.17000000,40.46000000,40.46000000,162,0,162,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6555
20070419,54,HYG,40.47000000,40.62000000,40.42000000,40.60000000,104.53000000,40.60000000,40.60000000,1223,0,1223,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,49654
20070420,54,HYG,40.60000000,40.60000000,40.57000000,40.58000000,104.47000000,40.58000000,40.58000000,126,0,126,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5113
20070423,54,HYG,40.62000000,40.65000000,40.57000000,40.60000000,104.53000000,40.60000000,40.60000000,44,0,44,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1786
20070424,54,HYG,40.62000000,40.90000000,40.56000000,40.88000000,105.25000000,40.88000000,40.88000000,10260,0,10260,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,419429
20070425,54,HYG,40.89000000,40.94000000,40.89000000,40.94000000,105.41000000,40.94000000,40.94000000,420,0,420,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,17195
20070426,54,HYG,40.95000000,41.02000000,40.90000000,41.02000000,105.60000000,41.02000000,41.02000000,1241,0,1241,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,50906
20070427,54,HYG,40.98000000,41.02000000,40.98000000,41.02000000,105.60000000,41.02000000,41.02000000,214,0,214,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8778
20070430,54,HYG,41.00000000,41.03000000,40.91000000,41.02000000,105.61000000,41.02000000,41.02000000,399,0,399,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,16367
20070501,54,HYG,41.00000000,41.06000000,41.00000000,41.03000000,105.33000000,41.03000000,41.03000000,221,0,221,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9068
20070502,54,HYG,41.03000000,41.05000000,40.97000000,41.01000000,105.29000000,41.01000000,41.01000000,121,0,121,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4962
20070503,54,HYG,41.04000000,41.08000000,40.97000000,41.01000000,105.30000000,41.01000000,41.01000000,442,0,442,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,18126
20070504,54,HYG,41.03000000,41.07000000,40.98000000,41.06000000,105.43000000,41.06000000,41.06000000,118,0,118,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4845
20070507,54,HYG,41.02000000,41.06000000,41.01000000,41.06000000,105.42000000,41.06000000,41.06000000,108,0,108,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4434
20070508,54,HYG,41.11000000,41.11000000,41.07000000,41.09000000,105.50000000,41.09000000,41.09000000,413,0,413,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,16970
20070509,54,HYG,41.13000000,41.13000000,40.96000000,40.98000000,105.22000000,40.98000000,40.98000000,241,0,241,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9876
20070510,54,HYG,41.17000000,41.21000000,41.10000000,41.13000000,105.60000000,41.13000000,41.13000000,447,0,447,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,18385
20070511,54,HYG,41.15000000,41.20000000,41.12000000,41.15000000,105.66000000,41.15000000,41.15000000,313,0,313,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12880
20070514,54,HYG,41.17000000,41.17000000,41.11000000,41.15000000,105.65000000,41.15000000,41.15000000,298,0,298,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12263
20070515,54,HYG,41.17000000,41.26000000,41.12000000,41.12000000,105.57000000,41.12000000,41.12000000,1012,0,1012,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,41613
20070516,54,HYG,41.22000000,41.23000000,41.22000000,41.23000000,105.85000000,41.23000000,41.23000000,2005,0,2005,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,82666
20070517,54,HYG,41.24000000,41.26000000,41.17000000,41.22000000,105.82000000,41.22000000,41.22000000,372,0,372,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15334
20070518,54,HYG,41.27000000,41.27000000,41.23000000,41.23000000,105.85000000,41.23000000,41.23000000,134,0,134,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5525
20070521,54,HYG,41.26000000,41.27000000,41.23000000,41.27000000,105.95000000,41.27000000,41.27000000,375,0,375,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15476
20070522,54,HYG,41.32000000,41.32000000,41.18000000,41.27000000,105.96000000,41.27000000,41.27000000,262,0,262,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,10813
20070523,54,HYG,41.26000000,41.33000000,41.17000000,41.24000000,105.88000000,41.24000000,41.24000000,578,0,578,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,23837
20070524,54,HYG,41.30000000,41.30000000,41.23000000,41.25000000,105.91000000,41.25000000,41.25000000,439,0,439,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,18109
20070525,54,HYG,41.27000000,41.47000000,41.21000000,41.31000000,106.06000000,41.31000000,41.31000000,190,0,190,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7849
20070528,54,HYG,41.27000000,41.47000000,41.21000000,41.31000000,106.06000000,106.06000000,41.31000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20070529,54,HYG,41.17000000,41.18000000,41.12000000,41.15000000,105.64000000,41.15000000,41.15000000,126,0,126,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5185
20070530,54,HYG,41.24000000,41.26000000,41.19000000,41.24000000,105.88000000,41.24000000,41.24000000,110,0,110,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4536
20070531,54,HYG,41.24000000,41.24000000,41.15000000,41.17000000,105.71000000,41.17000000,41.17000000,159,0,159,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6546
20070601,54,HYG,41.17000000,41.18000000,41.11000000,41.17000000,105.11000000,41.17000000,41.17000000,345,0,345,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14204
20070604,54,HYG,41.20000000,41.21000000,41.13000000,41.20000000,105.20000000,41.20000000,41.20000000,557,0,557,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22948
20070605,54,HYG,41.21000000,41.21000000,41.14000000,41.14000000,105.05000000,41.14000000,41.14000000,115,0,115,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4731
20070606,54,HYG,41.12000000,41.15000000,41.08000000,41.09000000,104.92000000,41.09000000,41.09000000,1905,0,1905,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,78276
20070607,54,HYG,41.02000000,41.02000000,40.81000000,40.90000000,104.43000000,40.90000000,40.90000000,309,0,309,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12638
20070608,54,HYG,40.82000000,40.84000000,40.70000000,40.79000000,104.15000000,40.79000000,40.79000000,454,0,454,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,18519
20070611,54,HYG,40.69000000,40.76000000,40.58000000,40.71000000,103.93000000,40.71000000,40.71000000,74,0,74,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3013
20070612,54,HYG,40.64000000,40.65000000,40.37000000,40.50000000,103.40000000,40.50000000,40.50000000,1718,0,1718,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,69579
20070613,54,HYG,40.59000000,40.66000000,40.29000000,40.57000000,103.58000000,40.57000000,40.57000000,628,0,628,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,25478
20070614,54,HYG,40.47000000,40.60000000,40.40000000,40.60000000,103.66000000,40.60000000,40.60000000,465,0,465,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,18879
20070615,54,HYG,40.54000000,40.61000000,40.54000000,40.59000000,103.64000000,40.59000000,40.59000000,345,0,345,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14004
20070618,54,HYG,40.70000000,40.70000000,40.50000000,40.62000000,103.70000000,40.62000000,40.62000000,373,0,373,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15151
20070619,54,HYG,40.67000000,40.67000000,40.48000000,40.67000000,103.83000000,40.67000000,40.67000000,500,0,500,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,20335
