Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,JACK,6.84000000,7.19000000,6.81000000,7.00000000,15.93750000,7.00000000,7.00000000,3358,0,3358,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,23506
19971202,54,JACK,6.97000000,7.00000000,6.70000000,6.84000000,15.56250000,6.84000000,6.84000000,3597,0,3597,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,24603
19971203,54,JACK,6.89000000,6.95000000,6.86000000,6.92000000,15.75000000,6.92000000,6.92000000,2270,0,2270,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15708
19971204,54,JACK,6.92000000,7.14000000,6.92000000,7.03000000,16.00000000,7.03000000,7.03000000,4148,0,4148,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,29160
19971205,54,JACK,7.00000000,7.14000000,7.00000000,7.03000000,16.00000000,7.03000000,7.03000000,993,0,993,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6981
19971208,54,JACK,7.03000000,7.28000000,6.97000000,7.22000000,16.43750000,7.22000000,7.22000000,965,0,965,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6967
19971209,54,JACK,7.25000000,7.30000000,7.14000000,7.17000000,16.31250000,7.17000000,7.17000000,856,0,856,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6138
19971210,54,JACK,7.25000000,7.30000000,7.03000000,7.08000000,16.12500000,7.08000000,7.08000000,4284,0,4284,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,30331
19971211,54,JACK,7.03000000,7.03000000,6.73000000,6.73000000,15.31250000,6.73000000,6.73000000,2199,0,2199,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14799
19971212,54,JACK,6.73000000,6.78000000,6.40000000,6.48000000,14.75000000,6.48000000,6.48000000,3467,0,3467,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22466
19971215,54,JACK,6.48000000,6.75000000,6.48000000,6.48000000,14.75000000,6.48000000,6.48000000,4931,0,4931,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,31953
19971216,54,JACK,6.48000000,6.73000000,6.29000000,6.62000000,15.06250000,6.62000000,6.62000000,7135,0,7135,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,47234
19971217,54,JACK,6.67000000,6.75000000,6.48000000,6.59000000,15.00000000,6.59000000,6.59000000,8375,0,8375,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,55191
19971218,54,JACK,6.59000000,6.59000000,6.42000000,6.53000000,14.87500000,6.53000000,6.53000000,8100,0,8100,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,52893
19971219,54,JACK,6.53000000,6.73000000,6.48000000,6.64000000,15.12500000,6.64000000,6.64000000,1707,0,1707,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11334
19971222,54,JACK,6.70000000,6.92000000,6.70000000,6.86000000,15.62500000,6.86000000,6.86000000,3296,0,3296,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22611
19971223,54,JACK,6.89000000,7.03000000,6.86000000,6.86000000,15.62500000,6.86000000,6.86000000,2322,0,2322,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15929
19971224,54,JACK,6.92000000,6.92000000,6.37000000,6.51000000,14.81250000,6.51000000,6.51000000,26606,0,26606,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,173205
19971225,54,JACK,6.92000000,6.92000000,6.37000000,6.51000000,14.81250000,14.81250000,6.51000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,JACK,6.56000000,6.59000000,6.51000000,6.53000000,14.87500000,6.53000000,6.53000000,1116,0,1116,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7287
19971229,54,JACK,6.53000000,6.64000000,6.51000000,6.53000000,14.87500000,6.53000000,6.53000000,2393,0,2393,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15626
19971230,54,JACK,6.56000000,6.62000000,6.53000000,6.56000000,14.93750000,6.56000000,6.56000000,4209,0,4209,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,27611
19971231,54,JACK,6.45000000,6.81000000,6.20000000,6.62000000,15.06250000,6.62000000,6.62000000,20801,0,20801,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,137703
19980101,54,JACK,6.45000000,6.81000000,6.20000000,6.62000000,15.06250000,15.06250000,6.62000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,JACK,6.67000000,6.81000000,6.48000000,6.59000000,15.00000000,6.59000000,6.59000000,1753,0,1753,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11552
19980105,54,JACK,6.59000000,6.86000000,6.59000000,6.78000000,15.43750000,6.78000000,6.78000000,6024,0,6024,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,40843
19980106,54,JACK,6.86000000,7.00000000,6.56000000,6.59000000,15.00000000,6.59000000,6.59000000,26638,0,26638,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,175544
