Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,KO,16.70000000,17.29000000,16.70000000,17.24000000,64.56250000,17.24000000,17.24000000,143812,0,143812,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2479319
19971202,54,KO,17.34000000,17.67000000,17.34000000,17.59000000,65.87500000,17.59000000,17.59000000,207794,0,207794,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3655096
19971203,54,KO,17.59000000,17.66000000,17.30000000,17.57000000,65.81250000,17.57000000,17.57000000,123718,0,123718,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2173725
19971204,54,KO,17.57000000,17.62000000,17.22000000,17.30000000,64.81250000,17.30000000,17.30000000,117452,0,117452,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2031920
19971205,54,KO,17.30000000,17.76000000,17.29000000,17.64000000,66.06250000,17.64000000,17.64000000,112126,0,112126,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1977903
19971208,54,KO,17.55000000,17.55000000,16.82000000,16.97000000,63.56250000,16.97000000,16.97000000,188266,0,188266,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3194874
19971209,54,KO,16.97000000,17.07000000,16.79000000,16.99000000,63.62500000,16.99000000,16.99000000,120699,0,120699,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2050676
19971210,54,KO,16.99000000,17.12000000,16.80000000,17.05000000,63.87500000,17.05000000,17.05000000,113253,0,113253,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1930964
19971211,54,KO,17.05000000,17.12000000,16.87000000,16.99000000,63.62500000,16.99000000,16.99000000,126448,0,126448,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2148352
19971212,54,KO,17.05000000,17.44000000,17.05000000,17.34000000,64.93750000,17.34000000,17.34000000,122748,0,122748,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2128450
19971215,54,KO,17.35000000,17.71000000,17.35000000,17.59000000,65.87500000,17.59000000,17.59000000,134407,0,134407,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2364219
19971216,54,KO,17.59000000,17.67000000,17.37000000,17.54000000,65.68750000,17.54000000,17.54000000,83451,0,83451,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1463731
19971217,54,KO,17.54000000,17.71000000,17.45000000,17.59000000,65.87500000,17.59000000,17.59000000,91339,0,91339,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1606653
19971218,54,KO,17.59000000,17.72000000,17.14000000,17.15000000,64.25000000,17.15000000,17.15000000,132321,0,132321,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2269305
19971219,54,KO,17.15000000,17.57000000,16.62000000,17.47000000,65.43750000,17.47000000,17.47000000,293953,0,293953,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5135359
19971222,54,KO,17.47000000,17.81000000,17.39000000,17.64000000,66.06250000,17.64000000,17.64000000,139242,0,139242,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2456229
19971223,54,KO,17.64000000,17.64000000,17.30000000,17.35000000,65.00000000,17.35000000,17.35000000,79792,0,79792,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1384391
19971224,54,KO,17.35000000,17.39000000,17.19000000,17.25000000,64.62500000,17.25000000,17.25000000,51091,0,51091,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,881320
19971225,54,KO,17.35000000,17.39000000,17.19000000,17.25000000,64.62500000,64.62500000,17.25000000,0,0,0,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,KO,17.25000000,17.44000000,17.19000000,17.19000000,64.37500000,17.19000000,17.19000000,19989,0,19989,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,343611
19971229,54,KO,17.44000000,17.72000000,17.44000000,17.71000000,66.31250000,17.71000000,17.71000000,72189,0,72189,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1278467
19971230,54,KO,17.77000000,17.94000000,17.77000000,17.91000000,67.06250000,17.91000000,17.91000000,84166,0,84166,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1507413
19971231,54,KO,17.87000000,17.87000000,17.67000000,17.81000000,66.68750000,17.81000000,17.81000000,68177,0,68177,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1214232
19980101,54,KO,17.87000000,17.87000000,17.67000000,17.81000000,66.68750000,66.68750000,17.81000000,0,0,0,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,KO,17.81000000,17.89000000,17.60000000,17.87000000,66.93750000,17.87000000,17.87000000,101934,0,101934,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1821561
19980105,54,KO,17.86000000,17.86000000,17.42000000,17.74000000,66.43750000,17.74000000,17.74000000,144040,0,144040,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2555270
19980106,54,KO,17.74000000,17.79000000,17.57000000,17.66000000,66.12500000,17.66000000,17.66000000,102028,0,102028,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1801814
19980107,54,KO,17.66000000,17.67000000,17.39000000,17.67000000,66.18750000,17.67000000,17.67000000,100324,0,100324,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1772725
19980108,54,KO,17.67000000,17.89000000,17.55000000,17.79000000,66.62500000,17.79000000,17.79000000,118425,0,118425,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2106781
19980109,54,KO,17.79000000,17.81000000,17.10000000,17.12000000,64.12500000,17.12000000,17.12000000,163808,0,163808,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2804393
19980112,54,KO,17.12000000,17.67000000,16.62000000,17.64000000,66.06250000,17.64000000,17.64000000,166580,0,166580,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2938471
19980113,54,KO,17.64000000,17.67000000,17.25000000,17.45000000,65.37500000,17.45000000,17.45000000,119852,0,119852,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2091417
19980114,54,KO,17.42000000,17.42000000,17.15000000,17.25000000,64.62500000,17.25000000,17.25000000,106242,0,106242,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1832675
