Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,LUV,6.60000000,6.61000000,6.34000000,6.36000000,23.56250000,6.36000000,6.36000000,58253,0,58253,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,370489
19971202,54,LUV,6.48000000,6.50000000,6.24000000,6.29000000,23.31250000,6.29000000,6.29000000,41845,0,41845,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,263205
19971203,54,LUV,6.36000000,6.45000000,6.11000000,6.40000000,23.68750000,6.40000000,6.40000000,30371,0,30371,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,194374
19971204,54,LUV,6.40000000,6.51000000,6.40000000,6.46000000,23.93750000,6.46000000,6.46000000,40730,0,40730,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,263116
19971205,54,LUV,6.36000000,6.60000000,6.36000000,6.51000000,24.12500000,6.51000000,6.51000000,33004,0,33004,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,214856
19971208,54,LUV,6.45000000,6.82000000,6.45000000,6.72000000,24.87500000,6.72000000,6.72000000,37781,0,37781,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,253888
19971209,54,LUV,6.74000000,6.75000000,6.58000000,6.65000000,24.62500000,6.65000000,6.65000000,21640,0,21640,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,143906
19971210,54,LUV,6.62000000,6.70000000,6.53000000,6.70000000,24.81250000,6.70000000,6.70000000,17726,0,17726,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,118764
19971211,54,LUV,6.65000000,6.70000000,6.43000000,6.70000000,24.81250000,6.70000000,6.70000000,37100,0,37100,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,248570
19971212,54,LUV,6.85000000,7.02000000,6.74000000,6.92000000,25.62500000,6.92000000,6.92000000,47385,0,47385,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,327904
19971215,54,LUV,7.02000000,7.09000000,6.87000000,6.94000000,25.68750000,6.94000000,6.94000000,31791,0,31791,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,220630
19971216,54,LUV,6.94000000,6.94000000,6.75000000,6.77000000,25.06250000,6.77000000,6.77000000,21536,0,21536,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,145799
19971217,54,LUV,6.82000000,6.89000000,6.77000000,6.79000000,25.12500000,6.79000000,6.79000000,22380,0,22380,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,151960
19971218,54,LUV,6.82000000,6.87000000,6.63000000,6.70000000,24.81250000,6.70000000,6.70000000,17700,0,17700,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,118590
19971219,54,LUV,6.28000000,6.55000000,6.21000000,6.55000000,24.25000000,6.55000000,6.55000000,43653,0,43653,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,285927
19971222,54,LUV,6.53000000,6.69000000,6.28000000,6.31000000,23.37500000,6.31000000,6.31000000,39270,0,39270,0,"Industrials","Industrials/Airlines","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,247794
