Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,MCD,13.96000000,14.02000000,13.84000000,14.00000000,48.87500000,14.00000000,14.00000000,48045,0,48045,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,672630
19971202,54,MCD,13.78000000,13.98000000,13.78000000,13.98000000,48.81250000,13.98000000,13.98000000,43848,0,43848,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,612995
19971203,54,MCD,13.93000000,13.95000000,13.73000000,13.82000000,48.25000000,13.82000000,13.82000000,59402,0,59402,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,820936
19971204,54,MCD,13.89000000,13.91000000,13.60000000,13.64000000,47.62500000,13.64000000,13.64000000,65638,0,65638,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,895302
19971205,54,MCD,13.50000000,13.75000000,13.48000000,13.62000000,47.56250000,13.62000000,13.62000000,54183,0,54183,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,737972
19971208,54,MCD,13.53000000,13.64000000,13.50000000,13.60000000,47.50000000,13.60000000,13.60000000,49204,0,49204,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,669174
19971209,54,MCD,13.59000000,13.69000000,13.48000000,13.64000000,47.62500000,13.64000000,13.64000000,61979,0,61979,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,845394
19971210,54,MCD,13.62000000,13.68000000,13.46000000,13.52000000,47.18750000,13.52000000,13.52000000,54018,0,54018,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,730323
19971211,54,MCD,13.44000000,13.44000000,13.18000000,13.18000000,46.00000000,13.18000000,13.18000000,70047,0,70047,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,923219
19971212,54,MCD,13.25000000,13.30000000,13.18000000,13.28000000,46.37500000,13.28000000,13.28000000,46470,0,46470,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,617122
19971215,54,MCD,13.32000000,13.39000000,13.18000000,13.18000000,46.00000000,13.18000000,13.18000000,59797,0,59797,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,788124
19971216,54,MCD,13.18000000,13.39000000,13.03000000,13.09000000,45.68750000,13.09000000,13.09000000,101934,0,101934,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1334316
19971217,54,MCD,13.12000000,13.14000000,12.96000000,13.00000000,45.37500000,13.00000000,13.00000000,74471,0,74471,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,968123
19971218,54,MCD,12.94000000,13.01000000,12.89000000,12.89000000,45.00000000,12.89000000,12.89000000,53338,0,53338,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,687527
19971219,54,MCD,12.91000000,13.28000000,12.71000000,13.16000000,45.93750000,13.16000000,13.16000000,105076,0,105076,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1382800
19971222,54,MCD,13.14000000,13.32000000,13.14000000,13.28000000,46.37500000,13.28000000,13.28000000,41551,0,41551,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,551797
19971223,54,MCD,13.21000000,13.30000000,13.16000000,13.28000000,46.37500000,13.28000000,13.28000000,38538,0,38538,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,511785
19971224,54,MCD,13.32000000,13.32000000,13.16000000,13.16000000,45.93750000,13.16000000,13.16000000,24485,0,24485,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,322223
19971225,54,MCD,13.32000000,13.32000000,13.16000000,13.16000000,45.93750000,45.93750000,13.16000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,MCD,13.16000000,13.23000000,12.92000000,12.94000000,45.18750000,12.94000000,12.94000000,19517,0,19517,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,252550
19971229,54,MCD,13.03000000,13.28000000,13.00000000,13.25000000,46.25000000,13.25000000,13.25000000,31478,0,31478,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,417084
19971230,54,MCD,13.26000000,13.55000000,13.26000000,13.53000000,47.25000000,13.53000000,13.53000000,58498,0,58498,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,791478
19971231,54,MCD,13.48000000,13.68000000,13.32000000,13.68000000,47.75000000,13.68000000,13.68000000,94717,0,94717,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1295729
19980101,54,MCD,13.48000000,13.68000000,13.32000000,13.68000000,47.75000000,47.75000000,13.68000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,MCD,13.71000000,13.75000000,13.43000000,13.64000000,47.62500000,13.64000000,13.64000000,44044,0,44044,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,600760
19980105,54,MCD,13.64000000,13.64000000,13.50000000,13.60000000,47.50000000,13.60000000,13.60000000,83555,0,83555,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1136348
19980106,54,MCD,13.55000000,13.68000000,13.46000000,13.64000000,47.62500000,13.64000000,13.64000000,59329,0,59329,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,809248
19980107,54,MCD,13.50000000,13.59000000,13.43000000,13.53000000,47.25000000,13.53000000,13.53000000,52524,0,52524,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,710650
19980108,54,MCD,13.46000000,13.50000000,13.28000000,13.28000000,46.37500000,13.28000000,13.28000000,42270,0,42270,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,561346
19980109,54,MCD,13.26000000,13.28000000,12.96000000,13.00000000,45.37500000,13.00000000,13.00000000,66186,0,66186,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,860418
19980112,54,MCD,12.82000000,13.37000000,12.78000000,13.28000000,46.37500000,13.28000000,13.28000000,61137,0,61137,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,811899
19980113,54,MCD,13.32000000,13.50000000,13.26000000,13.50000000,47.12500000,13.50000000,13.50000000,54266,0,54266,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,732591
19980114,54,MCD,13.48000000,13.52000000,13.25000000,13.48000000,47.06250000,13.48000000,13.48000000,52954,0,52954,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,713820
19980115,54,MCD,13.44000000,13.57000000,13.28000000,13.41000000,46.81250000,13.41000000,13.41000000,50112,0,50112,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,672002
19980116,54,MCD,13.57000000,13.73000000,13.44000000,13.62000000,47.56250000,13.62000000,13.62000000,66964,0,66964,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,912050
19980119,54,MCD,13.57000000,13.73000000,13.44000000,13.62000000,47.56250000,47.56250000,13.62000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,MCD,13.53000000,13.75000000,13.52000000,13.75000000,48.00000000,13.75000000,13.75000000,67411,0,67411,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,926901
19980121,54,MCD,13.50000000,13.64000000,13.41000000,13.57000000,47.37500000,13.57000000,13.57000000,65673,0,65673,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,891183
19980122,54,MCD,13.50000000,13.71000000,13.44000000,13.71000000,47.87500000,13.71000000,13.71000000,57744,0,57744,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,791670
19980123,54,MCD,13.66000000,13.69000000,13.32000000,13.48000000,47.06250000,13.48000000,13.48000000,85444,0,85444,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1151785
19980126,54,MCD,13.34000000,13.52000000,13.25000000,13.46000000,47.00000000,13.46000000,13.46000000,47825,0,47825,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,643725
19980127,54,MCD,13.41000000,13.68000000,13.37000000,13.55000000,47.31250000,13.55000000,13.55000000,72264,0,72264,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,979177
19980128,54,MCD,13.55000000,13.71000000,13.39000000,13.64000000,47.62500000,13.64000000,13.64000000,60781,0,60781,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,829053
19980129,54,MCD,13.60000000,13.95000000,13.57000000,13.73000000,47.93750000,13.73000000,13.73000000,65784,0,65784,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,903214
19980130,54,MCD,13.71000000,13.73000000,13.48000000,13.50000000,47.12500000,13.50000000,13.50000000,57398,0,57398,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,774873
19980202,54,MCD,13.71000000,13.73000000,13.62000000,13.64000000,47.62500000,13.64000000,13.64000000,46669,0,46669,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,636565
19980203,54,MCD,13.60000000,13.91000000,13.59000000,13.91000000,48.56250000,13.91000000,13.91000000,61553,0,61553,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,856202
19980204,54,MCD,13.89000000,13.95000000,13.75000000,13.91000000,48.56250000,13.91000000,13.91000000,68570,0,68570,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,953809
19980205,54,MCD,13.89000000,14.11000000,13.73000000,13.89000000,48.50000000,13.89000000,13.89000000,79736,0,79736,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1107533
19980206,54,MCD,13.82000000,14.12000000,13.80000000,13.98000000,48.81250000,13.98000000,13.98000000,60610,0,60610,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,847328
19980209,54,MCD,13.91000000,14.12000000,13.91000000,14.05000000,49.06250000,14.05000000,14.05000000,57765,0,57765,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,811598
19980210,54,MCD,14.21000000,14.41000000,14.14000000,14.32000000,50.00000000,14.32000000,14.32000000,117024,0,117024,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1675784
