Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,PG,20.80000000,21.19000000,20.68000000,21.05000000,77.93750000,21.05000000,21.05000000,66717,0,66717,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1404393
19971202,54,PG,20.77000000,21.49000000,20.73000000,21.36000000,79.06250000,21.36000000,21.36000000,61201,0,61201,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1307253
19971203,54,PG,21.36000000,21.59000000,21.09000000,21.51000000,79.62500000,21.51000000,21.51000000,60964,0,60964,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1311336
19971204,54,PG,21.44000000,21.81000000,21.24000000,21.41000000,79.25000000,21.41000000,21.41000000,70741,0,70741,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1514565
19971205,54,PG,21.37000000,21.86000000,21.22000000,21.78000000,80.62500000,21.78000000,21.78000000,58458,0,58458,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1273215
19971208,54,PG,21.75000000,21.86000000,21.56000000,21.66000000,80.18750000,21.66000000,21.66000000,58580,0,58580,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1268843
19971209,54,PG,21.66000000,21.71000000,21.37000000,21.59000000,79.93750000,21.59000000,21.59000000,47766,0,47766,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1031268
19971210,54,PG,21.44000000,21.71000000,21.26000000,21.51000000,79.62500000,21.51000000,21.51000000,64425,0,64425,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1385782
19971211,54,PG,21.48000000,21.86000000,21.37000000,21.61000000,80.00000000,21.61000000,21.61000000,77956,0,77956,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1684629
19971212,54,PG,21.63000000,21.88000000,21.42000000,21.78000000,80.62500000,21.78000000,21.78000000,65369,0,65369,0,"Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1423737
