Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,SO,4.67000000,4.72000000,4.66000000,4.69000000,24.12500000,4.69000000,4.69000000,63078,0,63078,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,295836
19971202,54,SO,4.69000000,4.74000000,4.67000000,4.69000000,24.12500000,4.69000000,4.69000000,53444,0,53444,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,250652
19971203,54,SO,4.71000000,4.73000000,4.57000000,4.58000000,23.56250000,4.58000000,4.58000000,100693,0,100693,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,461174
19971204,54,SO,4.57000000,4.57000000,4.47000000,4.50000000,23.12500000,4.50000000,4.50000000,68337,0,68337,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,307517
19971205,54,SO,4.47000000,4.55000000,4.45000000,4.55000000,23.37500000,4.55000000,4.55000000,70604,0,70604,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,321248
19971208,54,SO,4.56000000,4.57000000,4.47000000,4.51000000,23.18750000,4.51000000,4.51000000,61777,0,61777,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,278614
19971209,54,SO,4.55000000,4.56000000,4.51000000,4.53000000,23.31250000,4.53000000,4.53000000,44838,0,44838,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,203116
19971210,54,SO,4.50000000,4.53000000,4.49000000,4.51000000,23.18750000,4.51000000,4.51000000,41039,0,41039,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,185086
19971211,54,SO,4.52000000,4.52000000,4.47000000,4.49000000,23.06250000,4.49000000,4.49000000,36968,0,36968,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,165986
19971212,54,SO,4.50000000,4.51000000,4.45000000,4.50000000,23.12500000,4.50000000,4.50000000,63386,0,63386,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,285237
19971215,54,SO,4.56000000,4.66000000,4.45000000,4.62000000,23.75000000,4.62000000,4.62000000,56395,0,56395,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,260545
19971216,54,SO,4.64000000,4.67000000,4.60000000,4.60000000,23.62500000,4.60000000,4.60000000,44530,0,44530,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,204838
19971217,54,SO,4.64000000,4.66000000,4.62000000,4.66000000,23.93750000,4.66000000,4.66000000,31128,0,31128,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,145056
19971218,54,SO,4.66000000,4.67000000,4.63000000,4.67000000,24.00000000,4.67000000,4.67000000,44437,0,44437,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,207521
19971219,54,SO,4.67000000,4.72000000,4.62000000,4.67000000,24.00000000,4.67000000,4.67000000,103443,0,103443,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,483079
19971222,54,SO,4.69000000,4.79000000,4.69000000,4.78000000,24.56250000,4.78000000,4.78000000,54302,0,54302,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,259564
19971223,54,SO,4.80000000,4.84000000,4.74000000,4.81000000,24.75000000,4.81000000,4.81000000,60065,0,60065,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,288913
19971224,54,SO,4.85000000,4.86000000,4.84000000,4.84000000,24.87500000,4.84000000,4.84000000,34048,0,34048,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,164792
19971225,54,SO,4.85000000,4.86000000,4.84000000,4.84000000,24.87500000,24.87500000,4.84000000,0,0,0,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,SO,4.86000000,4.90000000,4.84000000,4.86000000,25.00000000,4.86000000,4.86000000,16194,0,16194,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,78703
19971229,54,SO,4.88000000,5.06000000,4.85000000,5.06000000,26.00000000,5.06000000,5.06000000,71390,0,71390,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,361233
19971230,54,SO,5.06000000,5.11000000,5.01000000,5.06000000,26.00000000,5.06000000,5.06000000,79770,0,79770,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,403636
19971231,54,SO,5.06000000,5.07000000,4.98000000,5.03000000,25.87500000,5.03000000,5.03000000,52637,0,52637,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,264764
19980101,54,SO,5.06000000,5.07000000,4.98000000,5.03000000,25.87500000,25.87500000,5.03000000,0,0,0,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,SO,5.06000000,5.06000000,4.92000000,5.05000000,25.93750000,5.05000000,5.05000000,60847,0,60847,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,307277
19980105,54,SO,5.05000000,5.06000000,4.90000000,4.97000000,25.56250000,4.97000000,4.97000000,103587,0,103587,0,"Utilities","Utilities/Electric","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,514827
