Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,SPY,62.15000000,63.36000000,62.03000000,63.36000000,98.09375000,63.36000000,63.36000000,75100,0,75100,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4758336
19971202,54,SPY,63.10000000,63.29000000,62.82000000,62.98000000,97.50000000,62.98000000,62.98000000,30575,0,30575,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1925614
19971203,54,SPY,63.06000000,63.64000000,62.57000000,63.16000000,97.78125000,63.16000000,63.16000000,51128,0,51128,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3229244
19971204,54,SPY,63.62000000,63.76000000,62.90000000,63.10000000,97.68750000,63.10000000,63.10000000,44471,0,44471,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2806120
19971205,54,SPY,62.90000000,63.95000000,62.74000000,63.91000000,98.93750000,63.91000000,63.91000000,53548,0,53548,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3422253
19971208,54,SPY,63.93000000,63.95000000,63.46000000,63.72000000,98.65625000,63.72000000,63.72000000,35441,0,35441,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2258301
19971209,54,SPY,63.44000000,63.68000000,63.06000000,63.34000000,98.06250000,63.34000000,63.34000000,26365,0,26365,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1669959
19971210,54,SPY,63.02000000,63.20000000,62.31000000,62.80000000,97.21875000,62.80000000,62.80000000,55090,0,55090,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3459652
19971211,54,SPY,62.21000000,62.39000000,61.56000000,61.73000000,95.56250000,61.73000000,61.73000000,78535,0,78535,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4847966
19971212,54,SPY,62.29000000,62.33000000,61.30000000,61.85000000,95.75000000,61.85000000,61.85000000,69333,0,69333,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4288246
19971215,54,SPY,62.17000000,62.73000000,61.93000000,62.47000000,96.71875000,62.47000000,62.47000000,72372,0,72372,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4521079
