Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19990817,54,SWBI,0.91000000,0.91000000,0.80000000,0.80000000,1.06250000,0.80000000,0.80000000,201,0,201,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,161
19990818,54,SWBI,0.80000000,0.84000000,0.80000000,0.84000000,1.12500000,0.84000000,0.84000000,136,0,136,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,114
19990819,54,SWBI,0.80000000,0.84000000,0.66000000,0.75000000,1.00000000,0.75000000,0.75000000,677,0,677,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,508
19990820,54,SWBI,0.66000000,0.94000000,0.66000000,0.94000000,1.25000000,0.94000000,0.94000000,433,0,433,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,407
19990823,54,SWBI,0.94000000,0.98000000,0.84000000,0.84000000,1.12500000,0.84000000,0.84000000,415,0,415,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,349
19990824,54,SWBI,0.84000000,0.94000000,0.84000000,0.94000000,1.25000000,0.94000000,0.94000000,108,0,108,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,102
19990825,54,SWBI,1.03000000,1.13000000,0.90000000,1.13000000,1.50000000,1.13000000,1.13000000,749,0,749,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,846
19990826,54,SWBI,1.13000000,1.17000000,1.03000000,1.03000000,1.37500000,1.03000000,1.03000000,255,0,255,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,263
19990827,54,SWBI,1.08000000,1.08000000,0.80000000,0.89000000,1.18750000,0.89000000,0.89000000,299,0,299,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,266
19990830,54,SWBI,0.98000000,0.98000000,0.89000000,0.89000000,1.18750000,0.89000000,0.89000000,100,0,100,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,89
19990831,54,SWBI,0.89000000,0.98000000,0.89000000,0.98000000,1.31250000,0.98000000,0.98000000,47,0,47,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,46
19990901,54,SWBI,0.98000000,0.98000000,0.84000000,0.94000000,1.25000000,0.94000000,0.94000000,100,0,100,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,94
19990902,54,SWBI,0.84000000,0.84000000,0.84000000,0.84000000,1.12500000,0.84000000,0.84000000,27,0,27,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,23
19990903,54,SWBI,0.84000000,0.98000000,0.84000000,0.98000000,1.31250000,0.98000000,0.98000000,159,0,159,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,156
19990906,54,SWBI,0.84000000,0.98000000,0.84000000,0.98000000,1.31250000,1.31250000,0.98000000,0,0,0,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990907,54,SWBI,0.94000000,1.13000000,0.84000000,0.94000000,1.25000000,0.94000000,0.94000000,404,0,404,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,380
19990908,54,SWBI,0.94000000,1.03000000,0.94000000,0.94000000,1.25000000,0.94000000,0.94000000,112,0,112,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,105
19990909,54,SWBI,0.89000000,0.94000000,0.89000000,0.94000000,1.25000000,0.94000000,0.94000000,41,0,41,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,39
19990910,54,SWBI,0.89000000,0.89000000,0.89000000,0.89000000,1.18750000,0.89000000,0.89000000,1,0,1,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1
19990913,54,SWBI,0.94000000,0.98000000,0.89000000,0.94000000,1.25000000,0.94000000,0.94000000,664,0,664,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,624
19990914,54,SWBI,0.94000000,0.94000000,0.91000000,0.94000000,1.25000000,0.94000000,0.94000000,120,0,120,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,113
19990915,54,SWBI,0.89000000,0.96000000,0.89000000,0.96000000,1.28125000,0.96000000,0.96000000,5,0,5,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5
19990916,54,SWBI,0.89000000,0.94000000,0.89000000,0.94000000,1.25000000,0.94000000,0.94000000,33,0,33,0,"Industrials","Industrials/Aerospace & Defense","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,31
