Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
20020730,54,TLT,42.22000000,42.29000000,42.10000000,42.10000000,81.52000000,42.10000000,42.10000000,118,0,118,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4968
20020731,54,TLT,42.32000000,42.76000000,42.29000000,42.62000000,82.53000000,42.62000000,42.62000000,569,0,569,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,24251
20020801,54,TLT,42.62000000,42.87000000,42.62000000,42.86000000,83.00000000,42.86000000,42.86000000,484,0,484,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,20744
20020802,54,TLT,42.94000000,43.43000000,42.80000000,43.30000000,83.85000000,43.30000000,43.30000000,1022,0,1022,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,44253
20020805,54,TLT,43.40000000,43.61000000,43.30000000,43.49000000,84.22000000,43.49000000,43.49000000,1183,0,1183,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,51449
20020806,54,TLT,43.31000000,43.33000000,42.98000000,43.12000000,83.50000000,43.12000000,43.12000000,1257,0,1257,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,54202
20020807,54,TLT,43.17000000,43.45000000,43.05000000,43.22000000,83.70000000,43.22000000,43.22000000,780,0,780,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,33712
20020808,54,TLT,43.16000000,43.26000000,43.05000000,43.22000000,83.70000000,43.22000000,43.22000000,792,0,792,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,34230
20020809,54,TLT,43.38000000,43.83000000,43.38000000,43.83000000,84.88000000,43.83000000,43.83000000,695,0,695,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,30462
20020812,54,TLT,44.05000000,44.77000000,43.97000000,44.10000000,85.40000000,44.10000000,44.10000000,622,0,622,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,27430
20020813,54,TLT,44.30000000,44.65000000,44.09000000,44.64000000,86.45000000,44.64000000,44.64000000,1460,0,1460,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,65174
20020814,54,TLT,45.17000000,45.39000000,44.80000000,44.81000000,86.78000000,44.81000000,44.81000000,2517,0,2517,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,112787
20020815,54,TLT,44.61000000,44.67000000,44.33000000,44.42000000,86.02000000,44.42000000,44.42000000,1687,0,1687,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,74937
20020816,54,TLT,44.64000000,44.68000000,43.80000000,43.93000000,85.06000000,43.93000000,43.93000000,1646,0,1646,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,72309
20020819,54,TLT,43.92000000,44.07000000,43.75000000,44.06000000,85.32000000,44.06000000,44.06000000,916,0,916,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,40359
20020820,54,TLT,44.22000000,44.56000000,44.20000000,44.55000000,86.27000000,44.55000000,44.55000000,790,0,790,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,35195
20020821,54,TLT,44.25000000,44.46000000,44.22000000,44.31000000,85.81000000,44.31000000,44.31000000,775,0,775,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,34340
20020822,54,TLT,44.18000000,44.18000000,43.93000000,43.93000000,85.06000000,43.93000000,43.93000000,666,0,666,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,29257
20020823,54,TLT,44.00000000,44.39000000,44.00000000,44.36000000,85.90000000,44.36000000,44.36000000,389,0,389,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,17256
20020826,54,TLT,44.26000000,44.52000000,44.24000000,44.40000000,85.98000000,44.40000000,44.40000000,463,0,463,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,20557
20020827,54,TLT,44.10000000,44.25000000,44.00000000,44.12000000,85.44000000,44.12000000,44.12000000,5844,0,5844,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,257837
20020828,54,TLT,44.43000000,44.50000000,44.33000000,44.34000000,85.87000000,44.34000000,44.34000000,350,0,350,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15519
20020829,54,TLT,44.80000000,44.86000000,44.59000000,44.70000000,86.56000000,44.70000000,44.70000000,2628,0,2628,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,117472
20020830,54,TLT,44.80000000,44.99000000,44.64000000,44.97000000,87.08000000,44.97000000,44.97000000,1512,0,1512,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,67995
20020902,54,TLT,44.80000000,44.99000000,44.64000000,44.97000000,87.08000000,87.08000000,44.97000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20020903,54,TLT,45.16000000,45.66000000,45.12000000,45.66000000,88.04000000,45.66000000,45.66000000,1969,0,1969,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,89905
20020904,54,TLT,45.66000000,45.80000000,45.56000000,45.65000000,88.02000000,45.65000000,45.65000000,1278,0,1278,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,58341
20020905,54,TLT,45.94000000,45.98000000,45.32000000,45.90000000,88.50000000,45.90000000,45.90000000,12502,0,12502,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,573842
20020906,54,TLT,45.62000000,45.74000000,45.22000000,45.36000000,87.46000000,45.36000000,45.36000000,2699,0,2699,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,122427
20020909,54,TLT,45.38000000,45.55000000,45.26000000,45.29000000,87.33000000,45.29000000,45.29000000,1616,0,1616,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,73189
20020910,54,TLT,45.21000000,45.64000000,45.12000000,45.51000000,87.75000000,45.51000000,45.51000000,6479,0,6479,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,294859
20020911,54,TLT,45.12000000,45.28000000,44.99000000,45.27000000,87.29000000,45.27000000,45.27000000,3426,0,3426,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,155095
20020912,54,TLT,45.37000000,45.71000000,45.36000000,45.62000000,87.97000000,45.62000000,45.62000000,837,0,837,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,38184
20020913,54,TLT,45.81000000,46.13000000,45.73000000,46.04000000,88.78000000,46.04000000,46.04000000,2991,0,2991,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,137706
