Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,UNP,9.61000000,9.83000000,9.54000000,9.83000000,62.37500000,9.83000000,9.83000000,110688,0,110688,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,1088063
19971202,54,UNP,10.17000000,10.18000000,10.00000000,10.00000000,63.43750000,10.00000000,10.00000000,88033,0,88033,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,880330
19971203,54,UNP,9.98000000,10.23000000,9.95000000,10.19000000,64.62500000,10.19000000,10.19000000,60873,0,60873,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,620296
19971204,54,UNP,10.11000000,10.12000000,9.87000000,9.91000000,62.87500000,9.91000000,9.91000000,46313,0,46313,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,458962
19971205,54,UNP,9.93000000,10.02000000,9.91000000,9.98000000,63.31250000,9.98000000,9.98000000,21570,0,21570,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,215269
19971208,54,UNP,9.94000000,10.03000000,9.89000000,9.99000000,62.93750000,9.99000000,9.99000000,28488,0,28488,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,284595
19971209,54,UNP,9.95000000,9.96000000,9.80000000,9.87000000,62.18750000,9.87000000,9.87000000,19565,0,19565,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,193107
19971210,54,UNP,9.83000000,9.87000000,9.73000000,9.83000000,61.93750000,9.83000000,9.83000000,21544,0,21544,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,211778
19971211,54,UNP,9.80000000,9.87000000,9.76000000,9.82000000,61.87500000,9.82000000,9.82000000,37429,0,37429,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,367553
19971212,54,UNP,9.84000000,9.88000000,9.66000000,9.68000000,61.00000000,9.68000000,9.68000000,32281,0,32281,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,312480
19971215,54,UNP,9.68000000,9.85000000,9.66000000,9.83000000,61.93750000,9.83000000,9.83000000,24121,0,24121,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,237109
19971216,54,UNP,9.83000000,9.84000000,9.73000000,9.75000000,61.43750000,9.75000000,9.75000000,19118,0,19118,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,186401
19971217,54,UNP,9.77000000,9.86000000,9.76000000,9.79000000,61.68750000,9.79000000,9.79000000,24159,0,24159,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,236517
19971218,54,UNP,9.76000000,9.80000000,9.49000000,9.51000000,59.93750000,9.51000000,9.51000000,23440,0,23440,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,222914
19971219,54,UNP,9.46000000,9.52000000,9.26000000,9.44000000,59.50000000,9.44000000,9.44000000,58160,0,58160,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,549030
19971222,54,UNP,9.40000000,9.75000000,9.37000000,9.75000000,61.43750000,9.75000000,9.75000000,26446,0,26446,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,257849
19971223,54,UNP,9.75000000,9.84000000,9.65000000,9.76000000,61.50000000,9.76000000,9.76000000,30220,0,30220,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,294947
19971224,54,UNP,9.68000000,9.79000000,9.67000000,9.77000000,61.56250000,9.77000000,9.77000000,23680,0,23680,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,231354
19971225,54,UNP,9.68000000,9.79000000,9.67000000,9.77000000,61.56250000,61.56250000,9.77000000,0,0,0,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,UNP,9.77000000,9.80000000,9.66000000,9.67000000,60.93750000,9.67000000,9.67000000,4644,0,4644,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,44907
19971229,54,UNP,9.72000000,9.84000000,9.72000000,9.82000000,61.87500000,9.82000000,9.82000000,20189,0,20189,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,198256
19971230,54,UNP,9.84000000,9.94000000,9.83000000,9.93000000,62.56250000,9.93000000,9.93000000,14946,0,14946,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,148414
19971231,54,UNP,9.90000000,9.96000000,9.89000000,9.94000000,62.62500000,9.94000000,9.94000000,12861,0,12861,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,127838
19980101,54,UNP,9.90000000,9.96000000,9.89000000,9.94000000,62.62500000,62.62500000,9.94000000,0,0,0,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,UNP,9.90000000,9.99000000,9.83000000,9.88000000,62.25000000,9.88000000,9.88000000,15816,0,15816,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,156262
19980105,54,UNP,10.04000000,10.04000000,9.84000000,9.89000000,62.31250000,9.89000000,9.89000000,25658,0,25658,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,253758
19980106,54,UNP,9.82000000,9.87000000,9.68000000,9.79000000,61.68750000,9.79000000,9.79000000,49849,0,49849,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,488022
19980107,54,UNP,9.84000000,10.06000000,9.77000000,10.06000000,63.37500000,10.06000000,10.06000000,44827,0,44827,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,450960
19980108,54,UNP,9.96000000,10.02000000,9.93000000,10.00000000,63.00000000,10.00000000,10.00000000,41159,0,41159,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,411590
19980109,54,UNP,9.98000000,9.99000000,9.48000000,9.54000000,60.12500000,9.54000000,9.54000000,18154,0,18154,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,173189
19980112,54,UNP,9.42000000,9.75000000,9.37000000,9.75000000,61.43750000,9.75000000,9.75000000,42086,0,42086,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,410339
19980113,54,UNP,9.75000000,9.76000000,9.59000000,9.62000000,60.62500000,9.62000000,9.62000000,29742,0,29742,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,286118
19980114,54,UNP,9.62000000,9.62000000,9.50000000,9.54000000,60.12500000,9.54000000,9.54000000,27731,0,27731,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,264554
19980115,54,UNP,9.48000000,9.51000000,9.34000000,9.47000000,59.68750000,9.47000000,9.47000000,27158,0,27158,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,257186
19980116,54,UNP,9.52000000,9.55000000,9.45000000,9.48000000,59.75000000,9.48000000,9.48000000,50057,0,50057,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,474540
19980119,54,UNP,9.52000000,9.55000000,9.45000000,9.48000000,59.75000000,59.75000000,9.48000000,0,0,0,0,"Industrials","Industrials/Railroads","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,UNP,9.48000000,9.56000000,9.44000000,9.51000000,59.93750000,9.51000000,9.51000000,33012,0,33012,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,313944
19980121,54,UNP,9.48000000,9.48000000,9.31000000,9.36000000,59.00000000,9.36000000,9.36000000,33844,0,33844,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,316780
19980122,54,UNP,9.29000000,9.30000000,9.11000000,9.23000000,58.18750000,9.23000000,9.23000000,42117,0,42117,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,388740
19980123,54,UNP,9.23000000,9.28000000,9.17000000,9.20000000,58.00000000,9.20000000,9.20000000,71550,0,71550,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,658260
19980126,54,UNP,9.23000000,9.32000000,9.23000000,9.24000000,58.25000000,9.24000000,9.24000000,37769,0,37769,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,348986
19980127,54,UNP,9.24000000,9.35000000,9.18000000,9.23000000,58.18750000,9.23000000,9.23000000,47328,0,47328,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,436837
19980128,54,UNP,9.20000000,9.38000000,9.20000000,9.32000000,58.75000000,9.32000000,9.32000000,45904,0,45904,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,427825
19980129,54,UNP,9.33000000,9.68000000,9.30000000,9.55000000,60.18750000,9.55000000,9.55000000,45917,0,45917,0,"Industrials","Industrials/Railroads","Common Stock",0,108308,10831.000,10831.000,10831.000,10834.000,N/A,N/A,438507
