Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,VLO,4.16000000,4.20000000,4.15000000,4.18000000,31.50000000,4.18000000,4.18000000,21690,0,21690,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,90664
19971202,54,VLO,4.17000000,4.25000000,4.11000000,4.25000000,32.00000000,4.25000000,4.25000000,20537,0,20537,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,87282
19971203,54,VLO,4.23000000,4.28000000,4.22000000,4.28000000,32.25000000,4.28000000,4.28000000,19490,0,19490,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,83417
19971204,54,VLO,4.27000000,4.31000000,4.20000000,4.20000000,31.62500000,4.20000000,4.20000000,14314,0,14314,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,60119
19971205,54,VLO,4.20000000,4.25000000,4.18000000,4.18000000,31.50000000,4.18000000,4.18000000,12152,0,12152,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,50795
19971208,54,VLO,4.19000000,4.19000000,4.09000000,4.09000000,30.81250000,4.09000000,4.09000000,15798,0,15798,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,64614
19971209,54,VLO,4.09000000,4.17000000,4.08000000,4.11000000,31.00000000,4.11000000,4.11000000,12920,0,12920,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,53101
19971210,54,VLO,4.15000000,4.16000000,4.11000000,4.14000000,31.18750000,4.14000000,4.14000000,14940,0,14940,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,61852
19971211,54,VLO,4.13000000,4.15000000,4.07000000,4.13000000,31.12500000,4.13000000,4.13000000,13440,0,13440,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,55507
19971212,54,VLO,4.13000000,4.19000000,4.13000000,4.14000000,31.18750000,4.14000000,4.14000000,20597,0,20597,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,85272
19971215,54,VLO,4.11000000,4.34000000,4.11000000,4.30000000,32.37500000,4.30000000,4.30000000,27303,0,27303,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,117403
19971216,54,VLO,4.28000000,4.28000000,4.21000000,4.25000000,32.00000000,4.25000000,4.25000000,12973,0,12973,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,55135
19971217,54,VLO,4.23000000,4.26000000,4.23000000,4.25000000,32.00000000,4.25000000,4.25000000,6253,0,6253,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,26575
19971218,54,VLO,4.25000000,4.30000000,4.22000000,4.27000000,32.18750000,4.27000000,4.27000000,16492,0,16492,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,70421
19971219,54,VLO,4.25000000,4.28000000,4.21000000,4.28000000,32.25000000,4.28000000,4.28000000,23325,0,23325,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,99831
19971222,54,VLO,4.25000000,4.26000000,4.14000000,4.15000000,31.25000000,4.15000000,4.15000000,15000,0,15000,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,62250
19971223,54,VLO,4.15000000,4.15000000,4.11000000,4.12000000,31.06250000,4.12000000,4.12000000,9824,0,9824,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,40475
19971224,54,VLO,4.11000000,4.11000000,4.07000000,4.10000000,30.87500000,4.10000000,4.10000000,17878,0,17878,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,73300
19971225,54,VLO,4.11000000,4.11000000,4.07000000,4.10000000,30.87500000,30.87500000,4.10000000,0,0,0,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,VLO,4.10000000,4.11000000,4.07000000,4.07000000,30.68750000,4.07000000,4.07000000,2712,0,2712,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11038
19971229,54,VLO,4.07000000,4.10000000,4.06000000,4.10000000,30.87500000,4.10000000,4.10000000,13734,0,13734,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,56309
19971230,54,VLO,4.11000000,4.11000000,4.06000000,4.08000000,30.75000000,4.08000000,4.08000000,13350,0,13350,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,54468
19971231,54,VLO,4.10000000,4.20000000,4.09000000,4.17000000,31.43750000,4.17000000,4.17000000,11813,0,11813,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,49260
19980101,54,VLO,4.10000000,4.20000000,4.09000000,4.17000000,31.43750000,31.43750000,4.17000000,0,0,0,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,VLO,4.20000000,4.20000000,4.15000000,4.16000000,31.31250000,4.16000000,4.16000000,12016,0,12016,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,49987
19980105,54,VLO,4.13000000,4.19000000,4.12000000,4.16000000,31.31250000,4.16000000,4.16000000,13968,0,13968,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,58107
19980106,54,VLO,4.15000000,4.15000000,4.02000000,4.02000000,30.25000000,4.02000000,4.02000000,14970,0,14970,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,60179
19980107,54,VLO,4.02000000,4.02000000,3.97000000,3.98000000,30.00000000,3.98000000,3.98000000,9553,0,9553,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,38021
19980108,54,VLO,3.97000000,4.07000000,3.97000000,3.98000000,30.00000000,3.98000000,3.98000000,16348,0,16348,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,65065
19980109,54,VLO,3.98000000,3.98000000,3.78000000,3.82000000,28.75000000,3.82000000,3.82000000,25396,0,25396,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,97013
19980112,54,VLO,3.72000000,3.78000000,3.66000000,3.68000000,27.68750000,3.68000000,3.68000000,29593,0,29593,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,108902
19980113,54,VLO,3.66000000,3.76000000,3.66000000,3.73000000,28.12500000,3.73000000,3.73000000,28749,0,28749,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,107234
19980114,54,VLO,3.77000000,3.80000000,3.75000000,3.76000000,28.31250000,3.76000000,3.76000000,19626,0,19626,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,73794
19980115,54,VLO,3.77000000,3.88000000,3.77000000,3.77000000,28.37500000,3.77000000,3.77000000,17584,0,17584,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,66292
19980116,54,VLO,3.79000000,3.81000000,3.73000000,3.73000000,28.12500000,3.73000000,3.73000000,21652,0,21652,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,80762
19980119,54,VLO,3.79000000,3.81000000,3.73000000,3.73000000,28.12500000,28.12500000,3.73000000,0,0,0,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,VLO,3.73000000,3.85000000,3.72000000,3.83000000,28.87500000,3.83000000,3.83000000,21162,0,21162,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,81050
19980121,54,VLO,3.82000000,4.15000000,3.82000000,4.11000000,31.00000000,4.11000000,4.11000000,36094,0,36094,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,148346
19980122,54,VLO,4.10000000,4.10000000,4.00000000,4.08000000,30.75000000,4.08000000,4.08000000,22338,0,22338,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,91139
19980123,54,VLO,4.08000000,4.08000000,3.92000000,3.92000000,29.50000000,3.92000000,3.92000000,18729,0,18729,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,73418
19980126,54,VLO,3.95000000,4.08000000,3.95000000,4.07000000,30.62500000,4.07000000,4.07000000,16265,0,16265,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,66199
19980127,54,VLO,4.07000000,4.11000000,4.04000000,4.11000000,31.00000000,4.11000000,4.11000000,21268,0,21268,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,87411
19980128,54,VLO,4.10000000,4.21000000,4.08000000,4.21000000,31.75000000,4.21000000,4.21000000,17923,0,17923,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,75456
19980129,54,VLO,4.18000000,4.24000000,4.16000000,4.16000000,31.37500000,4.16000000,4.16000000,17192,0,17192,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,71519
19980130,54,VLO,4.21000000,4.21000000,4.19000000,4.19000000,31.56250000,4.19000000,4.19000000,14842,0,14842,0,"Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,62188
