Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,WEN,5.04000000,5.06000000,4.99000000,5.00000000,23.68750000,5.00000000,5.00000000,1269,0,1269,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6345
19971202,54,WEN,5.02000000,5.09000000,5.00000000,5.07000000,24.00000000,5.07000000,5.07000000,1691,0,1691,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8573
19971203,54,WEN,5.07000000,5.12000000,5.06000000,5.06000000,23.93750000,5.06000000,5.06000000,1440,0,1440,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7286
19971204,54,WEN,5.06000000,5.09000000,5.04000000,5.04000000,23.87500000,5.04000000,5.04000000,1312,0,1312,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6612
19971205,54,WEN,5.07000000,5.23000000,5.07000000,5.19000000,24.56250000,5.19000000,5.19000000,1170,0,1170,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6072
19971208,54,WEN,5.20000000,5.25000000,5.19000000,5.20000000,24.62500000,5.20000000,5.20000000,1530,0,1530,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7956
19971209,54,WEN,5.21000000,5.27000000,5.20000000,5.20000000,24.62500000,5.20000000,5.20000000,1440,0,1440,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7488
19971210,54,WEN,5.17000000,5.17000000,4.86000000,4.98000000,23.56250000,4.98000000,4.98000000,5138,0,5138,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,25587
19971211,54,WEN,4.96000000,4.98000000,4.76000000,4.86000000,23.00000000,4.86000000,4.86000000,2642,0,2642,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12840
19971212,54,WEN,4.84000000,4.92000000,4.84000000,4.92000000,23.31250000,4.92000000,4.92000000,990,0,990,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4871
19971215,54,WEN,4.90000000,4.94000000,4.83000000,4.90000000,23.18750000,4.90000000,4.90000000,4565,0,4565,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22369
19971216,54,WEN,4.86000000,4.90000000,4.82000000,4.84000000,22.93750000,4.84000000,4.84000000,2784,0,2784,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,13475
19971217,54,WEN,4.83000000,4.87000000,4.80000000,4.87000000,23.06250000,4.87000000,4.87000000,1222,0,1222,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5951
19971218,54,WEN,4.90000000,5.06000000,4.90000000,5.02000000,23.75000000,5.02000000,5.02000000,2074,0,2074,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,10411
19971219,54,WEN,4.96000000,5.02000000,4.96000000,5.00000000,23.68750000,5.00000000,5.00000000,2865,0,2865,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14325
19971222,54,WEN,5.02000000,5.12000000,5.02000000,5.08000000,24.06250000,5.08000000,5.08000000,2377,0,2377,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12075
19971223,54,WEN,5.08000000,5.12000000,5.07000000,5.08000000,24.06250000,5.08000000,5.08000000,587,0,587,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2982
19971224,54,WEN,5.08000000,5.11000000,5.07000000,5.07000000,24.00000000,5.07000000,5.07000000,511,0,511,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2591
19971225,54,WEN,5.08000000,5.11000000,5.07000000,5.07000000,24.00000000,24.00000000,5.07000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,WEN,5.09000000,5.11000000,5.09000000,5.11000000,24.18750000,5.11000000,5.11000000,403,0,403,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2059
19971229,54,WEN,5.11000000,5.32000000,5.09000000,5.32000000,25.18750000,5.32000000,5.32000000,1672,0,1672,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8895
19971230,54,WEN,5.33000000,5.70000000,5.33000000,5.66000000,26.81250000,5.66000000,5.66000000,4001,0,4001,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22646
19971231,54,WEN,5.66000000,5.86000000,5.66000000,5.75000000,27.25000000,5.75000000,5.75000000,7321,0,7321,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,42096
19980101,54,WEN,5.66000000,5.86000000,5.66000000,5.75000000,27.25000000,27.25000000,5.75000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,WEN,5.75000000,5.75000000,5.60000000,5.64000000,26.68750000,5.64000000,5.64000000,2263,0,2263,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12763
19980105,54,WEN,5.64000000,5.73000000,5.62000000,5.73000000,27.12500000,5.73000000,5.73000000,2799,0,2799,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,16038
19980106,54,WEN,5.70000000,5.71000000,5.66000000,5.71000000,27.06250000,5.71000000,5.71000000,8306,0,8306,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,47427
19980107,54,WEN,5.73000000,5.73000000,5.46000000,5.61000000,26.56250000,5.61000000,5.61000000,4679,0,4679,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,26249
19980108,54,WEN,5.61000000,5.61000000,5.54000000,5.57000000,26.37500000,5.57000000,5.57000000,5417,0,5417,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,30173
19980109,54,WEN,5.57000000,5.60000000,5.17000000,5.20000000,24.62500000,5.20000000,5.20000000,7060,0,7060,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,36712
19980112,54,WEN,5.12000000,5.28000000,5.09000000,5.16000000,24.43750000,5.16000000,5.16000000,6255,0,6255,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,32276
19980113,54,WEN,5.19000000,5.25000000,5.19000000,5.23000000,24.75000000,5.23000000,5.23000000,5403,0,5403,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,28258
19980114,54,WEN,5.24000000,5.25000000,5.15000000,5.23000000,24.75000000,5.23000000,5.23000000,2126,0,2126,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11119
19980115,54,WEN,5.23000000,5.28000000,5.20000000,5.27000000,24.93750000,5.27000000,5.27000000,2723,0,2723,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14350
19980116,54,WEN,5.28000000,5.35000000,5.23000000,5.27000000,24.93750000,5.27000000,5.27000000,6213,0,6213,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,32743
19980119,54,WEN,5.28000000,5.35000000,5.23000000,5.27000000,24.93750000,24.93750000,5.27000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,WEN,5.29000000,5.31000000,5.25000000,5.28000000,25.00000000,5.28000000,5.28000000,2278,0,2278,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12028
19980121,54,WEN,5.27000000,5.27000000,5.12000000,5.16000000,24.43750000,5.16000000,5.16000000,2368,0,2368,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12219
19980122,54,WEN,5.13000000,5.20000000,5.11000000,5.17000000,24.50000000,5.17000000,5.17000000,1785,0,1785,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9228
19980123,54,WEN,5.15000000,5.17000000,5.04000000,5.13000000,24.31250000,5.13000000,5.13000000,1814,0,1814,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9306
19980126,54,WEN,5.11000000,5.15000000,4.98000000,5.00000000,23.68750000,5.00000000,5.00000000,2245,0,2245,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11225
19980127,54,WEN,5.00000000,5.12000000,4.99000000,5.04000000,23.87500000,5.04000000,5.04000000,1681,0,1681,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8472
19980128,54,WEN,5.04000000,5.12000000,5.04000000,5.11000000,24.18750000,5.11000000,5.11000000,696,0,696,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3557
19980129,54,WEN,5.11000000,5.15000000,5.11000000,5.12000000,24.25000000,5.12000000,5.12000000,999,0,999,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5115
19980130,54,WEN,5.11000000,5.12000000,5.08000000,5.09000000,24.12500000,5.09000000,5.09000000,725,0,725,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3690
19980202,54,WEN,5.11000000,5.24000000,5.11000000,5.17000000,24.50000000,5.17000000,5.17000000,1852,0,1852,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9575
19980203,54,WEN,5.17000000,5.41000000,5.17000000,5.40000000,25.56250000,5.40000000,5.40000000,6440,0,6440,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,34776
19980204,54,WEN,5.17000000,5.17000000,4.99000000,5.17000000,24.50000000,5.17000000,5.17000000,15148,0,15148,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,78315
19980205,54,WEN,5.17000000,5.17000000,5.07000000,5.08000000,24.06250000,5.08000000,5.08000000,1870,0,1870,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9500
19980206,54,WEN,5.07000000,5.07000000,4.96000000,4.98000000,23.56250000,4.98000000,4.98000000,6080,0,6080,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,30278
19980209,54,WEN,4.98000000,4.99000000,4.95000000,4.95000000,23.43750000,4.95000000,4.95000000,2396,0,2396,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11860
19980210,54,WEN,4.94000000,4.96000000,4.92000000,4.94000000,23.37500000,4.94000000,4.94000000,4053,0,4053,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,20022
