Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLB,12.44000000,12.47000000,12.42000000,12.47000000,20.82812500,12.47000000,12.47000000,32,0,32,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,399
19981223,54,XLB,12.55000000,12.65000000,12.55000000,12.60000000,21.04687500,12.60000000,12.60000000,12,0,12,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,151
19981224,54,XLB,12.75000000,12.89000000,12.69000000,12.89000000,21.53125000,12.89000000,12.89000000,25,0,25,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,322
19981225,54,XLB,12.75000000,12.89000000,12.69000000,12.89000000,21.53125000,21.53125000,12.89000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLB,12.87000000,12.87000000,12.76000000,12.77000000,21.34375000,12.77000000,12.77000000,42,0,42,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,536
19981229,54,XLB,13.01000000,13.01000000,13.01000000,13.01000000,21.73437500,13.01000000,13.01000000,2,0,2,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,26
19981230,54,XLB,13.00000000,13.00000000,12.97000000,12.97000000,21.67187500,12.97000000,12.97000000,13,0,13,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,169
19981231,54,XLB,13.08000000,13.17000000,13.08000000,13.12000000,21.92187500,13.12000000,13.12000000,55,0,55,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,722
19990101,54,XLB,13.08000000,13.17000000,13.08000000,13.12000000,21.92187500,21.92187500,13.12000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLB,13.13000000,13.32000000,12.96000000,12.96000000,21.65625000,12.96000000,12.96000000,217,0,217,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2812
19990105,54,XLB,13.08000000,13.35000000,13.08000000,13.28000000,22.18750000,13.28000000,13.28000000,74,0,74,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,983
19990106,54,XLB,13.36000000,13.51000000,13.30000000,13.51000000,22.57812500,13.51000000,13.51000000,216,0,216,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2918
19990107,54,XLB,13.45000000,14.00000000,13.36000000,13.41000000,22.40625000,13.41000000,13.41000000,1440,0,1440,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,19310
19990108,54,XLB,13.53000000,13.87000000,13.53000000,13.87000000,23.17187500,13.87000000,13.87000000,421,0,421,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5839
19990111,54,XLB,13.88000000,13.90000000,13.77000000,13.90000000,23.21875000,13.90000000,13.90000000,237,0,237,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3294
19990112,54,XLB,13.78000000,13.84000000,13.51000000,13.54000000,22.62500000,13.54000000,13.54000000,85,0,85,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1151
19990113,54,XLB,13.14000000,13.39000000,13.14000000,13.24000000,22.12500000,13.24000000,13.24000000,92,0,92,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1218
19990114,54,XLB,13.28000000,13.30000000,12.91000000,13.02000000,21.75000000,13.02000000,13.02000000,2127,0,2127,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,27694
19990115,54,XLB,13.17000000,13.21000000,13.10000000,13.21000000,22.07812500,13.21000000,13.21000000,264,0,264,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3487
19990118,54,XLB,13.17000000,13.21000000,13.10000000,13.21000000,22.07812500,22.07812500,13.21000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990119,54,XLB,13.17000000,13.17000000,12.88000000,12.97000000,21.67187500,12.97000000,12.97000000,446,0,446,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5785
19990120,54,XLB,12.97000000,13.06000000,12.91000000,12.92000000,21.59375000,12.92000000,12.92000000,683,0,683,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8824
19990121,54,XLB,12.92000000,12.94000000,12.80000000,12.87000000,21.50000000,12.87000000,12.87000000,1001,0,1001,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12883
19990122,54,XLB,12.74000000,12.78000000,12.60000000,12.62000000,21.07812500,12.62000000,12.62000000,117,0,117,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1477
19990125,54,XLB,12.75000000,12.87000000,12.70000000,12.87000000,21.50000000,12.87000000,12.87000000,490,0,490,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6306
19990126,54,XLB,12.82000000,12.83000000,12.68000000,12.83000000,21.43750000,12.83000000,12.83000000,30,0,30,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,385
19990127,54,XLB,13.06000000,13.06000000,12.73000000,12.73000000,21.26562500,12.73000000,12.73000000,252,0,252,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3208
19990128,54,XLB,12.80000000,12.80000000,12.57000000,12.57000000,21.00000000,12.57000000,12.57000000,114,0,114,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1433
19990129,54,XLB,12.54000000,12.63000000,12.54000000,12.63000000,21.10937500,12.63000000,12.63000000,7,0,7,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,88
19990201,54,XLB,12.74000000,12.87000000,12.74000000,12.74000000,21.28125000,12.74000000,12.74000000,48,0,48,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,612
19990202,54,XLB,12.69000000,12.79000000,12.68000000,12.75000000,21.29687500,12.75000000,12.75000000,47,0,47,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,599
19990203,54,XLB,12.76000000,12.80000000,12.72000000,12.76000000,21.31250000,12.76000000,12.76000000,18,0,18,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,230
19990204,54,XLB,12.78000000,13.18000000,12.78000000,13.13000000,21.93750000,13.13000000,13.13000000,114,0,114,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1497
19990205,54,XLB,13.20000000,13.43000000,13.20000000,13.31000000,22.23437500,13.31000000,13.31000000,742,0,742,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9876
19990208,54,XLB,13.35000000,13.38000000,13.19000000,13.24000000,22.12500000,13.24000000,13.24000000,373,0,373,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4939
19990209,54,XLB,13.24000000,13.24000000,12.99000000,12.99000000,21.70312500,12.99000000,12.99000000,237,0,237,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3079
19990210,54,XLB,13.08000000,13.08000000,12.96000000,13.02000000,21.75000000,13.02000000,13.02000000,82,0,82,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1068
19990211,54,XLB,12.94000000,13.06000000,12.89000000,12.89000000,21.53125000,12.89000000,12.89000000,169,0,169,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2178
19990212,54,XLB,12.91000000,12.94000000,12.82000000,12.82000000,21.42187500,12.82000000,12.82000000,42,0,42,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,538
19990215,54,XLB,12.91000000,12.94000000,12.82000000,12.82000000,21.42187500,21.42187500,12.82000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990216,54,XLB,13.06000000,13.06000000,12.70000000,12.70000000,21.21875000,12.70000000,12.70000000,105,0,105,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1334
19990217,54,XLB,12.64000000,12.82000000,12.57000000,12.57000000,21.00000000,12.57000000,12.57000000,85,0,85,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1068
19990218,54,XLB,12.60000000,12.68000000,12.52000000,12.66000000,21.15625000,12.66000000,12.66000000,518,0,518,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6558
19990219,54,XLB,12.71000000,12.78000000,12.68000000,12.77000000,21.32812500,12.77000000,12.77000000,135,0,135,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1724
19990222,54,XLB,12.72000000,13.02000000,12.72000000,12.98000000,21.68750000,12.98000000,12.98000000,167,0,167,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2168
19990223,54,XLB,13.01000000,13.02000000,12.79000000,12.87000000,21.50000000,12.87000000,12.87000000,89,0,89,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1145
19990224,54,XLB,13.06000000,13.06000000,12.83000000,12.83000000,21.43750000,12.83000000,12.83000000,47,0,47,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,603
19990225,54,XLB,12.76000000,12.83000000,12.72000000,12.83000000,21.43750000,12.83000000,12.83000000,114,0,114,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1463
19990226,54,XLB,12.83000000,12.83000000,12.83000000,12.83000000,21.43750000,12.83000000,12.83000000,12,0,12,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,154
