Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLE,13.36000000,13.40000000,13.29000000,13.33000000,23.26562500,13.33000000,13.33000000,265,0,265,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3532
19981223,54,XLE,13.37000000,13.61000000,13.36000000,13.61000000,23.75000000,13.61000000,13.61000000,1183,0,1183,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,16101
19981224,54,XLE,13.64000000,13.64000000,13.52000000,13.54000000,23.62500000,13.54000000,13.54000000,215,0,215,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2911
19981225,54,XLE,13.64000000,13.64000000,13.52000000,13.54000000,23.62500000,23.62500000,13.54000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLE,13.61000000,13.61000000,13.37000000,13.46000000,23.50000000,13.46000000,13.46000000,236,0,236,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3177
19981229,54,XLE,13.50000000,13.60000000,13.37000000,13.60000000,23.73437500,13.60000000,13.60000000,384,0,384,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5222
19981230,54,XLE,13.59000000,13.59000000,13.38000000,13.39000000,23.37500000,13.39000000,13.39000000,380,0,380,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5088
19981231,54,XLE,13.37000000,13.37000000,13.30000000,13.37000000,23.34375000,13.37000000,13.37000000,227,0,227,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3035
19990101,54,XLE,13.37000000,13.37000000,13.30000000,13.37000000,23.34375000,23.34375000,13.37000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLE,13.34000000,13.61000000,13.34000000,13.37000000,23.32812500,13.37000000,13.37000000,499,0,499,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6672
19990105,54,XLE,13.45000000,13.45000000,13.28000000,13.29000000,23.20312500,13.29000000,13.29000000,745,0,745,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9901
19990106,54,XLE,13.45000000,13.75000000,13.36000000,13.73000000,23.96875000,13.73000000,13.73000000,984,0,984,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,13510
19990107,54,XLE,13.73000000,13.74000000,13.51000000,13.67000000,23.85937500,13.67000000,13.67000000,1267,0,1267,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,17320
19990108,54,XLE,13.75000000,14.07000000,13.39000000,13.73000000,23.96875000,13.73000000,13.73000000,7350,0,7350,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,100916
19990111,54,XLE,13.61000000,13.63000000,13.43000000,13.47000000,23.51562500,13.47000000,13.47000000,611,0,611,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8230
19990112,54,XLE,13.46000000,13.52000000,13.25000000,13.27000000,23.15625000,13.27000000,13.27000000,1557,0,1557,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,20661
19990113,54,XLE,13.03000000,13.29000000,13.00000000,13.07000000,22.81250000,13.07000000,13.07000000,740,0,740,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9672
19990114,54,XLE,13.03000000,13.11000000,12.82000000,12.82000000,22.37500000,12.82000000,12.82000000,1222,0,1222,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15666
19990115,54,XLE,12.93000000,13.03000000,12.86000000,13.02000000,22.71875000,13.02000000,13.02000000,187,0,187,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2435
19990118,54,XLE,12.93000000,13.03000000,12.86000000,13.02000000,22.71875000,22.71875000,13.02000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990119,54,XLE,13.07000000,13.07000000,12.91000000,13.02000000,22.71875000,13.02000000,13.02000000,223,0,223,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2903
19990120,54,XLE,12.95000000,13.07000000,12.90000000,12.91000000,22.53125000,12.91000000,12.91000000,276,0,276,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3563
19990121,54,XLE,12.91000000,13.12000000,12.89000000,13.02000000,22.71875000,13.02000000,13.02000000,417,0,417,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5429
