Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLF,12.10000000,12.10000000,11.97000000,12.03000000,23.31250000,12.03000000,12.03000000,880,0,880,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,10586
19981223,54,XLF,11.98000000,12.20000000,11.98000000,12.20000000,23.65625000,12.20000000,12.20000000,1241,0,1241,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,15140
19981224,54,XLF,12.20000000,12.28000000,12.16000000,12.28000000,23.81250000,12.28000000,12.28000000,690,0,690,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,8473
19981225,54,XLF,12.20000000,12.28000000,12.16000000,12.28000000,23.81250000,23.81250000,12.28000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLF,12.28000000,12.28000000,12.09000000,12.12000000,23.50000000,12.12000000,12.12000000,818,0,818,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,9914
19981229,54,XLF,12.14000000,12.25000000,11.99000000,12.25000000,23.75000000,12.25000000,12.25000000,1588,0,1588,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,19453
19981230,54,XLF,12.19000000,12.27000000,12.12000000,12.20000000,23.65625000,12.20000000,12.20000000,2435,0,2435,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,29707
19981231,54,XLF,12.20000000,12.22000000,12.09000000,12.09000000,23.43750000,12.09000000,12.09000000,1029,0,1029,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,12441
19990101,54,XLF,12.20000000,12.22000000,12.09000000,12.09000000,23.43750000,23.43750000,12.09000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLF,11.95000000,12.29000000,11.95000000,12.09000000,23.43750000,12.09000000,12.09000000,3947,0,3947,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,47719
19990105,54,XLF,12.04000000,12.22000000,12.04000000,12.20000000,23.65625000,12.20000000,12.20000000,752,0,752,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,9174
19990106,54,XLF,12.43000000,12.61000000,12.35000000,12.59000000,24.40625000,12.59000000,12.59000000,2045,0,2045,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,25747
19990107,54,XLF,12.46000000,12.78000000,12.43000000,12.78000000,24.78125000,12.78000000,12.78000000,1417,0,1417,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,18109
19990108,54,XLF,12.93000000,12.93000000,12.73000000,12.86000000,24.93750000,12.86000000,12.86000000,2735,0,2735,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,35172
19990111,54,XLF,12.88000000,12.88000000,12.55000000,12.67000000,24.56250000,12.67000000,12.67000000,991,0,991,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,12556
19990112,54,XLF,12.61000000,12.61000000,12.32000000,12.32000000,23.87500000,12.32000000,12.32000000,1849,0,1849,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,22780
19990113,54,XLF,11.72000000,12.32000000,11.72000000,12.16000000,23.56250000,12.16000000,12.16000000,5656,0,5656,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,68777
19990114,54,XLF,12.12000000,12.21000000,11.74000000,11.85000000,22.96875000,11.85000000,11.85000000,944,0,944,0,"","","Exchange-Traded Fund",17,17,0.000,0.000,0.000,17.360,N/A,N/A,11186
