Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLI,15.37000000,15.42000000,15.37000000,15.42000000,23.28125000,15.42000000,15.42000000,9,0,9,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,139
19981223,54,XLI,15.54000000,15.73000000,15.54000000,15.69000000,23.68750000,15.69000000,15.69000000,14,0,14,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,220
19981224,54,XLI,15.84000000,15.91000000,15.78000000,15.90000000,24.00000000,15.90000000,15.90000000,21,0,21,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,334
19981225,54,XLI,15.84000000,15.91000000,15.78000000,15.90000000,24.00000000,24.00000000,15.90000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLI,15.90000000,15.99000000,15.90000000,15.98000000,24.12500000,15.98000000,15.98000000,112,0,112,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,1790
19981229,54,XLI,16.06000000,16.21000000,16.06000000,16.21000000,24.46875000,16.21000000,16.21000000,21,0,21,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,340
19981230,54,XLI,16.20000000,16.20000000,16.09000000,16.14000000,24.35937500,16.14000000,16.14000000,42,0,42,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,678
19981231,54,XLI,16.14000000,16.27000000,16.10000000,16.27000000,24.56250000,16.27000000,16.27000000,500,0,500,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,8135
19990101,54,XLI,16.14000000,16.27000000,16.10000000,16.27000000,24.56250000,24.56250000,16.27000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLI,16.29000000,16.46000000,16.04000000,16.04000000,24.21875000,16.04000000,16.04000000,97,0,97,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,1556
19990105,54,XLI,16.21000000,16.40000000,16.14000000,16.37000000,24.71875000,16.37000000,16.37000000,30,0,30,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,491
19990106,54,XLI,16.53000000,16.78000000,16.53000000,16.73000000,25.25000000,16.73000000,16.73000000,204,0,204,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,3413
19990107,54,XLI,16.60000000,16.64000000,16.46000000,16.58000000,25.03125000,16.58000000,16.58000000,198,0,198,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,3283
19990108,54,XLI,16.54000000,16.73000000,16.45000000,16.70000000,25.21875000,16.70000000,16.70000000,166,0,166,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,2772
19990111,54,XLI,16.66000000,16.66000000,16.48000000,16.55000000,24.98437500,16.55000000,16.55000000,33,0,33,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,546
19990112,54,XLI,16.47000000,16.51000000,16.30000000,16.35000000,24.68750000,16.35000000,16.35000000,98,0,98,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,1602
19990113,54,XLI,15.92000000,16.14000000,15.90000000,15.94000000,24.06250000,15.94000000,15.94000000,26,0,26,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,414
19990114,54,XLI,15.90000000,16.04000000,15.87000000,15.87000000,23.95312500,15.87000000,15.87000000,62,0,62,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,984
19990115,54,XLI,15.95000000,16.18000000,15.95000000,16.14000000,24.35937500,16.14000000,16.14000000,74,0,74,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,1194
19990118,54,XLI,15.95000000,16.18000000,15.95000000,16.14000000,24.35937500,24.35937500,16.14000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990119,54,XLI,16.28000000,16.28000000,15.97000000,16.10000000,24.31250000,16.10000000,16.10000000,152,0,152,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,2447
19990120,54,XLI,16.15000000,16.23000000,16.03000000,16.03000000,24.20312500,16.03000000,16.03000000,26,0,26,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,417
19990121,54,XLI,15.99000000,15.99000000,15.89000000,15.90000000,24.00000000,15.90000000,15.90000000,38,0,38,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,604
19990122,54,XLI,15.67000000,15.73000000,15.59000000,15.59000000,23.53125000,15.59000000,15.59000000,131,0,131,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,2042
19990125,54,XLI,15.66000000,15.85000000,15.64000000,15.85000000,23.92187500,15.85000000,15.85000000,69,0,69,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,1094
19990126,54,XLI,15.85000000,15.85000000,15.85000000,15.85000000,23.92187500,15.85000000,15.85000000,0,0,0,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,0
19990127,54,XLI,16.03000000,16.03000000,15.97000000,15.97000000,24.10937500,15.97000000,15.97000000,8,0,8,0,"","","Exchange-Traded Fund",0,24,0.000,0.000,0.000,0.000,N/A,N/A,128
