Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLP,15.28000000,15.67000000,15.28000000,15.65000000,26.50000000,15.65000000,15.65000000,2545,0,2545,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,39829
19981223,54,XLP,15.82000000,17.01000000,15.76000000,16.03000000,27.14062500,16.03000000,16.03000000,745,0,745,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11942
19981224,54,XLP,16.03000000,16.03000000,15.94000000,16.00000000,27.09375000,16.00000000,16.00000000,770,0,770,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12320
19981225,54,XLP,16.03000000,16.03000000,15.94000000,16.00000000,27.09375000,27.09375000,16.00000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLP,16.03000000,16.04000000,15.83000000,15.91000000,26.93750000,15.91000000,15.91000000,430,0,430,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6841
19981229,54,XLP,15.92000000,16.28000000,15.34000000,16.26000000,27.53125000,16.26000000,16.26000000,2091,0,2091,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,34000
19981230,54,XLP,16.26000000,16.30000000,16.13000000,16.16000000,27.35937500,16.16000000,16.16000000,173,0,173,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2796
19981231,54,XLP,16.12000000,16.19000000,15.99000000,16.04000000,27.15625000,16.04000000,16.04000000,1123,0,1123,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,18013
19990101,54,XLP,16.12000000,16.19000000,15.99000000,16.04000000,27.15625000,27.15625000,16.04000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLP,16.17000000,16.29000000,15.79000000,15.91000000,26.93750000,15.91000000,15.91000000,847,0,847,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,13476
19990105,54,XLP,16.00000000,16.11000000,15.95000000,16.03000000,27.14062500,16.03000000,16.03000000,472,0,472,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7566
19990106,54,XLP,16.14000000,16.23000000,16.04000000,16.22000000,27.46875000,16.22000000,16.22000000,2007,0,2007,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,32554
19990107,54,XLP,16.10000000,16.10000000,15.92000000,16.04000000,27.15625000,16.04000000,16.04000000,737,0,737,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11821
19990108,54,XLP,16.04000000,16.05000000,15.72000000,15.97000000,27.04687500,15.97000000,15.97000000,1080,0,1080,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,17248
19990111,54,XLP,15.94000000,15.94000000,15.55000000,15.65000000,26.50000000,15.65000000,15.65000000,1107,0,1107,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,17325
19990112,54,XLP,15.64000000,15.70000000,15.50000000,15.53000000,26.29687500,15.53000000,15.53000000,498,0,498,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7734
19990113,54,XLP,15.09000000,15.64000000,15.09000000,15.56000000,26.34375000,15.56000000,15.56000000,1250,0,1250,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,19450
19990114,54,XLP,15.49000000,15.55000000,15.05000000,15.26000000,25.84375000,15.26000000,15.26000000,522,0,522,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7966
19990115,54,XLP,15.39000000,15.48000000,15.25000000,15.43000000,26.12500000,15.43000000,15.43000000,660,0,660,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,10184
19990118,54,XLP,15.39000000,15.48000000,15.25000000,15.43000000,26.12500000,26.12500000,15.43000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990119,54,XLP,15.55000000,15.55000000,15.15000000,15.25000000,25.82812500,15.25000000,15.25000000,664,0,664,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,10126
19990120,54,XLP,15.34000000,15.46000000,15.22000000,15.30000000,25.90625000,15.30000000,15.30000000,8137,0,8137,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,124496
19990121,54,XLP,15.23000000,15.32000000,14.98000000,15.07000000,25.51562500,15.07000000,15.07000000,720,0,720,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,10850
19990122,54,XLP,14.98000000,15.16000000,14.89000000,14.99000000,25.39062500,14.99000000,14.99000000,1282,0,1282,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,19217
19990125,54,XLP,14.99000000,15.05000000,14.83000000,14.96000000,25.32812500,14.96000000,14.96000000,3031,0,3031,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,45344
19990126,54,XLP,14.97000000,15.31000000,14.94000000,15.31000000,25.92187500,15.31000000,15.31000000,1439,0,1439,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22031
19990127,54,XLP,15.46000000,15.60000000,15.41000000,15.51000000,26.26562500,15.51000000,15.51000000,853,0,853,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,13230
19990128,54,XLP,15.53000000,15.82000000,15.51000000,15.79000000,26.73437500,15.79000000,15.79000000,970,0,970,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15316
19990129,54,XLP,15.83000000,15.94000000,15.61000000,15.82000000,26.79687500,15.82000000,15.82000000,2842,0,2842,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,44960
19990201,54,XLP,15.94000000,15.99000000,15.75000000,15.76000000,26.68750000,15.76000000,15.76000000,969,0,969,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,15271
19990202,54,XLP,15.82000000,15.89000000,15.67000000,15.89000000,26.90625000,15.89000000,15.89000000,1385,0,1385,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22008
19990203,54,XLP,15.82000000,15.89000000,15.68000000,15.83000000,26.81250000,15.83000000,15.83000000,1106,0,1106,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,17508
19990204,54,XLP,15.77000000,15.89000000,15.69000000,15.76000000,26.68750000,15.76000000,15.76000000,583,0,583,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9188
19990205,54,XLP,15.76000000,15.76000000,15.50000000,15.52000000,26.28125000,15.52000000,15.52000000,559,0,559,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8676
19990208,54,XLP,15.48000000,15.58000000,15.36000000,15.49000000,26.23437500,15.49000000,15.49000000,1414,0,1414,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,21903
19990209,54,XLP,15.46000000,15.46000000,15.19000000,15.22000000,25.76562500,15.22000000,15.22000000,754,0,754,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,11476
19990210,54,XLP,15.29000000,15.33000000,15.13000000,15.33000000,25.95312500,15.33000000,15.33000000,542,0,542,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8309
19990211,54,XLP,15.38000000,15.59000000,15.34000000,15.58000000,26.39062500,15.58000000,15.58000000,379,0,379,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5905
19990212,54,XLP,15.61000000,15.66000000,15.34000000,15.46000000,26.17187500,15.46000000,15.46000000,501,0,501,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7745
19990215,54,XLP,15.61000000,15.66000000,15.34000000,15.46000000,26.17187500,26.17187500,15.46000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990216,54,XLP,15.65000000,15.75000000,15.59000000,15.64000000,26.48437500,15.64000000,15.64000000,638,0,638,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,9978
19990217,54,XLP,15.63000000,15.78000000,15.37000000,15.48000000,26.21875000,15.48000000,15.48000000,454,0,454,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7028
19990218,54,XLP,15.54000000,15.70000000,15.51000000,15.65000000,26.50000000,15.65000000,15.65000000,498,0,498,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7794
19990219,54,XLP,15.62000000,15.72000000,15.56000000,15.58000000,26.39062500,15.58000000,15.58000000,513,0,513,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7993
19990222,54,XLP,15.65000000,16.02000000,15.60000000,15.92000000,26.95312500,15.92000000,15.92000000,3111,0,3111,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,49527
