Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
20151008,54,XLRE,24.15500000,24.31600000,24.15500000,24.31600000,30.21000000,24.31600000,24.31600000,25,0,25,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,608
20151009,54,XLRE,24.30800000,24.30800000,24.19500000,24.27600000,30.16000000,24.27600000,24.27600000,53,0,53,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,1287
20151012,54,XLRE,24.48500000,24.48500000,24.36400000,24.42900000,30.35000000,24.42900000,24.42900000,29,0,29,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,708
20151013,54,XLRE,24.27600000,24.27600000,24.27600000,24.27600000,30.16000000,24.27600000,24.27600000,6,0,6,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,146
20151014,54,XLRE,24.27600000,24.27600000,24.27600000,24.27600000,30.16000000,24.27600000,24.27600000,0,0,0,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,0
20151015,54,XLRE,24.17100000,24.20300000,24.17100000,24.20300000,30.07000000,24.20300000,24.20300000,31,0,31,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,750
20151016,54,XLRE,24.62700000,24.67800000,24.62700000,24.66400000,30.64200000,24.66400000,24.66400000,5,0,5,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,123
20151019,54,XLRE,24.71000000,24.96000000,24.71000000,24.95200000,31.00000000,24.95200000,24.95200000,25,0,25,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,624
20151020,54,XLRE,25.24100000,25.24100000,24.94400000,24.97600000,31.03000000,24.97600000,24.97600000,40,0,40,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,999
20151021,54,XLRE,24.99600000,24.99600000,24.99600000,24.99600000,31.05500000,24.99600000,24.99600000,5,0,5,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,125
20151022,54,XLRE,25.09700000,25.32400000,25.09400000,25.31200000,31.44800000,25.31200000,25.31200000,27,0,27,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,683
20151023,54,XLRE,24.99400000,25.00800000,24.90300000,25.00800000,31.07000000,25.00800000,25.00800000,43,0,43,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,1075
20151026,54,XLRE,24.97400000,25.04800000,24.97400000,25.04000000,31.11000000,25.04000000,25.04000000,7,0,7,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,175
20151027,54,XLRE,25.00000000,25.04800000,24.95200000,25.04700000,31.11800000,25.04700000,25.04700000,42,0,42,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,1052
20151028,54,XLRE,25.14500000,25.21700000,24.95600000,24.95600000,31.00500000,24.95600000,24.95600000,40,0,40,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,998
20151029,54,XLRE,24.97600000,25.06900000,24.96000000,25.06900000,31.14600000,25.06900000,25.06900000,48,0,48,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,1203
20151030,54,XLRE,24.91100000,24.91100000,24.91100000,24.91100000,30.95000000,24.91100000,24.91100000,2,0,2,0,"","","Exchange-Traded Fund",0,0,16.840,16.840,16.610,0.000,N/A,N/A,50
