Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLU,13.46000000,13.46000000,13.27000000,13.27000000,29.82812500,13.27000000,13.27000000,178,0,178,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,2362
19981223,54,XLU,13.26000000,13.26000000,13.19000000,13.21000000,29.70312500,13.21000000,13.21000000,542,0,542,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,7160
19981224,54,XLU,13.44000000,13.49000000,13.42000000,13.46000000,30.25000000,13.46000000,13.46000000,535,0,535,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,7201
19981225,54,XLU,13.44000000,13.49000000,13.42000000,13.46000000,30.25000000,30.25000000,13.46000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLU,13.43000000,13.46000000,13.37000000,13.39000000,30.09375000,13.39000000,13.39000000,70,0,70,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,937
19981229,54,XLU,13.44000000,13.65000000,13.44000000,13.61000000,30.59375000,13.61000000,13.61000000,270,0,270,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,3675
19981230,54,XLU,13.68000000,13.71000000,13.50000000,13.50000000,30.34375000,13.50000000,13.50000000,1582,0,1582,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,21357
19981231,54,XLU,13.45000000,13.45000000,13.36000000,13.45000000,30.23437500,13.45000000,13.45000000,486,0,486,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,6537
19990101,54,XLU,13.45000000,13.45000000,13.36000000,13.45000000,30.23437500,30.23437500,13.45000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLU,13.35000000,13.46000000,13.18000000,13.24000000,29.75000000,13.24000000,13.24000000,2457,0,2457,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,32531
19990105,54,XLU,13.34000000,13.40000000,13.28000000,13.40000000,30.10937500,13.40000000,13.40000000,2500,0,2500,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,33500
19990106,54,XLU,13.44000000,13.58000000,13.44000000,13.53000000,30.42187500,13.53000000,13.53000000,922,0,922,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,12475
19990107,54,XLU,13.53000000,13.67000000,13.46000000,13.49000000,30.31250000,13.49000000,13.49000000,4997,0,4997,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,67410
19990108,54,XLU,13.53000000,13.58000000,13.40000000,13.56000000,30.48437500,13.56000000,13.56000000,3055,0,3055,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,41426
19990111,54,XLU,13.49000000,13.49000000,13.15000000,13.20000000,29.67187500,13.20000000,13.20000000,2900,0,2900,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,38280
19990112,54,XLU,13.19000000,13.40000000,13.14000000,13.21000000,29.68750000,13.21000000,13.21000000,160,0,160,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,2114
19990113,54,XLU,13.12000000,13.40000000,13.12000000,13.30000000,29.89062500,13.30000000,13.30000000,582,0,582,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,7741
19990114,54,XLU,13.11000000,13.24000000,13.01000000,13.08000000,29.39062500,13.08000000,13.08000000,450,0,450,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,5886
19990115,54,XLU,13.12000000,13.26000000,13.09000000,13.14000000,29.53125000,13.14000000,13.14000000,155,0,155,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,2037
19990118,54,XLU,13.12000000,13.26000000,13.09000000,13.14000000,29.53125000,29.53125000,13.14000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990119,54,XLU,13.54000000,13.58000000,13.35000000,13.58000000,30.53125000,13.58000000,13.58000000,274,0,274,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,3721
19990120,54,XLU,13.60000000,13.67000000,13.47000000,13.53000000,30.40625000,13.53000000,13.53000000,735,0,735,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,9945
19990121,54,XLU,13.62000000,13.62000000,13.48000000,13.48000000,30.29687500,13.48000000,13.48000000,461,0,461,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,6214
19990122,54,XLU,13.39000000,13.67000000,13.33000000,13.57000000,30.50000000,13.57000000,13.57000000,468,0,468,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,6351
19990125,54,XLU,13.57000000,13.57000000,13.06000000,13.06000000,29.35937500,13.06000000,13.06000000,306,0,306,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,3996
19990126,54,XLU,13.21000000,13.32000000,13.01000000,13.32000000,29.93750000,13.32000000,13.32000000,342,0,342,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,4555
19990127,54,XLU,13.28000000,13.28000000,13.12000000,13.12000000,29.48437500,13.12000000,13.12000000,175,0,175,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,2296
19990128,54,XLU,13.15000000,13.32000000,13.14000000,13.14000000,29.53125000,13.14000000,13.14000000,396,0,396,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,5203
19990129,54,XLU,13.14000000,13.19000000,12.99000000,13.12000000,29.48437500,13.12000000,13.12000000,895,0,895,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,11742
19990201,54,XLU,13.19000000,13.19000000,13.01000000,13.09000000,29.42187500,13.09000000,13.09000000,274,0,274,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,3587
19990202,54,XLU,12.92000000,12.95000000,12.75000000,12.92000000,29.03125000,12.92000000,12.92000000,623,0,623,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,8049
19990203,54,XLU,12.85000000,13.00000000,12.85000000,12.98000000,29.18750000,12.98000000,12.98000000,731,0,731,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,9488
19990204,54,XLU,12.96000000,12.96000000,12.79000000,12.79000000,28.75000000,12.79000000,12.79000000,409,0,409,0,"","","Exchange-Traded Fund",0,0,-0.000,-0.000,0.000,-1.783,N/A,N/A,5231
