Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLV,17.84000000,18.02000000,17.84000000,18.00000000,25.03125000,18.00000000,18.00000000,79,0,79,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,1422
19981223,54,XLV,18.11000000,18.40000000,18.11000000,18.40000000,25.59375000,18.40000000,18.40000000,252,0,252,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,4637
19981224,54,XLV,18.43000000,18.52000000,18.35000000,18.52000000,25.75000000,18.52000000,18.52000000,68,0,68,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,1259
19981225,54,XLV,18.43000000,18.52000000,18.35000000,18.52000000,25.75000000,25.75000000,18.52000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLV,18.46000000,18.52000000,18.25000000,18.25000000,25.37500000,18.25000000,18.25000000,216,0,216,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,3942
19981229,54,XLV,18.25000000,18.65000000,18.25000000,18.65000000,25.93750000,18.65000000,18.65000000,74,0,74,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,1380
19981230,54,XLV,18.70000000,18.72000000,18.49000000,18.49000000,25.71875000,18.49000000,18.49000000,241,0,241,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,4456
19981231,54,XLV,18.56000000,18.70000000,18.52000000,18.70000000,26.00000000,18.70000000,18.70000000,92,0,92,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,1720
19990101,54,XLV,18.56000000,18.70000000,18.52000000,18.70000000,26.00000000,26.00000000,18.70000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLV,18.88000000,18.97000000,18.54000000,18.65000000,25.93750000,18.65000000,18.65000000,3465,0,3465,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,64622
19990105,54,XLV,18.70000000,18.94000000,18.70000000,18.94000000,26.34375000,18.94000000,18.94000000,61,0,61,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,1155
19990106,54,XLV,19.08000000,19.26000000,19.03000000,19.26000000,26.78125000,19.26000000,19.26000000,535,0,535,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,10304
19990107,54,XLV,19.08000000,19.19000000,18.94000000,19.17000000,26.65625000,19.17000000,19.17000000,221,0,221,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,4237
19990108,54,XLV,19.21000000,19.40000000,19.21000000,19.40000000,26.98437500,19.40000000,19.40000000,339,0,339,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,6577
19990111,54,XLV,19.39000000,19.60000000,19.28000000,19.45000000,27.04687500,19.45000000,19.45000000,107,0,107,0,"","","Exchange-Traded Fund",0,41,0.000,0.000,30.200,29.910,N/A,N/A,2081
