Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19981222,54,XLY,19.33000000,19.45000000,19.33000000,19.45000000,25.46875000,19.45000000,19.45000000,48,0,48,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,934
19981223,54,XLY,19.48000000,19.67000000,19.45000000,19.54000000,25.57812500,19.54000000,19.54000000,157,0,157,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3068
19981224,54,XLY,19.81000000,19.90000000,19.72000000,19.90000000,26.04687500,19.90000000,19.90000000,21,0,21,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,418
19981225,54,XLY,19.81000000,19.90000000,19.72000000,19.90000000,26.04687500,26.04687500,19.90000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19981228,54,XLY,19.80000000,19.81000000,19.72000000,19.72000000,25.81250000,19.72000000,19.72000000,113,0,113,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2228
19981229,54,XLY,19.78000000,20.15000000,19.78000000,20.15000000,26.37500000,20.15000000,20.15000000,14,0,14,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,282
19981230,54,XLY,20.13000000,20.17000000,19.98000000,19.98000000,26.15625000,19.98000000,19.98000000,415,0,415,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8292
19981231,54,XLY,19.98000000,20.05000000,19.96000000,19.96000000,26.12500000,19.96000000,19.96000000,424,0,424,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8463
19990101,54,XLY,19.98000000,20.05000000,19.96000000,19.96000000,26.12500000,26.12500000,19.96000000,0,0,0,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19990104,54,XLY,19.98000000,20.27000000,19.79000000,19.84000000,25.96875000,19.84000000,19.84000000,68,0,68,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1349
19990105,54,XLY,19.96000000,20.17000000,19.96000000,20.17000000,26.40625000,20.17000000,20.17000000,17,0,17,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,343
19990106,54,XLY,20.41000000,20.74000000,20.41000000,20.74000000,27.15625000,20.74000000,20.74000000,106,0,106,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2198
19990107,54,XLY,20.65000000,20.86000000,20.62000000,20.72000000,27.12500000,20.72000000,20.72000000,179,0,179,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,3709
19990108,54,XLY,20.84000000,20.93000000,20.71000000,20.74000000,27.15625000,20.74000000,20.74000000,244,0,244,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5061
19990111,54,XLY,20.81000000,20.84000000,20.47000000,20.64000000,27.01562500,20.64000000,20.64000000,826,0,826,0,"","","Exchange-Traded Fund",0,0,0.000,0.000,0.000,0.000,N/A,N/A,17049
