Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,XOM,14.64000000,14.82000000,14.40000000,14.78000000,61.56250000,14.78000000,14.78000000,125411,0,125411,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1853575
19971202,54,XOM,14.72000000,14.94000000,14.66000000,14.69000000,61.18750000,14.69000000,14.69000000,129831,0,129831,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1907217
19971203,54,XOM,14.66000000,15.17000000,14.66000000,14.99000000,62.43750000,14.99000000,14.99000000,136148,0,136148,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2040859
19971204,54,XOM,15.11000000,15.18000000,14.91000000,14.96000000,62.31250000,14.96000000,14.96000000,115461,0,115461,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1727297
19971205,54,XOM,14.99000000,15.54000000,14.99000000,15.36000000,64.00000000,15.36000000,15.36000000,177342,0,177342,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2723973
19971208,54,XOM,15.39000000,15.42000000,15.08000000,15.17000000,63.18750000,15.17000000,15.17000000,135652,0,135652,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2057841
19971209,54,XOM,15.18000000,15.23000000,14.91000000,14.97000000,62.37500000,14.97000000,14.97000000,110116,0,110116,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1648437
19971210,54,XOM,14.96000000,15.17000000,14.90000000,15.06000000,62.75000000,15.06000000,15.06000000,94054,0,94054,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1416453
19971211,54,XOM,15.11000000,15.27000000,14.88000000,14.97000000,62.37500000,14.97000000,14.97000000,117569,0,117569,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1760008
19971212,54,XOM,14.97000000,14.99000000,14.78000000,14.88000000,62.00000000,14.88000000,14.88000000,108799,0,108799,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1618929
19971215,54,XOM,14.91000000,15.18000000,14.91000000,15.08000000,62.81250000,15.08000000,15.08000000,102333,0,102333,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1543182
19971216,54,XOM,15.17000000,15.33000000,15.12000000,15.26000000,63.56250000,15.26000000,15.26000000,100024,0,100024,0,"Energy","Energy/Integrated Oil and Gas","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,1526366
