Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,YUM,4.48000000,4.48000000,4.41000000,4.43000000,34.00000000,4.43000000,4.43000000,41707,0,41707,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,184762
19971202,54,YUM,4.46000000,4.46000000,4.38000000,4.44000000,34.06250000,4.44000000,4.44000000,60017,0,60017,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,266475
19971203,54,YUM,4.43000000,4.53000000,4.43000000,4.52000000,34.68750000,4.52000000,4.52000000,27680,0,27680,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,125114
19971204,54,YUM,4.56000000,4.62000000,4.52000000,4.54000000,34.81250000,4.54000000,4.54000000,62979,0,62979,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,285925
19971205,54,YUM,4.54000000,4.54000000,4.50000000,4.51000000,34.62500000,4.51000000,4.51000000,54753,0,54753,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,246936
19971208,54,YUM,4.48000000,4.55000000,4.46000000,4.50000000,34.50000000,4.50000000,4.50000000,29552,0,29552,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,132984
19971209,54,YUM,4.45000000,4.50000000,4.44000000,4.46000000,34.18750000,4.46000000,4.46000000,26805,0,26805,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,119550
19971210,54,YUM,4.43000000,4.43000000,4.13000000,4.20000000,32.25000000,4.20000000,4.20000000,123280,0,123280,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,517776
19971211,54,YUM,4.12000000,4.14000000,4.02000000,4.06000000,31.12500000,4.06000000,4.06000000,83538,0,83538,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,339164
19971212,54,YUM,4.06000000,4.07000000,3.94000000,3.96000000,30.37500000,3.96000000,3.96000000,64522,0,64522,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,255507
19971215,54,YUM,3.93000000,4.01000000,3.92000000,3.93000000,30.18750000,3.93000000,3.93000000,137608,0,137608,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,540799
19971216,54,YUM,3.91000000,4.03000000,3.91000000,4.01000000,30.75000000,4.01000000,4.01000000,146532,0,146532,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,587593
19971217,54,YUM,4.02000000,4.08000000,3.93000000,3.96000000,30.37500000,3.96000000,3.96000000,96422,0,96422,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,381831
19971218,54,YUM,3.93000000,3.93000000,3.85000000,3.89000000,29.87500000,3.89000000,3.89000000,37264,0,37264,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,144957
19971219,54,YUM,3.88000000,3.91000000,3.86000000,3.88000000,29.81250000,3.88000000,3.88000000,38914,0,38914,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,150986
19971222,54,YUM,3.91000000,3.93000000,3.83000000,3.88000000,29.81250000,3.88000000,3.88000000,31087,0,31087,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,120618
19971223,54,YUM,3.85000000,3.87000000,3.69000000,3.70000000,28.37500000,3.70000000,3.70000000,60270,0,60270,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,222999
19971224,54,YUM,3.67000000,3.75000000,3.63000000,3.75000000,28.75000000,3.75000000,3.75000000,29567,0,29567,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,110876
19971225,54,YUM,3.67000000,3.75000000,3.63000000,3.75000000,28.75000000,28.75000000,3.75000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,YUM,3.73000000,3.74000000,3.69000000,3.69000000,28.31250000,3.69000000,3.69000000,17028,0,17028,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,62833
19971229,54,YUM,3.66000000,3.78000000,3.65000000,3.70000000,28.37500000,3.70000000,3.70000000,30097,0,30097,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,111359
19971230,54,YUM,3.70000000,3.85000000,3.69000000,3.82000000,29.31250000,3.82000000,3.82000000,37095,0,37095,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,141703
19971231,54,YUM,3.79000000,3.80000000,3.75000000,3.79000000,29.06250000,3.79000000,3.79000000,58229,0,58229,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,220688
19980101,54,YUM,3.79000000,3.80000000,3.75000000,3.79000000,29.06250000,29.06250000,3.79000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,YUM,3.79000000,3.82000000,3.70000000,3.80000000,29.12500000,3.80000000,3.80000000,40817,0,40817,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,155105
19980105,54,YUM,3.80000000,3.81000000,3.63000000,3.68000000,28.25000000,3.68000000,3.68000000,94580,0,94580,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,348054
19980106,54,YUM,3.63000000,3.63000000,3.51000000,3.53000000,27.06250000,3.53000000,3.53000000,118085,0,118085,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,416840
19980107,54,YUM,3.50000000,3.62000000,3.47000000,3.52000000,27.00000000,3.52000000,3.52000000,82947,0,82947,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,291973
19980108,54,YUM,3.45000000,3.49000000,3.36000000,3.38000000,25.93750000,3.38000000,3.38000000,74935,0,74935,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,253280
19980109,54,YUM,3.37000000,3.51000000,3.36000000,3.39000000,26.00000000,3.39000000,3.39000000,134193,0,134193,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,454914
19980112,54,YUM,3.27000000,3.45000000,3.27000000,3.40000000,26.12500000,3.40000000,3.40000000,73546,0,73546,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,250056
19980113,54,YUM,3.37000000,3.44000000,3.36000000,3.40000000,26.12500000,3.40000000,3.40000000,68727,0,68727,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,233672
19980114,54,YUM,3.41000000,3.49000000,3.33000000,3.40000000,26.12500000,3.40000000,3.40000000,52259,0,52259,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,177681
19980115,54,YUM,3.39000000,3.50000000,3.36000000,3.49000000,26.75000000,3.49000000,3.49000000,121109,0,121109,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,422670
19980116,54,YUM,3.47000000,3.52000000,3.46000000,3.51000000,26.93750000,3.51000000,3.51000000,42705,0,42705,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,149895
19980119,54,YUM,3.47000000,3.52000000,3.46000000,3.51000000,26.93750000,26.93750000,3.51000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,YUM,3.50000000,3.62000000,3.49000000,3.62000000,27.75000000,3.62000000,3.62000000,54032,0,54032,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,195596
19980121,54,YUM,3.58000000,3.58000000,3.54000000,3.57000000,27.37500000,3.57000000,3.57000000,32606,0,32606,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,116403
19980122,54,YUM,3.57000000,3.58000000,3.52000000,3.53000000,27.12500000,3.53000000,3.53000000,39451,0,39451,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,139262
19980123,54,YUM,3.52000000,3.53000000,3.46000000,3.49000000,26.75000000,3.49000000,3.49000000,45744,0,45744,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,159647
19980126,54,YUM,3.45000000,3.51000000,3.44000000,3.47000000,26.62500000,3.47000000,3.47000000,34080,0,34080,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,118258
19980127,54,YUM,3.42000000,3.47000000,3.39000000,3.46000000,26.56250000,3.46000000,3.46000000,65189,0,65189,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,225554
19980128,54,YUM,3.45000000,3.57000000,3.44000000,3.57000000,27.37500000,3.57000000,3.57000000,74943,0,74943,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,267547
19980129,54,YUM,3.53000000,3.66000000,3.52000000,3.58000000,27.43750000,3.58000000,3.58000000,59173,0,59173,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,211839
19980130,54,YUM,3.55000000,3.57000000,3.51000000,3.56000000,27.31250000,3.56000000,3.56000000,114870,0,114870,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,408937
19980202,54,YUM,3.59000000,3.71000000,3.59000000,3.63000000,27.87500000,3.63000000,3.63000000,74782,0,74782,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,271459
19980203,54,YUM,3.60000000,3.62000000,3.58000000,3.60000000,27.62500000,3.60000000,3.60000000,56403,0,56403,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,203051
19980204,54,YUM,3.58000000,3.71000000,3.57000000,3.70000000,28.37500000,3.70000000,3.70000000,72418,0,72418,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,267947
19980205,54,YUM,3.66000000,3.70000000,3.63000000,3.65000000,28.00000000,3.65000000,3.65000000,42505,0,42505,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,155143
19980206,54,YUM,3.62000000,3.75000000,3.62000000,3.74000000,28.68750000,3.74000000,3.74000000,37671,0,37671,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,140890
19980209,54,YUM,3.68000000,3.71000000,3.62000000,3.68000000,28.25000000,3.68000000,3.68000000,29406,0,29406,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,108214
19980210,54,YUM,3.67000000,3.73000000,3.62000000,3.71000000,28.43750000,3.71000000,3.71000000,27411,0,27411,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,101695
19980211,54,YUM,3.68000000,3.69000000,3.61000000,3.67000000,28.18750000,3.67000000,3.67000000,39781,0,39781,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,145996
19980212,54,YUM,3.67000000,3.70000000,3.55000000,3.58000000,27.50000000,3.58000000,3.58000000,88203,0,88203,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,315767
19980213,54,YUM,3.58000000,3.78000000,3.52000000,3.55000000,27.25000000,3.55000000,3.55000000,113811,0,113811,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,404029
19980216,54,YUM,3.58000000,3.78000000,3.52000000,3.55000000,27.25000000,27.25000000,3.55000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980217,54,YUM,3.39000000,3.48000000,3.39000000,3.48000000,26.68750000,3.48000000,3.48000000,87121,0,87121,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,303181
19980218,54,YUM,3.44000000,3.45000000,3.39000000,3.40000000,26.12500000,3.40000000,3.40000000,100574,0,100574,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,341952
19980219,54,YUM,3.40000000,3.60000000,3.40000000,3.53000000,27.06250000,3.53000000,3.53000000,84205,0,84205,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,297244
19980220,54,YUM,3.56000000,3.56000000,3.46000000,3.49000000,26.75000000,3.49000000,3.49000000,33865,0,33865,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,118189
19980223,54,YUM,3.53000000,3.53000000,3.45000000,3.47000000,26.62500000,3.47000000,3.47000000,44086,0,44086,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,152978
19980224,54,YUM,3.45000000,3.58000000,3.45000000,3.53000000,27.12500000,3.53000000,3.53000000,40817,0,40817,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,144084
19980225,54,YUM,3.52000000,3.55000000,3.49000000,3.52000000,27.00000000,3.52000000,3.52000000,30427,0,30427,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,107103
19980226,54,YUM,3.52000000,3.68000000,3.51000000,3.64000000,27.93750000,3.64000000,3.64000000,56065,0,56065,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,204077
19980227,54,YUM,3.65000000,3.71000000,3.64000000,3.71000000,28.50000000,3.71000000,3.71000000,39229,0,39229,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,145540
19980302,54,YUM,3.70000000,3.84000000,3.69000000,3.84000000,29.43750000,3.84000000,3.84000000,59319,0,59319,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,42.030,42.030,41.470,0.000,N/A,N/A,227785
