Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,MarketCap
19971201,54,WEN,5.20000000,5.21000000,5.15000000,5.16000000,23.68750000,5.16000000,5.16000000,1230,0,1230,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971202,54,WEN,5.17000000,5.25000000,5.16000000,5.23000000,24.00000000,5.23000000,5.23000000,1639,0,1639,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971203,54,WEN,5.23000000,5.28000000,5.21000000,5.21000000,23.93750000,5.21000000,5.21000000,1396,0,1396,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971204,54,WEN,5.21000000,5.25000000,5.20000000,5.20000000,23.87500000,5.20000000,5.20000000,1272,0,1272,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971205,54,WEN,5.23000000,5.39000000,5.23000000,5.35000000,24.56250000,5.35000000,5.35000000,1134,0,1134,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971208,54,WEN,5.36000000,5.42000000,5.35000000,5.36000000,24.62500000,5.36000000,5.36000000,1483,0,1483,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971209,54,WEN,5.38000000,5.43000000,5.36000000,5.36000000,24.62500000,5.36000000,5.36000000,1396,0,1396,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971210,54,WEN,5.34000000,5.34000000,5.01000000,5.13000000,23.56250000,5.13000000,5.13000000,4981,0,4981,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971211,54,WEN,5.12000000,5.13000000,4.91000000,5.01000000,23.00000000,5.01000000,5.01000000,2562,0,2562,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971212,54,WEN,5.00000000,5.08000000,5.00000000,5.08000000,23.31250000,5.08000000,5.08000000,960,0,960,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971215,54,WEN,5.05000000,5.09000000,4.98000000,5.05000000,23.18750000,5.05000000,5.05000000,4426,0,4426,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971216,54,WEN,5.01000000,5.05000000,4.97000000,5.00000000,22.93750000,5.00000000,5.00000000,2700,0,2700,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971217,54,WEN,4.98000000,5.02000000,4.96000000,5.02000000,23.06250000,5.02000000,5.02000000,1184,0,1184,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971218,54,WEN,5.05000000,5.21000000,5.05000000,5.17000000,23.75000000,5.17000000,5.17000000,2011,0,2011,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971219,54,WEN,5.12000000,5.17000000,5.12000000,5.16000000,23.68750000,5.16000000,5.16000000,2778,0,2778,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971222,54,WEN,5.17000000,5.28000000,5.17000000,5.24000000,24.06250000,5.24000000,5.24000000,2305,0,2305,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971223,54,WEN,5.24000000,5.28000000,5.23000000,5.24000000,24.06250000,5.24000000,5.24000000,569,0,569,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971224,54,WEN,5.24000000,5.27000000,5.23000000,5.23000000,24.00000000,5.23000000,5.23000000,496,0,496,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971225,54,WEN,5.24000000,5.27000000,5.23000000,5.23000000,24.00000000,24.00000000,5.23000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,WEN,5.25000000,5.27000000,5.25000000,5.27000000,24.18750000,5.27000000,5.27000000,390,0,390,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971229,54,WEN,5.27000000,5.49000000,5.25000000,5.49000000,25.18750000,5.49000000,5.49000000,1621,0,1621,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971230,54,WEN,5.50000000,5.88000000,5.50000000,5.84000000,26.81250000,5.84000000,5.84000000,3879,0,3879,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971231,54,WEN,5.84000000,6.04000000,5.84000000,5.94000000,27.25000000,5.94000000,5.94000000,7098,0,7098,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980101,54,WEN,5.84000000,6.04000000,5.84000000,5.94000000,27.25000000,27.25000000,5.94000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,WEN,5.94000000,5.94000000,5.77000000,5.81000000,26.68750000,5.81000000,5.81000000,2195,0,2195,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980105,54,WEN,5.81000000,5.91000000,5.80000000,5.91000000,27.12500000,5.91000000,5.91000000,2713,0,2713,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980106,54,WEN,5.88000000,5.89000000,5.84000000,5.89000000,27.06250000,5.89000000,5.89000000,8053,0,8053,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980107,54,WEN,5.91000000,5.91000000,5.64000000,5.79000000,26.56250000,5.79000000,5.79000000,4536,0,4536,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,-0,0.000,0.000,0.000,0.000,N/A,N/A,0
