Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,WEN,4.94828344,4.96123707,4.89646896,4.90942258,23.68750000,4.90942258,4.90942258,1293,0,1293,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6348
19971202,54,WEN,4.92237620,5.00009793,4.90942258,4.97419069,24.00000000,4.97419069,4.97419069,1722,0,1722,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,8566
19971203,54,WEN,4.97419069,5.02600517,4.96123707,4.96123707,23.93750000,4.96123707,4.96123707,1467,0,1467,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7278
19971204,54,WEN,4.96123707,5.00009793,4.94828344,4.94828344,23.87500000,4.94828344,4.94828344,1336,0,1336,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6611
19971205,54,WEN,4.97419069,5.12963415,4.97419069,5.09077328,24.56250000,5.09077328,5.09077328,1192,0,1192,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,6068
19971208,54,WEN,5.10372690,5.15554139,5.09077328,5.10372690,24.62500000,5.10372690,5.10372690,1558,0,1558,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7952
19971209,54,WEN,5.11668052,5.16849501,5.10372690,5.10372690,24.62500000,5.10372690,5.10372690,1467,0,1467,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,7487
19971210,54,WEN,5.07781966,5.07781966,4.76693274,4.88351534,23.56250000,4.88351534,4.88351534,5235,0,5235,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,25565
19971211,54,WEN,4.87056171,4.88351534,4.67625739,4.76693274,23.00000000,4.76693274,4.76693274,2692,0,2692,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12833
19971212,54,WEN,4.75397912,4.83170085,4.75397912,4.83170085,23.31250000,4.83170085,4.83170085,1008,0,1008,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,4870
19971215,54,WEN,4.80579361,4.84465447,4.74102550,4.80579361,23.18750000,4.80579361,4.80579361,4651,0,4651,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,22352
19971216,54,WEN,4.76693274,4.80579361,4.72807188,4.75397912,22.93750000,4.75397912,4.75397912,2837,0,2837,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,13487
19971217,54,WEN,4.74102550,4.77988636,4.71511826,4.77988636,23.06250000,4.77988636,4.77988636,1245,0,1245,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,5951
19971218,54,WEN,4.80579361,4.96123707,4.80579361,4.92237620,23.75000000,4.92237620,4.92237620,2113,0,2113,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,10401
19971219,54,WEN,4.87056171,4.92237620,4.87056171,4.90942258,23.68750000,4.90942258,4.90942258,2919,0,2919,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,14331
19971222,54,WEN,4.92237620,5.02600517,4.92237620,4.98714431,24.06250000,4.98714431,4.98714431,2422,0,2422,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,12079
19971223,54,WEN,4.98714431,5.02600517,4.97419069,4.98714431,24.06250000,4.98714431,4.98714431,598,0,598,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2982
19971224,54,WEN,4.98714431,5.01305155,4.97419069,4.97419069,24.00000000,4.97419069,4.97419069,521,0,521,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,2592
