Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,$ Volume
19971201,54,YUM,4.41494685,4.41494685,4.34270227,4.36678380,34.00000000,4.36678380,4.36678380,42317,0,42317,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,184789
19971202,54,YUM,4.39889250,4.39889250,4.31862074,4.37481097,34.06250000,4.37481097,4.37481097,60895,0,60895,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,266404
19971203,54,YUM,4.36678380,4.46310991,4.36678380,4.45508274,34.68750000,4.45508274,4.45508274,28084,0,28084,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,125117
19971204,54,YUM,4.49521862,4.55140885,4.45508274,4.47113709,34.81250000,4.47113709,4.47113709,63900,0,63900,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,285706
19971205,54,YUM,4.47113709,4.47916426,4.43100121,4.44705556,34.62500000,4.44705556,4.44705556,55553,0,55553,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,247047
19971208,54,YUM,4.41494685,4.48719144,4.39889250,4.43100121,34.50000000,4.43100121,4.43100121,29984,0,29984,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,132859
19971209,54,YUM,4.38283815,4.43100121,4.37481097,4.39086533,34.18750000,4.39086533,4.39086533,27197,0,27197,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,119418
19971210,54,YUM,4.36678380,4.36678380,4.06977828,4.14202287,32.25000000,4.14202287,4.14202287,125083,0,125083,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,518097
19971211,54,YUM,4.06175111,4.07780546,3.96542499,3.99753370,31.12500000,3.99753370,3.99753370,84759,0,84759,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,338827
19971212,54,YUM,4.00556087,4.01358805,3.88515323,3.90120758,30.37500000,3.90120758,3.90120758,65465,0,65465,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,255393
19971215,54,YUM,3.86909888,3.94937064,3.86107170,3.87712606,30.18750000,3.87712606,3.87712606,139619,0,139619,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,541320
19971216,54,YUM,3.85304453,3.97345217,3.85304453,3.94937064,30.75000000,3.94937064,3.94937064,148675,0,148675,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,587173
19971217,54,YUM,3.95739782,4.02161523,3.87712606,3.90120758,30.37500000,3.90120758,3.90120758,97832,0,97832,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,381663
19971218,54,YUM,3.86909888,3.87712606,3.79685430,3.83699018,29.87500000,3.83699018,3.83699018,37809,0,37809,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,145073
19971219,54,YUM,3.82093582,3.85304453,3.80488147,3.82896300,29.81250000,3.82896300,3.82896300,39483,0,39483,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,151179
19971222,54,YUM,3.85304453,3.86909888,3.77277277,3.82896300,29.81250000,3.82896300,3.82896300,31541,0,31541,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,120769
19971223,54,YUM,3.79685430,3.81290865,3.63631077,3.64433795,28.37500000,3.64433795,3.64433795,61152,0,61152,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,222859
19971224,54,YUM,3.61222924,3.70052818,3.58012054,3.69250101,28.75000000,3.69250101,3.69250101,30000,0,30000,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,110775
19971225,54,YUM,3.61222924,3.70052818,3.58012054,3.69250101,28.75000000,28.75000000,3.69250101,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19971226,54,YUM,3.67644665,3.68447383,3.63631077,3.63631077,28.31250000,3.63631077,3.63631077,17277,0,17277,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,62825
19971229,54,YUM,3.60420207,3.72460971,3.59617489,3.64433795,28.37500000,3.64433795,3.64433795,30537,0,30537,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,111287
19971230,54,YUM,3.64433795,3.79685430,3.63631077,3.76474559,29.31250000,3.76474559,3.76474559,37638,0,37638,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,141697
19971231,54,YUM,3.73263689,3.74869124,3.69250101,3.73263689,29.06250000,3.73263689,3.73263689,59081,0,59081,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,220528
19980101,54,YUM,3.73263689,3.74869124,3.69250101,3.73263689,29.06250000,29.06250000,3.73263689,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980102,54,YUM,3.73263689,3.76474559,3.64433795,3.74066406,29.12500000,3.74066406,3.74066406,41414,0,41414,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,154916
19980105,54,YUM,3.74066406,3.75671841,3.58012054,3.62828360,28.25000000,3.62828360,3.62828360,95963,0,95963,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,348181
19980106,54,YUM,3.58012054,3.58012054,3.45971290,3.47576725,27.06250000,3.47576725,3.47576725,119812,0,119812,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,416439
19980107,54,YUM,3.45168572,3.56406619,3.41957702,3.46774007,27.00000000,3.46774007,3.46774007,84159,0,84159,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,291842
19980108,54,YUM,3.40352267,3.43563137,3.30719655,3.33127808,25.93750000,3.33127808,3.33127808,76031,0,76031,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,253280
19980109,54,YUM,3.32325091,3.45971290,3.30719655,3.33930526,26.00000000,3.33930526,3.33930526,136155,0,136155,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,454663
19980112,54,YUM,3.22692479,3.39549549,3.21889762,3.35535961,26.12500000,3.35535961,3.35535961,74622,0,74622,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,250384
19980113,54,YUM,3.32325091,3.38746831,3.30719655,3.35535961,26.12500000,3.35535961,3.35535961,69732,0,69732,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,233976
19980114,54,YUM,3.36338679,3.44365855,3.28311502,3.35535961,26.12500000,3.35535961,3.35535961,53023,0,53023,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,177911
19980115,54,YUM,3.33930526,3.45168572,3.30719655,3.43563137,26.75000000,3.43563137,3.43563137,122879,0,122879,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,422167
19980116,54,YUM,3.41957702,3.46774007,3.41154984,3.45971290,26.93750000,3.45971290,3.45971290,43329,0,43329,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,149906
19980119,54,YUM,3.41957702,3.46774007,3.41154984,3.45971290,26.93750000,26.93750000,3.45971290,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980120,54,YUM,3.45168572,3.56406619,3.43563137,3.56406619,27.75000000,3.56406619,3.56406619,54822,0,54822,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,195389
19980121,54,YUM,3.53195748,3.53195748,3.49182160,3.51590313,27.37500000,3.51590313,3.51590313,33083,0,33083,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,116317
19980122,54,YUM,3.51590313,3.52393031,3.46774007,3.48379443,27.12500000,3.48379443,3.48379443,40028,0,40028,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,139449
19980123,54,YUM,3.46774007,3.48379443,3.41154984,3.43563137,26.75000000,3.43563137,3.43563137,46413,0,46413,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,159458
19980126,54,YUM,3.40352267,3.45971290,3.38746831,3.41957702,26.62500000,3.41957702,3.41957702,34578,0,34578,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,118242
19980127,54,YUM,3.37141396,3.41957702,3.33930526,3.41154984,26.56250000,3.41154984,3.41154984,66143,0,66143,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,225650
19980128,54,YUM,3.40352267,3.51590313,3.38746831,3.51590313,27.37500000,3.51590313,3.51590313,76039,0,76039,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,267346
19980129,54,YUM,3.48379443,3.60420207,3.46774007,3.52393031,27.43750000,3.52393031,3.52393031,60038,0,60038,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,211570
19980130,54,YUM,3.49984878,3.51590313,3.45971290,3.50787596,27.31250000,3.50787596,3.50787596,116549,0,116549,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,408839
19980202,54,YUM,3.53998466,3.66039230,3.53998466,3.58012054,27.87500000,3.58012054,3.58012054,75875,0,75875,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,271642
19980203,54,YUM,3.54801184,3.56406619,3.53195748,3.54801184,27.62500000,3.54801184,3.54801184,57227,0,57227,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,203042
19980204,54,YUM,3.53195748,3.66039230,3.51590313,3.64433795,28.37500000,3.64433795,3.64433795,73477,0,73477,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,267775
19980205,54,YUM,3.60420207,3.64433795,3.58012054,3.59617489,28.00000000,3.59617489,3.59617489,43127,0,43127,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,155092
19980206,54,YUM,3.56406619,3.69250101,3.56406619,3.68447383,28.68750000,3.68447383,3.68447383,38222,0,38222,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,140828
19980209,54,YUM,3.62828360,3.66039230,3.57209336,3.62828360,28.25000000,3.62828360,3.62828360,29836,0,29836,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,108253
19980210,54,YUM,3.61222924,3.67644665,3.56406619,3.65236513,28.43750000,3.65236513,3.65236513,27812,0,27812,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,101580
19980211,54,YUM,3.62828360,3.63631077,3.55603901,3.62025642,28.18750000,3.62025642,3.62025642,40363,0,40363,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,146124
19980212,54,YUM,3.61222924,3.64433795,3.49984878,3.53195748,27.50000000,3.53195748,3.53195748,89493,0,89493,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,316085
19980213,54,YUM,3.53195748,3.72460971,3.46774007,3.49984878,27.25000000,3.49984878,3.49984878,115475,0,115475,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,404145
19980216,54,YUM,3.53195748,3.72460971,3.46774007,3.49984878,27.25000000,27.25000000,3.49984878,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
19980217,54,YUM,3.33930526,3.42760419,3.33930526,3.42760419,26.68750000,3.42760419,3.42760419,88395,0,88395,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,302983
19980218,54,YUM,3.38746831,3.40352267,3.33930526,3.35535961,26.12500000,3.35535961,3.35535961,102044,0,102044,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,342394
19980219,54,YUM,3.35535961,3.54801184,3.34733243,3.47576725,27.06250000,3.47576725,3.47576725,85436,0,85436,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,296956
19980220,54,YUM,3.50787596,3.50787596,3.41154984,3.43563137,26.75000000,3.43563137,3.43563137,34360,0,34360,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,118048
19980223,54,YUM,3.48379443,3.48379443,3.40352267,3.41957702,26.62500000,3.41957702,3.41957702,44731,0,44731,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,152961
19980224,54,YUM,3.40352267,3.52393031,3.40352267,3.48379443,27.12500000,3.48379443,3.48379443,41414,0,41414,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,144278
19980225,54,YUM,3.46774007,3.49984878,3.44365855,3.46774007,27.00000000,3.46774007,3.46774007,30872,0,30872,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,107056
19980226,54,YUM,3.46774007,3.62828360,3.45971290,3.58814772,27.93750000,3.58814772,3.58814772,56885,0,56885,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,204112
19980227,54,YUM,3.59617489,3.66039230,3.58814772,3.66039230,28.50000000,3.66039230,3.66039230,39802,0,39802,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,145691
19980302,54,YUM,3.64433795,3.78882712,3.63631077,3.78079994,29.43750000,3.78079994,3.78079994,60186,0,60186,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,227551
19980303,54,YUM,3.71658253,3.80488147,3.69250101,3.78882712,29.50000000,3.78882712,3.78882712,39265,0,39265,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,148768
19980304,54,YUM,3.75671841,3.85304453,3.74869124,3.85304453,30.00000000,3.85304453,3.85304453,35076,0,35076,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,135149
19980305,54,YUM,3.78882712,3.85304453,3.74066406,3.85304453,30.00000000,3.85304453,3.85304453,44972,0,44972,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,173279
19980306,54,YUM,3.83699018,3.84501735,3.72460971,3.78882712,29.50000000,3.78882712,3.78882712,44069,0,44069,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,166970
19980309,54,YUM,3.77277277,3.78882712,3.64433795,3.69250101,28.75000000,3.69250101,3.69250101,32320,0,32320,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,119342
19980310,54,YUM,3.67644665,3.75671841,3.66841948,3.74869124,29.18750000,3.74869124,3.74869124,33527,0,33527,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,125682
19980311,54,YUM,3.78079994,3.82093582,3.74066406,3.81290865,29.68750000,3.81290865,3.81290865,46265,0,46265,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,176404
19980312,54,YUM,3.82093582,3.89318041,3.81290865,3.82093582,29.75000000,3.82093582,3.82093582,68790,0,68790,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,262842
19980313,54,YUM,3.83699018,3.86909888,3.81290865,3.81290865,29.68750000,3.81290865,3.81290865,43734,0,43734,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,166754
19980316,54,YUM,3.82093582,3.86107170,3.79685430,3.82896300,29.81250000,3.82896300,3.82896300,45260,0,45260,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,173299
19980317,54,YUM,3.81290865,3.85304453,3.80488147,3.83699018,29.87500000,3.83699018,3.83699018,47113,0,47113,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,180772
19980318,54,YUM,3.80488147,3.82896300,3.74066406,3.74869124,29.18750000,3.74869124,3.74869124,36649,0,36649,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,137386
19980319,54,YUM,3.74066406,3.82093582,3.72460971,3.79685430,29.56250000,3.79685430,3.79685430,108553,0,108553,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,412160
19980320,54,YUM,3.82093582,3.98147935,3.79685430,3.93331629,30.62500000,3.93331629,3.93331629,40199,0,40199,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,158115
19980323,54,YUM,3.86909888,3.88515323,3.82896300,3.83699018,29.87500000,3.83699018,3.83699018,32382,0,32382,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,124249
19980324,54,YUM,3.83699018,3.94937064,3.82093582,3.93331629,30.62500000,3.93331629,3.93331629,38876,0,38876,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,152912
19980325,54,YUM,3.91726194,4.04569675,3.90923476,3.92528911,30.56250000,3.92528911,3.92528911,61884,0,61884,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,242913
19980326,54,YUM,3.94937064,3.94937064,3.86107170,3.86107170,30.06250000,3.86107170,3.86107170,29377,0,29377,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,113427
19980327,54,YUM,3.88515323,3.91726194,3.80488147,3.86107170,30.06250000,3.86107170,3.86107170,33581,0,33581,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,129659
19980330,54,YUM,3.85304453,3.86107170,3.78882712,3.79685430,29.56250000,3.79685430,3.79685430,52089,0,52089,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,197774
19980331,54,YUM,3.79685430,3.88515323,3.79685430,3.86107170,30.06250000,3.86107170,3.86107170,36376,0,36376,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,140450
