"","x"
"1",0.990950899579699
"2",0.978339093978363
"3",0.966506392079785
"4",0.955439101427014
"5",0.945207404257504
"6",0.935364257141888
"7",0.925843526797672
"8",0.916677166602766
"9",0.907989759035348
"10",0.899434391291041
"11",0.890974056928166
"12",0.88266660707739
"13",0.874658340642878
"14",0.866656464924477
"15",0.858644517425682
"16",0.850695063105463
"17",0.842895616821364
"18",0.835142857896699
"19",0.827338242513817
"20",0.819562113038615
"21",0.811965476371955
"22",0.804299942658962
"23",0.796572201534487
"24",0.788866479973583
"25",0.781350123601253
"26",0.773773287331841
"27",0.766138226487151
"28",0.758530151180685
"29",0.751115530136151
"30",0.743648826082339
"31",0.736133247953755
"32",0.728653286440285
"33",0.721305320344605
"34",0.71400296543982
"35",0.706662060605296
"36",0.699365096211995
"37",0.692258208445918
"38",0.685112389777791
"39",0.677937356700843
"40",0.670813473674115
