ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
CMCSA,mkt-rf-alpha,0.0,0.0,1,2002,1.2724,0.0006,0.02425069475203584,1,0.0002,0.6961,0.02546061453801088,0.02040816326530612,0.02040816326530612
VZ,mkt-rf-alpha,0.0,0.0,1,2002,0.7146,0.0002,0.01886495763532605,1,0.0001,0.6508,0.01980617130932381,0.02040816326530612,0.02040816326530612
TLK,mkt-rf-alpha,0.04758155985654343,0.04758155985654343,1,2002,0.7614,0.0025,0.15020553019420496,1,0.0004,0.5252,0.1555985626467793,0.02040816326530612,0.02040816326530612
VOD,mkt-rf-alpha,0.0,0.0,1,2002,1.1893,0.0013,0.029383510512436085,1,0.0005,0.7381,0.030849517615074547,0.02040816326530612,0.02040816326530612
TEF,mkt-rf-alpha,0.0,0.0,1,2002,0.9478,-0.0003,0.04632924138517772,1,0.0003,0.6738,0.04864070777384415,0.02040816326530612,0.02040816326530612
SKM,mkt-rf-alpha,0.2031196919438933,0.2031196919438933,1,2002,0.5572,0.0016,0.8883788251739666,1,0.0016,0.4044,0.1555985626467793,0.02040816326530612,0.02040816326530612
TDS,mkt-rf-alpha,0.0,0.0,1,2002,1.0264,-0.0016,0.06391471451211413,1,0.0008,0.7239,0.06710355831613177,0.02040816326530612,0.02040816326530612
SCHL,mkt-rf-alpha,0.0,0.0,1,2002,1.0771,-0.0006,0.25863440341680455,1,0.0008,0.5603,0.1555985626467793,0.02040816326530612,0.02040816326530612
SHEN,mkt-rf-alpha,0.09295735203761793,0.09295735203761793,1,2002,0.6736,0.0015,0.8849867034540498,1,0.0012,0.2819,0.1555985626467793,0.02040816326530612,0.02040816326530612
ATNI,mkt-rf-alpha,0.0,0.0,1,2002,-0.0151,0.0005,0.47882476067455354,1,0.0012,0.5094,0.1555985626467793,0.02040816326530612,0.02040816326530612
SSP,mkt-rf-alpha,0.03533167151599292,0.03533167151599292,1,2002,0.7019,0.001,0.028714012804557782,1,0.0002,0.6811,0.030146617213718408,0.02040816326530612,0.02040816326530612
