ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
PSA,mkt-rf-alpha,0.0,0.0,1,2002,0.4701,-0.0001,0.4465509736031159,1,0.0014,0.1664,0.07785792643229686,0.012987012987012988,0.012987012987012988
IRM,mkt-rf-alpha,0.0,0.0,1,2002,0.8937,0.0009,0.031444706356512406,1,0.0009,0.3792,0.005482508781553885,0.012987012987012988,0.012987012987012988
VTR,mkt-rf-alpha,0.0,0.0,1,2002,0.2581,0.0004,0.49877810082743806,1,0.0031,0.3568,0.08696393239706161,0.012987012987012988,0.012987012987012988
ELS,mkt-rf-alpha,0.0,0.0,1,2002,0.39,0.0,0.024509702871275844,1,0.0008,0.3403,0.004273363525851989,0.012987012987012988,0.012987012987012988
UDR,mkt-rf-alpha,0.043392450617932954,0.043392450617932954,1,2002,0.572,0.0009,0.1707772845224381,1,0.0013,0.3228,0.029775694244646107,0.012987012987012988,0.012987012987012988
PEAK,mkt-rf-alpha,0.0,0.0,1,2002,0.4358,0.0004,0.3788273890795352,1,0.0013,0.1693,0.06605005191570307,0.012987012987012988,0.012987012987012988
NLY,mkt-rf-alpha,0.0,0.0,1,2002,0.6218,0.0012,0.22849368160641018,1,0.0024,0.3893,0.03983877609584594,0.012987012987012988,0.012987012987012988
OHI,mkt-rf-alpha,0.0,0.0,1,2002,1.0996,-0.0021,2.03475713007389,1,0.0032,0.0885,0.1281173580789629,0.012987012987012988,0.012987012987012988
ADC,mkt-rf-alpha,0.0,0.0,1,2002,0.224,-0.0002,0.08823493033659299,1,0.0009,0.2535,0.015384108693067153,0.012987012987012988,0.012987012987012988
CDP,mkt-rf-alpha,0.0,0.0,1,2002,0.6476,0.0011,0.07160899364234502,1,0.0012,0.3854,0.012485310946498424,0.012987012987012988,0.012987012987012988
EPR,mkt-rf-alpha,0.0,0.0,1,2002,0.7075,0.0013,0.1290994948473193,1,0.0016,0.3853,0.022509006958750338,0.012987012987012988,0.012987012987012988
BXMT,mkt-rf-alpha,0.0,0.0,1,2002,-0.0522,-0.0003,0.03688879704036264,1,0.0008,0.2855,0.006431707500199354,0.012987012987012988,0.012987012987012988
VRE,mkt-rf-alpha,0.0,0.0,1,2002,0.4577,0.0001,0.35488242590575425,1,0.0012,0.1346,0.06187515298722095,0.012987012987012988,0.012987012987012988
LTC,mkt-rf-alpha,0.0,0.0,1,2002,0.8731,0.001,2.157870384127764,1,0.0032,0.0667,0.1281173580789629,0.012987012987012988,0.012987012987012988
MFA,mkt-rf-alpha,0.0,0.0,1,2002,0.7971,0.0,0.3279556371292004,1,0.0024,0.3634,0.05718036098462592,0.012987012987012988,0.012987012987012988
UMH,mkt-rf-alpha,0.0,0.0,1,2002,0.014,0.0004,0.1845117539655125,1,0.0011,0.2446,0.03217035325268114,0.012987012987012988,0.012987012987012988
RWT,mkt-rf-alpha,0.0,0.0,1,2002,0.7937,0.0007,0.2768128101240682,1,0.0018,0.3374,0.04826340704681128,0.012987012987012988,0.012987012987012988
CSR,mkt-rf-alpha,0.03512264285473684,0.03512264285473684,1,2002,0.462,0.0005,0.1804004489677501,1,0.001,0.1826,0.03145353098382855,0.012987012987012988,0.012987012987012988
DX,mkt-rf-alpha,0.35668354006552433,0.35668354006552433,1,2002,0.568,0.0041,5.0,1,0.0052,-0.5586,0.1281173580789629,0.012987012987012988,0.012987012987012988
FRPH,mkt-rf-alpha,6.544495078460454,6.544495078460454,1,2002,-0.5262,0.0028,0.06105965609314158,1,0.0008,0.1785,0.010645992267629427,0.012987012987012988,0.012987012987012988
DHC,mkt-rf-alpha,0.0,0.0,1,2002,0.8294,-0.0006,0.04018687687373244,1,0.001,0.3895,0.007006740748839339,0.012987012987012988,0.012987012987012988
