ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
NVO,mkt-rf-alpha,0.17679287360423676,0.17679287360423676,1,2004,0.7468,0.0008,0.34792720573210484,1,0.0015,0.4871,0.012247418616998275,0.007518796992481203,0.007518796992481203
UNH,mkt-rf-alpha,0.027420769688157147,0.027420769688157147,1,2004,0.9344,0.0009,0.08307792442637632,1,0.0014,0.8158,0.002924433908926969,0.007518796992481203,0.007518796992481203
NVS,mkt-rf-alpha,0.013751008206579542,0.013751008206579542,1,2004,0.829,0.0001,0.08013835170025349,1,0.0008,0.591,0.0028209577301780797,0.007518796992481203,0.007518796992481203
AZN,mkt-rf-alpha,0.0,0.0,1,2004,0.9894,-0.0015,0.023213292559462077,1,0.0008,0.835,0.000817133316310681,0.007518796992481203,0.007518796992481203
SYK,mkt-rf-alpha,0.0,0.0,1,2004,1.1662,0.0004,0.015242228950266537,1,0.0006,0.7385,0.0005365431490683192,0.007518796992481203,0.007518796992481203
CI,mkt-rf-alpha,0.0,0.0,1,2004,1.0264,0.0007,0.02966013327363092,1,0.0007,0.7438,0.0010440691686462093,0.007518796992481203,0.007518796992481203
GILD,mkt-rf-alpha,0.0,0.0,1,2004,1.2258,0.0006,0.003569481167434866,1,0.0014,0.9294,0.00012564964562365225,0.007518796992481203,0.007518796992481203
BDX,mkt-rf-alpha,0.0,0.0,1,2004,1.1632,0.0008,0.012069356801435546,1,0.0006,0.7793,0.00042485457518062834,0.007518796992481203,0.007518796992481203
IDXX,mkt-rf-alpha,0.034550169807077986,0.034550169807077986,1,2004,0.851,0.0003,0.05204132455876721,1,0.0007,0.5999,0.001831911608961834,0.007518796992481203,0.007518796992481203
ICLR,mkt-rf-alpha,0.0,0.0,1,2004,0.2988,-0.0004,0.2610153941258911,1,0.0011,0.3751,0.009188027681290348,0.007518796992481203,0.007518796992481203
LH,mkt-rf-alpha,0.46686399354243807,0.46686399354243807,1,2004,0.5047,0.001,0.13400718840356796,1,0.0011,0.6473,0.004717199767727186,0.007518796992481203,0.007518796992481203
VTRS,mkt-rf-alpha,0.0,0.0,1,2004,0.2934,-0.0016,0.06992761363305955,1,0.0013,0.8221,0.002461528569603228,0.007518796992481203,0.007518796992481203
SNN,mkt-rf-alpha,0.0,0.0,1,2004,1.0395,0.0006,0.37129603124003896,1,0.0014,0.404,0.013070026863401488,0.007518796992481203,0.007518796992481203
SRPT,mkt-rf-alpha,0.0,0.0,1,2004,1.139,-0.0022,0.018780603528006992,1,0.0006,0.693,0.000661097808673465,0.007518796992481203,0.007518796992481203
FMS,mkt-rf-alpha,-0.0,-0.0,1,2004,0.9089,-0.0,0.490582026070722,1,0.0019,0.4839,0.017269024497870347,0.007518796992481203,0.007518796992481203
DVA,mkt-rf-alpha,0.7889056997689058,0.7889056997689058,1,2004,0.4789,0.0016,0.1500581886858895,1,0.0011,0.6129,0.005282212553276682,0.007518796992481203,0.007518796992481203
BIO,mkt-rf-alpha,0.0,0.0,1,2004,0.6992,-0.0005,0.059296936604991024,1,0.001,0.782,0.0020873170977785383,0.007518796992481203,0.007518796992481203
ACHC,mkt-rf-alpha,0.4282717991665133,0.4282717991665133,1,2004,0.121,0.0005,2.2768079494460656,1,0.003,-0.2366,0.08014613289208022,0.007518796992481203,0.007518796992481203
NEOG,mkt-rf-alpha,0.10541762569002627,0.10541762569002627,1,2004,0.4454,0.0002,0.5261835179759874,1,0.0014,0.1827,0.01852223599605135,0.007518796992481203,0.007518796992481203
AMED,mkt-rf-alpha,1.9166102427959302,1.9166102427959302,1,2004,0.2904,0.0028,1.5378242513705407,1,0.0036,0.2966,0.054133097543424054,0.007518796992481203,0.007518796992481203
RDNT,mkt-rf-alpha,1.2428616198766596,1.2428616198766596,1,2004,0.3203,0.0019,1.5376609417746454,1,0.0037,0.3166,0.0541273488668269,0.007518796992481203,0.007518796992481203
VCEL,mkt-rf-alpha,1.74300630314802,1.74300630314802,1,2004,-0.3558,0.0013,1.2018653060233646,1,0.0032,0.3621,0.04230697479704625,0.007518796992481203,0.007518796992481203
STAA,mkt-rf-alpha,0.0,0.0,1,2004,1.8777,-0.0031,0.2817790427469174,1,0.0038,0.8247,0.009918930848643618,0.007518796992481203,0.007518796992481203
USPH,mkt-rf-alpha,0.0,0.0,1,2004,-0.0693,-0.0003,0.010669560265186583,1,0.0009,0.9002,0.00037558020434782363,0.007518796992481203,0.007518796992481203
UFPT,mkt-rf-alpha,0.0,0.0,1,2004,0.9647,0.004,2.1289972118655984,1,0.0038,0.1049,0.07494303307864067,0.007518796992481203,0.007518796992481203
BCRX,mkt-rf-alpha,0.0,0.0,1,2004,0.7278,-0.0004,2.6738291303633916,1,0.0091,0.5347,0.09412171319278684,0.007518796992481203,0.007518796992481203
BLFS,mkt-rf-alpha,11.088806924281362,11.088806924281362,1,2004,-0.3511,0.0083,2.8613318763939404,1,0.0088,0.4912,0.10038019885537387,0.007518796992481203,0.007518796992481203
SLP,mkt-rf-alpha,0.8135640808069965,0.8135640808069965,1,2004,0.3922,0.0014,1.7031091157118494,1,0.0042,0.3426,0.059951305752759795,0.007518796992481203,0.007518796992481203
MD,mkt-rf-alpha,0.0,0.0,1,2004,0.9876,-0.0001,0.006882332969890761,1,0.0006,0.846,0.00024226565659462383,0.007518796992481203,0.007518796992481203
HCSG,mkt-rf-alpha,0.6078270614208161,0.6078270614208161,1,2004,0.5369,0.0014,0.02029704977561004,1,0.0006,0.6735,0.0007144783770756702,0.007518796992481203,0.007518796992481203
ATRI,mkt-rf-alpha,0.8641198554394579,0.8641198554394579,1,2004,-0.4537,0.0006,1.6709215720255468,1,0.0031,0.1081,0.05881826897010991,0.007518796992481203,0.007518796992481203
OFIX,mkt-rf-alpha,0.0,0.0,1,2004,0.4028,-0.0011,0.5751919500395485,1,0.0016,0.2621,0.020247386468208773,0.007518796992481203,0.007518796992481203
ILMN,mkt-rf-alpha,0.0,0.0,1,2004,1.4598,0.0016,0.00816547979478565,1,0.0007,0.882,0.00028743382985802835,0.007518796992481203,0.007518796992481203
INSM,mkt-rf-alpha,0.0,0.0,1,2004,0.8082,-0.0001,3.9328916781873726,1,0.0092,0.3532,0.10038019885537387,0.007518796992481203,0.007518796992481203
ITGR,mkt-rf-alpha,0.0,0.0,1,2004,1.1462,-0.0029,0.009611936215576251,1,0.0006,0.8109,0.0003383506797185934,0.007518796992481203,0.007518796992481203
ANIP,mkt-rf-alpha,3.3766646702840446,3.3766646702840446,1,2004,-0.1821,0.0029,1.5684720188669696,1,0.0023,-0.186,0.05521193251815785,0.007518796992481203,0.007518796992481203
HSTM,mkt-rf-alpha,0.0,0.0,1,2004,0.4351,-0.0001,0.606080793606109,1,0.0021,0.4474,0.021334707584586,0.007518796992481203,0.007518796992481203
ZBH,mkt-rf-alpha,0.0,0.0,1,2004,1.4022,0.0005,0.2760398769482967,1,0.0023,0.7373,0.009716905928229118,0.007518796992481203,0.007518796992481203
RDY,mkt-rf-alpha,0.0,0.0,1,2004,0.8377,-0.002,0.17264157280403944,1,0.0013,0.657,0.006077172402712597,0.007518796992481203,0.007518796992481203
OMCL,mkt-rf-alpha,0.0,0.0,1,2004,1.0914,0.0002,1.7100303319188588,1,0.0064,0.5618,0.060194940141877575,0.007518796992481203,0.007518796992481203
