year,ticker,weight,alpha,beta
2005,AAPL,0.0014968231867569,0.003,1.4028
2005,NVO,0.0005079972811928,0.0,0.5024
2005,JNJ,0.0006400671407415,-0.0001,0.6198
2005,COST,0.0002469234695491,0.0003,1.0345
2005,AMD,0.0024881489860911,0.002,1.5904
2005,MCD,0.0002937611018819,0.0003,1.2298
2005,VZ,9.367526466563691e-05,-0.001,0.9537
2005,NKE,0.0002867802664486,-0.0002,0.8125
2005,TTE,4.037564277632685e-05,-0.0002,0.8799
2005,SPGI,0.0005351187702072,0.0001,1.0073
2005,TXN,3.990396470650996e-05,0.0015,1.3555
2005,COP,7.683635757317346e-05,-0.0007,1.2053
2005,UPS,5.023371443550014e-05,-0.0004,1.0549
2005,BLK,0.0001669740367151,0.0011,0.8069
2005,LRCX,0.0009712794813669,0.0018,1.1039
2005,TD,0.0010527854518313,0.001,0.1566
2005,ADP,3.990396470650995e-05,0.0003,0.7056
2005,BP,0.0001190515448217,-0.0006,0.7968
2005,INFY,0.0017966217679325,0.0004,1.0276
2005,CNI,0.0008452471011118,0.0009,0.5289
2005,CP,0.0002073496794915,0.0008,0.8103
2005,MCO,0.0001480125783085,0.0011,0.9332
2005,GD,6.509157363473253e-05,0.0004,0.8058
2005,DUK,7.504398090786919e-05,-0.0,1.119
2005,ENB,0.000860340799346,0.0004,0.6131
2005,NOC,8.12701314294523e-05,0.0003,0.8403
2005,BMO,0.0003278162585227,0.0005,0.3004
2005,EOG,0.0007853439862451,0.001,1.1226
2005,BTI,0.001339471382666,0.001,0.6026
2005,BN,0.0021923596685089,0.0008,0.4641
2005,APH,0.0001837186081936,0.0009,0.8493
2005,MNST,0.0259306433916051,0.0057,2.47
2005,ROP,1.5565376303957645e-06,0.001,1.1106
2005,RSG,0.0005702587864086,0.0005,0.7585
2005,E,0.0001362206265631,-0.0,0.934
2005,EL,5.0752560312298686e-05,-0.001,0.7808
2005,OXY,4.009263593443676e-05,-0.0006,1.1581
2005,PSA,9.782603168002562e-05,0.0006,1.1092
2005,VLO,0.0030873688059865,0.001,0.9619
2005,IDXX,3.5517358657212774e-05,0.0012,0.6275
2005,SPG,5.329962188931015e-05,0.0005,1.2584
2005,CCI,0.0004634237035951,0.0016,0.187
2005,STZ,0.0004431887143999,0.0003,0.8907
2005,HES,0.0009390167013914,-0.0001,1.0857
2005,SRE,0.0002041422686167,0.0005,1.1187
2005,WMB,0.0004077656913567,-0.0002,1.2
2005,CM,0.0003912569589131,0.0002,0.2443
2005,SU,0.0002305090727195,0.0002,0.9566
2005,KMB,2.6508307523709945e-05,-0.0002,0.9016
2005,MFC,0.0005688437521991,0.0007,0.4514
2005,ABEV,0.0053926010366026,-0.0002,0.2552
2005,WCN,0.0004701686999934,-0.0001,1.0338
2005,WDS,0.0020191594812721,0.0021,0.3156
2005,OKE,2.674414655861836e-05,-0.0008,0.8549
2005,HSY,0.001099953258813,0.0001,0.8026
2005,AME,0.0013488106084484,0.0007,0.983
2005,EXC,0.0005532783758952,0.0002,1.2259
2005,FICO,0.000151786002867,0.0005,0.9228
2005,HAL,0.000453376960708,-0.0001,1.071
2005,ROK,0.000422340543714,0.0006,1.0946
2005,WST,0.0006398784695136,0.0,1.348
2005,IMO,0.0007839289520356,0.0003,0.5261
2005,FMX,0.0005848808065729,0.0009,0.5752
2005,BKR,0.0002156512135202,-0.0002,0.7048
2005,ADM,0.0001485785919923,0.0007,0.7013
2005,RMD,0.0001907466114339,0.0018,0.5588
2005,DVN,0.0005463918760758,-0.0,0.9425
2005,MTD,0.0006603492977436,0.0004,0.2984
2005,TU,0.003147885102344,0.0013,0.3532
2005,TLK,9.952407273136648e-05,0.0002,0.6611
2005,EIX,0.0011979679617209,0.0006,1.1445
2005,CHD,0.0004109259344244,0.0001,0.8008
2005,AVB,0.0013176798558404,0.0004,1.0013
2005,RCI,0.0021126460747099,0.0017,0.321
2005,HEI-A,0.0005827582552587,0.0008,0.9491
2005,BRO,2.188586243950427e-05,0.0012,0.627
2005,EQR,5.7167382061808565e-05,0.0002,1.1496
2005,IX,0.0011130659091539,0.0025,0.2604
2005,PTC,0.0006615284929182,0.0009,1.7797
2005,FE,0.0002263111378981,0.0007,0.9692
2005,KOF,0.0002216886928139,0.0002,0.6404
2005,IRM,0.0002370182300829,0.0013,0.5141
2005,BAX,5.966727583183818e-05,0.0004,0.8481
2005,SIRI,0.0088571707950217,-0.0003,0.82
2005,CLX,0.001166837209113,-0.0001,0.7702
2005,WAT,0.00129815238375,-0.0008,0.3092
2005,HUBB,0.0002119721245757,-0.0006,0.9448
2005,MKL,0.0023369289969078,-0.0008,0.428
2005,PPL,0.0001195703906985,-0.0,1.1088
2005,LH,0.0015908757938784,0.0002,0.7104
2005,WDC,0.0001196175585055,0.0027,0.973
2005,COO,0.0003672013773524,-0.0013,0.2187
2005,K,0.000146786215327,-0.0001,0.6639
2005,BALL,0.000131173671216,-0.0009,0.8627
2005,FDS,0.0007457230283805,0.0003,0.9238
2005,CTRA,4.207368382766768e-05,-0.0,1.066
2005,MKC,0.0006858199135137,-0.0008,0.8902
2005,SWKS,0.0004007376881164,-0.0017,1.5495
2005,HRL,0.0003365423028143,0.0004,0.548
2005,L,0.0001871618581033,0.0007,1.1652
2005,ERIE,0.0008018527186887,-0.0,0.2339
2005,WSO-B,0.0029489312924952,0.002,0.2645
2005,TSN,8.320401151570188e-05,0.0002,0.7239
2005,TER,2.37254069117902e-05,0.0005,1.7921
2005,GGG,0.0001181081886821,-0.0,0.4554
2005,ESS,0.0001096651512324,0.0001,1.0534
2005,DGX,0.0009500539682252,0.0003,0.7344
2005,EQT,0.001615214382281,0.0002,0.9313
2005,KIM,0.0003713049765598,0.0003,0.9663
2005,HST,0.0002700356949701,0.0003,1.0719
2005,CAG,0.0001219759488546,-0.0014,0.8801
2005,GEN,0.0004313967626545,-0.001,1.1837
2005,LECO,0.0012048544615402,0.0004,1.245
2005,TAP,0.0021248153689111,-0.0005,0.5449
2005,ZBRA,0.0002071610082635,-0.0008,0.6961
2005,DINO,0.0045221663265625,0.0016,0.954
2005,BAP,0.0027804007181496,0.0012,0.0574
2005,RBA,0.0007295916383927,0.0009,0.3533
2005,SQM,0.0010878783002257,0.002,0.5304
2005,UDR,0.0001375413251586,-0.0003,0.9949
2005,REG,0.0003818705653237,0.0001,0.7966
2005,TPL,0.0153169906323922,-0.0002,0.5848
2005,YPF,0.0019212862817851,-0.0,0.5439
2005,AFG,0.0001149951134213,0.0005,0.9417
2005,DVA,0.0029544027581051,0.0006,0.7159
2005,BXP,0.0006531797910824,0.0006,0.9439
2005,BBWI,0.0001000429186081,0.0001,1.1673
2005,TREX,0.0010265129833425,-0.0019,1.3047
2005,KEP,0.0002281035145634,0.0009,0.919
2005,SCI,0.001975670763235,0.0002,0.5217
2005,WCC,0.0043745782585168,0.0016,1.0606
2005,ESLT,0.006334636477641,-0.0001,0.8233
2005,CHDN,5.141290961004248e-05,-0.0008,1.2354
2005,CHE,0.0019140696073169,0.0015,1.166
2005,BSAC,0.0012084392148709,0.0008,0.5471
2005,MTN,0.0010918875638191,0.0011,0.9523
2005,SKM,0.000326967237997,-0.0004,0.7402
2005,FRT,0.0003850779761985,0.0004,0.9242
2005,EXP,0.0009135460856213,0.0007,1.4587
2005,IMGN,0.0009535443859418,-0.0011,1.619
2005,CIB,0.006556136499227,0.0027,0.7493
2005,CACI,0.0018305825889593,-0.0002,1.3986
2005,MIDD,0.0008187387935881,0.0028,0.2379
2005,IEP,0.0069275358114008,0.0011,0.3727
2005,SF,0.0002552250035779,0.0019,1.2251
