ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
SCCO,mkt-rf-alpha,0.0,0.0,1,2006,1.0371,0.0027,0.6668428240409902,1,0.001,0.5645,0.041018209838906944,0.010526315789473684,0.010526315789473684
CRH,mkt-rf-alpha,0.0,0.0,1,2006,0.9031,0.0009,0.18762670740528686,1,0.0003,0.4487,0.011541117904059772,0.010526315789473684,0.010526315789473684
VMC,mkt-rf-alpha,0.0,0.0,1,2006,1.3124,0.0004,0.023023353459062288,1,0.0005,0.9658,0.0014161909063613034,0.010526315789473684,0.010526315789473684
AEM,mkt-rf-alpha,1.5606717277607396,1.5606717277607396,1,2006,0.4657,0.0039,0.1595457089925697,1,0.0004,0.6873,0.009813825888830643,0.010526315789473684,0.010526315789473684
GFI,mkt-rf-alpha,0.0,0.0,1,2006,0.8721,0.0006,0.33700603916778243,1,0.0006,0.6038,0.020729599139711646,0.010526315789473684,0.010526315789473684
SQM,mkt-rf-alpha,0.0,0.0,1,2006,0.8744,0.0006,1.5181108832607113,1,0.002,0.5304,0.0933806116274388,0.010526315789473684,0.010526315789473684
AU,mkt-rf-alpha,0.0,0.0,1,2006,0.7666,0.0002,0.23367341432341135,1,0.0003,0.3135,0.014373499716782373,0.010526315789473684,0.010526315789473684
RGLD,mkt-rf-alpha,0.0,0.0,1,2006,1.0998,0.0006,0.004597859048777285,1,0.0016,0.9978,0.0002828191898798494,0.010526315789473684,0.010526315789473684
BCPC,mkt-rf-alpha,0.0,0.0,1,2006,1.3566,0.0003,0.613729037473819,1,0.0009,0.5491,0.0377511244565542,0.010526315789473684,0.010526315789473684
ASH,mkt-rf-alpha,0.01299863914507341,0.01299863914507341,1,2006,0.7461,0.001,0.0064880899910523095,1,0.0002,0.9615,0.0003990893012748934,0.010526315789473684,0.010526315789473684
FUL,mkt-rf-alpha,0.3421954382216967,0.3421954382216967,1,2006,0.4297,0.0015,0.2933604364195751,1,0.0008,0.7535,0.018044911792815192,0.010526315789473684,0.010526315789473684
HMY,mkt-rf-alpha,0.18813233829025935,0.18813233829025935,1,2006,0.6142,0.0015,0.02438568206610739,1,0.0005,0.9638,0.0014999891848442204,0.010526315789473684,0.010526315789473684
WDFC,mkt-rf-alpha,0.0,0.0,1,2006,1.2672,-0.0003,0.06339936755036152,1,0.0002,0.6273,0.00389976238489876,0.010526315789473684,0.010526315789473684
SMG,mkt-rf-alpha,0.0,0.0,1,2006,0.9099,0.0001,0.22790054685105784,1,0.001,0.8509,0.014018404511711019,0.010526315789473684,0.010526315789473684
SCL,mkt-rf-alpha,0.0,0.0,1,2006,0.6989,0.0004,0.44670755025008946,1,0.0007,0.5624,0.027477455514548558,0.010526315789473684,0.010526315789473684
HWKN,mkt-rf-alpha,0.0,0.0,1,2006,-0.0692,0.0002,0.48819045633461294,1,0.0005,0.2829,0.030029113094353386,0.010526315789473684,0.010526315789473684
DRD,mkt-rf-alpha,0.0,0.0,1,2006,-0.0155,-0.0001,1.1190848342572002,1,0.0008,0.0608,0.06883609585979233,0.010526315789473684,0.010526315789473684
HDSN,mkt-rf-alpha,0.0,0.0,1,2006,-0.3045,-0.0011,5.0,1,0.0055,-1.0711,0.10798627184613944,0.010526315789473684,0.010526315789473684
JHX,mkt-rf-alpha,0.08187472600692382,0.08187472600692382,1,2006,0.2512,0.001,1.1130224719558495,1,0.0009,0.1826,0.06846319352054335,0.010526315789473684,0.010526315789473684
TECK,mkt-rf-alpha,0.10883228920179233,0.10883228920179233,1,2006,0.7613,0.0019,1.2758037113901515,1,0.0014,0.4233,0.07847604032077095,0.010526315789473684,0.010526315789473684
AGI,mkt-rf-alpha,1.7931998464287124,1.7931998464287124,1,2006,0.0342,0.0025,2.277438790612476,1,0.0023,0.3917,0.10798627184613944,0.010526315789473684,0.010526315789473684
EGO,mkt-rf-alpha,0.07871552784211476,0.07871552784211476,1,2006,0.5567,0.0011,0.4325052745216442,1,0.001,0.7174,0.026603858461364142,0.010526315789473684,0.010526315789473684
NGD,mkt-rf-alpha,1.689962260584864,1.689962260584864,1,2006,-0.3748,0.0019,1.9546009689579622,1,0.0013,0.0431,0.10798627184613944,0.010526315789473684,0.010526315789473684
SA,mkt-rf-alpha,1.5866968403959507,1.5866968403959507,1,2006,0.401,0.0035,2.7528914744712165,1,0.0043,0.6147,0.10798627184613944,0.010526315789473684,0.010526315789473684
