ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
NVDA,mkt-rf-alpha,0.0,0.0,1,2006,1.9799,0.0037,0.11195729077780592,1,0.0024,0.9694,0.00562608859801368,0.005780346820809248,0.005780346820809248
TSM,mkt-rf-alpha,0.0,0.0,1,2006,1.4573,0.0004,0.10731515920897029,1,0.001,0.9064,0.005392811753705806,0.005780346820809248,0.005780346820809248
INTU,mkt-rf-alpha,0.0,0.0,1,2006,1.1472,-0.0003,0.12629328532862283,1,0.0011,0.9056,0.00634650238190569,0.005780346820809248,0.005780346820809248
SNPS,mkt-rf-alpha,0.37986444508112943,0.37986444508112943,1,2006,0.8198,0.0009,0.04439282122130431,1,0.0006,0.8843,0.0022308323430451494,0.005780346820809248,0.005780346820809248
CDNS,mkt-rf-alpha,0.0,0.0,1,2006,1.0365,-0.0001,0.6094845683318618,1,0.0011,0.5517,0.030627877440894045,0.005780346820809248,0.005780346820809248
APH,mkt-rf-alpha,0.22035133819742397,0.22035133819742397,1,2006,1.0199,0.0012,0.14511537341234795,1,0.0009,0.8493,0.007292351771641435,0.005780346820809248,0.005780346820809248
ADSK,mkt-rf-alpha,0.11255958708505844,0.11255958708505844,1,2006,0.982,0.0006,0.10805633987962471,1,0.0006,0.7211,0.005430057636410425,0.005780346820809248,0.005780346820809248
MSI,mkt-rf-alpha,0.0,0.0,1,2006,1.3239,-0.0003,0.025804790191469838,1,0.0013,0.9834,0.0012967448110055887,0.005780346820809248,0.005780346820809248
FICO,mkt-rf-alpha,0.0,0.0,1,2006,0.5195,-0.0003,0.014687080131652971,1,0.0005,0.9228,0.0007380565704362911,0.005780346820809248,0.005780346820809248
GLW,mkt-rf-alpha,0.0,0.0,1,2006,1.2851,0.0004,0.4141249473509374,1,0.002,0.8654,0.020810646883802564,0.005780346820809248,0.005780346820809248
GIB,mkt-rf-alpha,0.0,0.0,1,2006,0.5198,-0.0001,0.14722188689736598,1,0.0005,0.2433,0.007398208490907201,0.005780346820809248,0.005780346820809248
AKAM,mkt-rf-alpha,0.0,0.0,1,2006,1.191,0.0052,0.5697533834338842,1,0.0025,0.859,0.02863130209696479,0.005780346820809248,0.005780346820809248
WDC,mkt-rf-alpha,0.0,0.0,1,2006,1.3761,-0.0003,0.11260094767600612,1,0.0027,0.973,0.005658433706678232,0.005780346820809248,0.005780346820809248
MANH,mkt-rf-alpha,0.0,0.0,1,2006,1.4008,0.0005,0.02414688605974286,1,0.0005,0.8743,0.0012134316523242073,0.005780346820809248,0.005780346820809248
LOGI,mkt-rf-alpha,0.0989970266492229,0.0989970266492229,1,2006,1.1128,0.0016,1.5677141469611406,1,0.0016,0.3283,0.07878092284911994,0.005780346820809248,0.005780346820809248
NICE,mkt-rf-alpha,0.03266611943453038,0.03266611943453038,1,2006,1.106,0.0006,0.5528427612902678,1,0.0016,0.7619,0.02778150787841464,0.005780346820809248,0.005780346820809248
TRMB,mkt-rf-alpha,1.015742352831108,1.015742352831108,1,2006,0.6312,0.0014,0.12644932336455,1,0.0007,0.782,0.006354343620369816,0.005780346820809248,0.005780346820809248
