ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
ENB,mkt-rf-alpha,0.1209690847542137,0.1209690847542137,1,2008,0.7941,0.001,0.17359824445641078,1,0.0004,0.6152,0.03706313794794951,0.01,0.01
EOG,mkt-rf-alpha,0.0,0.0,1,2008,1.4644,0.0013,0.02547418997972247,1,0.0007,0.7769,0.005438726758367633,0.01,0.01
EPD,mkt-rf-alpha,0.4277188892275619,0.4277188892275619,1,2008,0.6915,0.0013,0.6320598971320169,1,0.0005,0.2776,0.11764889931929821,0.01,0.01
VLO,mkt-rf-alpha,0.0,0.0,1,2008,1.4775,-0.0009,0.06614437359599784,1,0.0005,0.7379,0.014121790521244208,0.01,0.01
TRP,mkt-rf-alpha,0.0,0.0,1,2008,0.794,0.0003,0.16132834020942086,1,0.0003,0.573,0.03444351955757744,0.01,0.01
LNG,mkt-rf-alpha,0.0,0.0,1,2008,1.9372,-0.0038,0.11261755801846478,1,0.0002,0.5627,0.024043792039887917,0.01,0.01
IMO,mkt-rf-alpha,0.023162052781485608,0.023162052781485608,1,2008,1.3026,0.0011,0.13460011191988555,1,0.0007,0.7135,0.02873705625029397,0.01,0.01
PAA,mkt-rf-alpha,0.9669104215689285,0.9669104215689285,1,2008,0.7126,0.0019,0.14505043116832397,1,0.0001,0.2018,0.03096819415792551,0.01,0.01
IEP,mkt-rf-alpha,0.0,0.0,1,2008,1.2573,-0.0022,2.3777549913505562,1,0.002,0.3082,0.11764889931929821,0.01,0.01
NFG,mkt-rf-alpha,0.008212000531617615,0.008212000531617615,1,2008,1.2516,0.0009,0.12024014382320805,1,0.0005,0.6939,0.02567121027839562,0.01,0.01
RIG,mkt-rf-alpha,0.0,0.0,1,2008,1.2498,-0.0015,0.04064559462980831,1,0.0003,0.7366,0.008677814026623293,0.01,0.01
HP,mkt-rf-alpha,0.0,0.0,1,2008,1.5381,0.0019,0.21205541929066363,1,0.0011,0.7133,0.04527372544803346,0.01,0.01
ARLP,mkt-rf-alpha,0.7226630655862256,0.7226630655862256,1,2008,0.8267,0.0018,0.3464096413458803,1,0.0004,0.4395,0.07395828433579497,0.01,0.01
GEL,mkt-rf-alpha,0.0,0.0,1,2008,0.7496,0.0005,0.7512427145371476,1,0.0006,0.2825,0.11764889931929821,0.01,0.01
OVV,mkt-rf-alpha,0.04779103557246529,0.04779103557246529,1,2008,1.3067,0.0014,0.12038767774200954,1,0.0006,0.7101,0.02570270869591513,0.01,0.01
TNP,mkt-rf-alpha,0.0,0.0,1,2008,0.9307,0.0001,0.34058205155322163,1,0.0019,0.7188,0.07271409684377456,0.01,0.01
CPG,mkt-rf-alpha,0.8991087761540345,0.8991087761540345,1,2008,0.5146,0.0016,0.48051797353642767,1,0.0006,0.466,0.10259034586102395,0.01,0.01
ET,mkt-rf-alpha,0.0,0.0,1,2008,0.7459,0.0005,1.9970191248968638,1,0.0012,0.1149,0.11764889931929821,0.01,0.01
