ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
SO,mkt-rf-alpha,0.0,0.0,1,2009,0.599,-0.0002,0.12669864154600408,1,0.0009,0.7504,0.14427214047997217,0.015384615384615385,0.015384615384615385
PCG,mkt-rf-alpha,0.912933367833692,0.912933367833692,1,2009,0.5324,0.0008,0.07839528958087857,1,0.0011,0.9128,0.11719014281894248,0.015384615384615385,0.015384615384615385
ES,mkt-rf-alpha,0.0,0.0,1,2009,0.6066,0.0001,0.005845971765996742,1,0.0009,0.9747,0.008738921302993238,0.015384615384615385,0.015384615384615385
LNT,mkt-rf-alpha,0.0,0.0,1,2009,0.8064,-0.0001,0.024003506191258687,1,0.0009,0.941,0.03588193032703701,0.015384615384615385,0.015384615384615385
WTRG,mkt-rf-alpha,0.0,0.0,1,2009,0.6398,-0.0003,0.28502479854491247,1,0.0015,0.8533,0.14427214047997217,0.015384615384615385,0.015384615384615385
IDA,mkt-rf-alpha,0.0,0.0,1,2009,0.5671,0.0001,0.0775601507571647,1,0.0009,0.8416,0.11594172548994336,0.015384615384615385,0.015384615384615385
MGEE,mkt-rf-alpha,0.17457955034055578,0.17457955034055578,1,2009,0.6035,0.0003,0.03386353230349289,1,0.0009,0.9227,0.0506213091145741,0.015384615384615385,0.015384615384615385
HE,mkt-rf-alpha,0.0,0.0,1,2009,0.5909,-0.0006,0.35217265396770975,1,0.001,0.5498,0.14427214047997217,0.015384615384615385,0.015384615384615385
SPH,mkt-rf-alpha,0.6267393725221065,0.6267393725221065,1,2009,0.5998,0.0008,0.8048987163067692,1,0.0024,0.8098,0.14427214047997217,0.015384615384615385,0.015384615384615385
MSEX,mkt-rf-alpha,0.0,0.0,1,2009,0.7486,-0.0003,0.06324156092478087,1,0.001,0.9073,0.09453740902662107,0.015384615384615385,0.015384615384615385
