ticker,factor,year,coefficient,t-value
MSFT,mkt-rf,2011,0.9414,15.1096
MSFT,smb,2011,-0.1514,-1.3028
MSFT,hml,2011,-0.1269,-0.6663
MSFT,rmw,2011,0.3933,1.7121
MSFT,cma,2011,-0.3492,-1.3484
MSFT,mom,2011,-0.055,-0.5732
MSFT,alpha,2011,-0.0005,-0.8304
MSFT,total_return,2011,-0.0454,1.0
AAPL,mkt-rf,2011,0.7339,9.1887
AAPL,smb,2011,-0.14,-0.9401
AAPL,hml,2011,-0.0653,-0.2675
AAPL,rmw,2011,-0.3924,-1.3326
AAPL,cma,2011,-1.3905,-4.1891
AAPL,mom,2011,0.5484,4.4585
AAPL,alpha,2011,0.0008,1.093
AAPL,total_return,2011,0.2549,1.0
GOOGL,mkt-rf,2011,0.8948,9.6139
GOOGL,smb,2011,-0.0845,-0.487
GOOGL,hml,2011,0.1713,0.6021
GOOGL,rmw,2011,0.0785,0.2288
GOOGL,cma,2011,-1.7971,-4.6462
GOOGL,mom,2011,0.3114,2.1726
GOOGL,alpha,2011,0.0001,0.166
GOOGL,total_return,2011,0.0867,1.0
AMZN,mkt-rf,2011,1.1487,8.722
AMZN,smb,2011,-0.193,-0.7857
AMZN,hml,2011,-1.1279,-2.802
AMZN,rmw,2011,-0.0271,-0.0558
AMZN,cma,2011,-1.2423,-2.2698
AMZN,mom,2011,0.0658,0.3245
AMZN,alpha,2011,-0.0005,-0.4213
AMZN,total_return,2011,-0.0385,1.0
NVDA,mkt-rf,2011,1.0439,5.6014
NVDA,smb,2011,-0.1305,-0.3754
NVDA,hml,2011,-3.5388,-6.2126
NVDA,rmw,2011,-3.7256,-5.4218
NVDA,cma,2011,1.8335,2.3673
NVDA,mom,2011,-0.547,-1.9057
NVDA,alpha,2011,0.0012,0.7186
NVDA,total_return,2011,-0.1002,1.0
BRK-B,mkt-rf,2011,0.9152,15.8085
BRK-B,smb,2011,-0.1659,-1.5363
BRK-B,hml,2011,1.0782,6.0934
BRK-B,rmw,2011,-0.1762,-0.8255
BRK-B,cma,2011,-0.3935,-1.6355
BRK-B,mom,2011,0.2228,2.4991
BRK-B,alpha,2011,0.0001,0.2458
BRK-B,total_return,2011,-0.0479,1.0
LLY,mkt-rf,2011,0.8002,13.2239
LLY,smb,2011,-0.3235,-2.8668
LLY,hml,2011,0.0071,0.0382
LLY,rmw,2011,0.6913,3.0987
LLY,cma,2011,0.7505,2.9844
LLY,mom,2011,-0.1693,-1.8166
LLY,alpha,2011,0.0006,1.133
LLY,total_return,2011,0.2517,1.0
TSLA,mkt-rf,2011,0.8984,4.7573
TSLA,smb,2011,0.2842,0.8069
TSLA,hml,2011,-2.1109,-3.6573
TSLA,rmw,2011,-1.7855,-2.5643
TSLA,cma,2011,1.2914,1.6455
TSLA,mom,2011,0.0167,0.0576
TSLA,alpha,2011,0.001,0.6027
TSLA,total_return,2011,0.0723,1.0
AVGO,mkt-rf,2011,0.8923,5.8012
AVGO,smb,2011,0.1383,0.4821
AVGO,hml,2011,-1.199,-2.5504
AVGO,rmw,2011,-1.4819,-2.6131
AVGO,cma,2011,0.1189,0.186
AVGO,mom,2011,0.384,1.6212
AVGO,alpha,2011,0.0006,0.4322
AVGO,total_return,2011,0.0278,1.0
V,mkt-rf,2011,0.9509,9.0057
V,smb,2011,-0.3986,-2.0241
V,hml,2011,-0.4167,-1.2913
V,rmw,2011,-0.466,-1.197
V,cma,2011,0.368,0.8386
V,mom,2011,0.0267,0.1642
V,alpha,2011,0.0016,1.7465
V,total_return,2011,0.4533,1.0
TSM,mkt-rf,2011,0.9104,9.8983
TSM,smb,2011,0.0232,0.1353
