ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
COST,mkt-rf-alpha,0.0,0.0,1,2011,0.853,0.0003,0.09177436386274512,1,0.0003,0.5271,0.008850607188974997,0.010416666666666666,0.010416666666666666
MO,mkt-rf-alpha,0.18429620938215413,0.18429620938215413,1,2011,0.6971,0.0005,0.20079788527077755,1,0.001,0.708,0.019364701994191102,0.010416666666666666,0.010416666666666666
TGT,mkt-rf-alpha,0.0,0.0,1,2011,0.8252,-0.0009,0.09862979827176956,1,0.0005,0.6869,0.009511736882609284,0.010416666666666666,0.010416666666666666
MNST,mkt-rf-alpha,0.0,0.0,1,2011,1.0182,0.002,0.5468867514037801,1,0.0008,0.5288,0.05274108814056668,0.010416666666666666,0.010416666666666666
HSY,mkt-rf-alpha,0.6004236752868745,0.6004236752868745,1,2011,0.6009,0.0008,0.6130085219940472,1,0.001,0.5682,0.059117790669490855,0.010416666666666666,0.010416666666666666
CCEP,mkt-rf-alpha,0.0,0.0,1,2011,1.12,-0.0003,0.7775758049848732,1,0.0019,0.652,0.07498845777743195,0.010416666666666666,0.010416666666666666
DLTR,mkt-rf-alpha,0.40598585255199166,0.40598585255199166,1,2011,0.7237,0.001,2.8832630266083648,1,0.002,0.3415,0.10631111206528635,0.010416666666666666,0.010416666666666666
BF-A,mkt-rf-alpha,0.0,0.0,1,2011,0.9191,0.0004,0.0035382887272383872,1,0.0004,0.7713,0.000341228228972532,0.010416666666666666,0.010416666666666666
HRL,mkt-rf-alpha,0.0,0.0,1,2011,0.9002,0.0002,0.4686021133136313,1,0.0008,0.5642,0.045191413574549456,0.010416666666666666,0.010416666666666666
TSN,mkt-rf-alpha,0.0,0.0,1,2011,0.8687,0.0006,0.2406773478006932,1,0.0012,0.7108,0.023210628491568984,0.010416666666666666,0.010416666666666666
FLO,mkt-rf-alpha,0.0,0.0,1,2011,0.4885,0.0002,0.3112588364742502,1,0.0005,0.4946,0.030017420767427264,0.010416666666666666,0.010416666666666666
SAM,mkt-rf-alpha,0.6007650761324118,0.6007650761324118,1,2011,0.5509,0.0007,0.2328636268613752,1,0.002,0.741,0.022457082819254657,0.010416666666666666,0.010416666666666666
AKO-B,mkt-rf-alpha,0.0,0.0,1,2011,0.6532,0.0,1.8679215905879214,1,0.0012,0.2693,0.10631111206528635,0.010416666666666666,0.010416666666666666
CCU,mkt-rf-alpha,0.0,0.0,1,2011,0.7323,0.0002,0.4010429129279237,1,0.0015,0.6924,0.03867608707760521,0.010416666666666666,0.010416666666666666
AKO-A,mkt-rf-alpha,0.0,0.0,1,2011,0.5774,0.0001,1.3917268993804248,1,0.001,0.3041,0.10631111206528635,0.010416666666666666,0.010416666666666666
ANDE,mkt-rf-alpha,0.0,0.0,1,2011,0.8875,0.0011,0.45496495884406674,1,0.0006,0.4675,0.04387626310871783,0.010416666666666666,0.010416666666666666
VGR,mkt-rf-alpha,0.21411857735997905,0.21411857735997905,1,2011,0.5835,0.0004,0.6862805843872751,1,0.0012,0.5899,0.06618405857779701,0.010416666666666666,0.010416666666666666
MDLZ,mkt-rf-alpha,0.17730753324997708,0.17730753324997708,1,2011,0.7029,0.0005,0.12295553327153333,1,0.0004,0.6093,0.011857680956795428,0.010416666666666666,0.010416666666666666
MKC-V,mkt-rf-alpha,0.10902736414249915,0.10902736414249915,1,2011,0.5786,0.0003,0.39680433789008623,1,0.0009,0.6223,0.03826732409498189,0.010416666666666666,0.010416666666666666
THS,mkt-rf-alpha,0.6017691962663452,0.6017691962663452,1,2011,0.5504,0.0007,0.0030960026363335575,1,0.0006,0.774,0.0002985747003509625,0.010416666666666666,0.010416666666666666
EDU,mkt-rf-alpha,0.0,0.0,1,2011,1.1743,0.0,0.6255768184105917,1,0.0013,0.6218,0.060329861774487015,0.010416666666666666,0.010416666666666666
LRN,mkt-rf-alpha,0.0,0.0,1,2011,1.0399,-0.001,0.030886312014851567,1,0.0003,0.6923,0.0029786380820727093,0.010416666666666666,0.010416666666666666
KDP,mkt-rf-alpha,0.0,0.0,1,2011,0.7533,0.0002,0.11160352360497684,1,0.0004,0.6247,0.010762907055508555,0.010416666666666666,0.010416666666666666
DG,mkt-rf-alpha,0.6830627623096014,0.6830627623096014,1,2011,0.6071,0.0009,0.6433419763952678,1,0.0007,0.427,0.062043111840786605,0.010416666666666666,0.010416666666666666
