ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
BRK-B,mkt-rf-alpha,0.0,0.0,1,2011,0.9152,0.0001,0.0759976308536207,1,0.0005,0.8674,0.0012989809969221652,0.0032258064516129032,0.0032258064516129032
TD,mkt-rf-alpha,0.013456754668142628,0.013456754668142628,1,2011,0.9032,0.0005,0.005238689424954359,1,0.0004,0.9914,8.95417124896942e-05,0.0032258064516129032,0.0032258064516129032
C,mkt-rf-alpha,0.0,0.0,1,2011,1.2561,-0.0006,0.34230988801939327,1,0.001,0.7721,0.005850893437088793,0.0032258064516129032,0.0032258064516129032
CB,mkt-rf-alpha,0.022827164986796933,0.022827164986796933,1,2011,0.9043,0.0007,0.026266715508337465,1,0.0005,0.9579,0.0004489608940916813,0.0032258064516129032,0.0032258064516129032
MMC,mkt-rf-alpha,0.21833760584593725,0.21833760584593725,1,2011,0.819,0.001,0.04196446668730895,1,0.0003,0.7766,0.0007172729486499583,0.0032258064516129032,0.0032258064516129032
COF,mkt-rf-alpha,0.0,0.0,1,2011,1.1287,0.0004,0.011906112329441656,1,0.0003,0.9407,0.00020350389202203106,0.0032258064516129032,0.0032258064516129032
AJG,mkt-rf-alpha,0.427910707604351,0.427910707604351,1,2011,0.6887,0.0009,0.24317776505487287,1,0.0006,0.6738,0.004156488723822282,0.0032258064516129032,0.0032258064516129032
AIG,mkt-rf-alpha,0.0,0.0,1,2011,1.3721,-0.0021,0.8265589521016224,1,0.0021,0.7682,0.014127866349990999,0.0032258064516129032,0.0032258064516129032
ACGL,mkt-rf-alpha,0.7224656809895378,0.7224656809895378,1,2011,0.6207,0.0011,0.18467296077758574,1,0.0004,0.5016,0.0031565019067171024,0.0032258064516129032,0.0032258064516129032
BRO,mkt-rf-alpha,0.12073033926350367,0.12073033926350367,1,2011,0.6367,0.0004,0.20238559250461666,1,0.0005,0.6374,0.003459253081463724,0.0032258064516129032,0.0032258064516129032
IX,mkt-rf-alpha,0.0,0.0,1,2011,1.0611,-0.0006,0.014507139946027476,1,0.0014,0.9991,0.0002479616653560766,0.0032258064516129032,0.0032258064516129032
MTB,mkt-rf-alpha,0.0,0.0,1,2011,0.9636,-0.0,0.1600181497076959,1,0.001,0.8965,0.002735092308776098,0.0032258064516129032,0.0032258064516129032
FDS,mkt-rf-alpha,0.0,0.0,1,2011,0.9401,-0.0001,0.1779322694895327,1,0.0008,0.8438,0.0030412873955415537,0.0032258064516129032,0.0032258064516129032
HBAN,mkt-rf-alpha,0.0,0.0,1,2011,1.2932,-0.0001,0.7531623488645877,1,0.0023,0.8099,0.012873343126402882,0.0032258064516129032,0.0032258064516129032
CINF,mkt-rf-alpha,0.002141808072835263,0.002141808072835263,1,2011,0.9071,0.0003,0.0003663419178290149,1,0.0004,1.0047,6.261658216063193e-06,0.0032258064516129032,0.0032258064516129032
ERIE,mkt-rf-alpha,1.0406509973888347,1.0406509973888347,1,2011,0.5336,0.0012,1.1692718162306275,1,0.0019,0.6302,0.01998564761111746,0.0032258064516129032,0.0032258064516129032
BAP,mkt-rf-alpha,0.0,0.0,1,2011,0.8296,0.0001,0.339562323635676,1,0.0015,0.8631,0.005803931000468326,0.0032258064516129032,0.0032258064516129032
RNR,mkt-rf-alpha,0.4707327782184718,0.4707327782184718,1,2011,0.6186,0.0008,0.07367135967540667,1,0.0004,0.8046,0.0012592194672501674,0.0032258064516129032,0.0032258064516129032
AFG,mkt-rf-alpha,0.3538210572953521,0.3538210572953521,1,2011,0.7549,0.001,0.06978813534641953,1,0.0005,0.8787,0.0011928458901599049,0.0032258064516129032,0.0032258064516129032
BSAC,mkt-rf-alpha,0.0,0.0,1,2011,1.0916,-0.0007,0.2518967026992025,1,0.0014,0.8911,0.004305516189364571,0.0032258064516129032,0.0032258064516129032
CIB,mkt-rf-alpha,0.0,0.0,1,2011,0.7363,0.0002,0.46620672462915214,1,0.0009,0.6421,0.007968586245761126,0.0032258064516129032,0.0032258064516129032
ORI,mkt-rf-alpha,0.0,0.0,1,2011,0.7732,-0.0008,0.5547882003601982,1,0.001,0.6271,0.00948265520240504,0.0032258064516129032,0.0032258064516129032
CACC,mkt-rf-alpha,0.25181744782657256,0.25181744782657256,1,2011,0.8446,0.0014,0.11770565819844928,1,0.0009,0.9139,0.0020118707848208782,0.0032258064516129032,0.0032258064516129032
CMA,mkt-rf-alpha,0.0,0.0,1,2011,1.1277,-0.0013,0.11162438236248834,1,0.0013,0.9503,0.0019079272584342413,0.0032258064516129032,0.0032258064516129032
CFR,mkt-rf-alpha,0.0,0.0,1,2011,0.8771,-0.0001,0.18720072001060567,1,0.0006,0.7502,0.0031997073484079336,0.0032258064516129032,0.0032258064516129032
BPOP,mkt-rf-alpha,0.0,0.0,1,2011,1.128,-0.0017,0.4138930987631746,1,0.0016,0.8443,0.007074421452507401,0.0032258064516129032,0.0032258064516129032
ZION,mkt-rf-alpha,0.0,0.0,1,2011,1.257,-0.0007,0.8457919027876438,1,0.0027,0.821,0.014456603406334284,0.0032258064516129032,0.0032258064516129032
BOKF,mkt-rf-alpha,0.1472493050074245,0.1472493050074245,1,2011,0.8273,0.0008,0.0024361737535626917,1,0.0003,0.9924,4.164002713681583e-05,0.0032258064516129032,0.0032258064516129032
FCFS,mkt-rf-alpha,0.2918636224515583,0.2918636224515583,1,2011,0.6264,0.0006,0.03949165874196342,1,0.0006,0.9518,0.0006750067556915373,0.0032258064516129032,0.0032258064516129032
SNV,mkt-rf-alpha,0.0,0.0,1,2011,1.3389,-0.0013,0.28611303782442854,1,0.0013,0.8637,0.004890355066744805,0.0032258064516129032,0.0032258064516129032
OZK,mkt-rf-alpha,0.23021618614462214,0.23021618614462214,1,2011,0.8445,0.0013,0.27915254138567813,1,0.001,0.8152,0.0047713835606396195,0.0032258064516129032,0.0032258064516129032
COLB,mkt-rf-alpha,0.0,0.0,1,2011,1.0022,0.0005,0.1850026685036318,1,0.0006,0.7532,0.0031621373991115582,0.0032258064516129032,0.0032258064516129032
ABCB,mkt-rf-alpha,0.1830682268570774,0.1830682268570774,1,2011,0.7367,0.0006,0.6000680614038592,1,0.0016,0.7717,0.010256596157910362,0.0032258064516129032,0.0032258064516129032
NYCB,mkt-rf-alpha,0.0,0.0,1,2011,0.836,-0.0009,0.27015884730297673,1,0.0009,0.795,0.004617659851435284,0.0032258064516129032,0.0032258064516129032
WSFS,mkt-rf-alpha,0.0,0.0,1,2011,0.9561,-0.0001,1.3325870431987838,1,0.0021,0.6228,0.022777094843838115,0.0032258064516129032,0.0032258064516129032
INDB,mkt-rf-alpha,0.0,0.0,1,2011,1.0216,0.0006,0.025662251343919664,1,0.0005,0.959,0.0004386291580351783,0.0032258064516129032,0.0032258064516129032
PPBI,mkt-rf-alpha,0.0,0.0,1,2011,0.2516,0.0001,3.158526747137847,1,0.0024,0.2219,0.05398676480724759,0.0032258064516129032,0.0032258064516129032
SBCF,mkt-rf-alpha,0.0,0.0,1,2011,1.1971,0.0012,0.6722557363120585,1,0.0009,0.4814,0.011490455909385475,0.0032258064516129032,0.0032258064516129032
FFBC,mkt-rf-alpha,0.0,0.0,1,2011,1.0799,0.0004,0.00406639528790165,1,0.0005,0.9983,6.950440619829435e-05,0.0032258064516129032,0.0032258064516129032
PRK,mkt-rf-alpha,0.0,0.0,1,2011,0.9708,0.0005,0.011045208822543567,1,0.0005,0.9856,0.0001887889952142842,0.0032258064516129032,0.0032258064516129032
SNEX,mkt-rf-alpha,0.01472493050074247,0.01472493050074247,1,2011,0.9014,0.0005,0.7209608942874207,1,0.0014,0.6777,0.012322943369210986,0.0032258064516129032,0.0032258064516129032
AGM,mkt-rf-alpha,0.17512099163945188,0.17512099163945188,1,2011,0.8267,0.0009,1.2398109525085965,1,0.0031,0.7723,0.021191329900620295,0.0032258064516129032,0.0032258064516129032
AGM-A,mkt-rf-alpha,0.0,0.0,1,2011,0.0942,0.0002,2.8607640363264575,1,0.0032,0.4851,0.04889728900923201,0.0032258064516129032,0.0032258064516129032
OFG,mkt-rf-alpha,0.056292916124847915,0.056292916124847915,1,2011,0.8424,0.0005,0.11439026384209709,1,0.0007,0.8808,0.0019552027779655133,0.0032258064516129032,0.0032258064516129032
LKFN,mkt-rf-alpha,0.13573708661593487,0.13573708661593487,1,2011,0.8716,0.0012,0.15100613852910308,1,0.0005,0.7309,0.00258105551666096,0.0032258064516129032,0.0032258064516129032
CET,mkt-rf-alpha,0.0,0.0,1,2011,0.6698,-0.0,0.10067075901940205,1,0.0004,0.7309,0.001720703677773973,0.0032258064516129032,0.0032258064516129032
WT,mkt-rf-alpha,0.9340819549226959,0.9340819549226959,1,2011,0.7329,0.002,5.0,1,0.0037,-0.1313,0.08546194021654023,0.0032258064516129032,0.0032258064516129032
CSWC,mkt-rf-alpha,0.0,0.0,1,2011,0.4633,0.0002,0.03128559978259442,1,0.0006,0.963,0.0005347456116517376,0.0032258064516129032,0.0032258064516129032
PFBC,mkt-rf-alpha,0.0,0.0,1,2011,-0.2541,-0.0002,2.6959101733034183,1,0.0017,0.0245,0.04607954281200387,0.0032258064516129032,0.0032258064516129032
WRLD,mkt-rf-alpha,0.6832931386047876,0.6832931386047876,1,2011,0.7427,0.0016,0.20789903836794268,1,0.0012,0.8922,0.0035534910376154643,0.0032258064516129032,0.0032258064516129032
EGBN,mkt-rf-alpha,0.26690874023451056,0.26690874023451056,1,2011,0.6517,0.0006,0.28926357831775773,1,0.0009,0.7801,0.0049442053274029426,0.0032258064516129032,0.0032258064516129032
MBWM,mkt-rf-alpha,1.3071792848735653,1.3071792848735653,1,2011,0.2087,0.0009,5.0,1,0.0052,-0.107,0.08546194021654023,0.0032258064516129032,0.0032258064516129032
EZPW,mkt-rf-alpha,0.0,0.0,1,2011,0.8308,0.0,0.2850323291668332,1,0.0009,0.7834,0.004871883175007423,0.0032258064516129032,0.0032258064516129032
CATC,mkt-rf-alpha,0.0,0.0,1,2011,0.0381,0.0001,1.1129833805562055,1,0.0008,-0.007,0.019023543826219458,0.0032258064516129032,0.0032258064516129032
CPF,mkt-rf-alpha,0.0,0.0,1,2011,0.6604,-0.0016,0.8885989558859593,1,0.0034,0.8541,0.015188278168881185,0.0032258064516129032,0.0032258064516129032
HTBK,mkt-rf-alpha,0.15167382957893968,0.15167382957893968,1,2011,0.8755,0.0014,0.255267048343229,1,0.0006,0.6573,0.004363123444952345,0.0032258064516129032,0.0032258064516129032
DGICB,mkt-rf-alpha,2.128379499852292,2.128379499852292,1,2011,-0.2396,0.0009,1.2470645224816097,1,0.0009,0.0331,0.021315310733298325,0.0032258064516129032,0.0032258064516129032
SMBC,mkt-rf-alpha,3.2613114253266406,3.2613114253266406,1,2011,0.1242,0.0017,4.298949137339442,1,0.0023,-0.1119,0.07347930683385012,0.0032258064516129032,0.0032258064516129032
WTW,mkt-rf-alpha,0.5062276106886826,0.5062276106886826,1,2011,0.5957,0.0008,0.2543145593568737,1,0.0006,0.6586,0.004346843133590583,0.0032258064516129032,0.0032258064516129032
BCH,mkt-rf-alpha,0.0,0.0,1,2011,0.8007,0.0002,1.12745388631045,1,0.0018,0.621,0.019270879325753925,0.0032258064516129032,0.0032258064516129032
BANC,mkt-rf-alpha,0.0,0.0,1,2011,0.777,-0.0001,5.0,1,0.0043,-0.0286,0.08546194021654023,0.0032258064516129032,0.0032258064516129032
SAFT,mkt-rf-alpha,0.0,0.0,1,2011,0.6792,-0.0002,0.39641858928273266,1,0.0008,0.645,0.006775740355601223,0.0032258064516129032,0.0032258064516129032
PRAA,mkt-rf-alpha,0.0,0.0,1,2011,1.0139,-0.0001,0.607981046828965,1,0.0014,0.7291,0.010391847975377311,0.0032258064516129032,0.0032258064516129032
HBNC,mkt-rf-alpha,0.11770080810784844,0.11770080810784844,1,2011,0.087,0.0003,2.6670057959867126,1,0.002,0.1968,0.045585497978756544,0.0032258064516129032,0.0032258064516129032
AXS,mkt-rf-alpha,0.0,0.0,1,2011,0.7361,-0.0001,0.08206058959369018,1,0.0004,0.7817,0.0014026114403979987,0.0032258064516129032,0.0032258064516129032
NNI,mkt-rf-alpha,0.05998471688197189,0.05998471688197189,1,2011,0.875,0.0007,0.009286767616964503,1,0.0005,0.9888,0.00015873303577718445,0.0032258064516129032,0.0032258064516129032
BFC,mkt-rf-alpha,1.0659299689853248,1.0659299689853248,1,2011,0.3404,0.0009,1.6546931744499092,1,0.001,-0.1235,0.028282657830311062,0.0032258064516129032,0.0032258064516129032
