ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
LLY,mkt-rf-alpha,0.0,0.0,1,2013,0.8864,-0.0007,0.04310207491772929,1,0.0003,0.8246,0.00019546248556292416,0.0005455537370430987,0.0005455537370430987
NVO,mkt-rf-alpha,0.0,0.0,1,2013,0.7995,-0.0001,0.6008702604773568,1,0.0012,0.6165,0.002724871014630337,0.0005455537370430987,0.0005455537370430987
WMT,mkt-rf-alpha,0.026695038429055455,0.026695038429055455,1,2013,0.604,0.0001,0.05777140203759073,1,0.0002,0.5967,0.00026198603798717907,0.0005455537370430987,0.0005455537370430987
ORCL,mkt-rf-alpha,0.0,0.0,1,2013,1.247,-0.0006,0.1268745811461035,1,0.001,0.8715,0.0005753602589413062,0.0005455537370430987,0.0005455537370430987
COST,mkt-rf-alpha,0.0,0.0,1,2013,0.8556,-0.0001,0.0585024844292631,1,0.0004,0.8375,0.0002653014046302079,0.0005455537370430987,0.0005455537370430987
TM,mkt-rf-alpha,0.0,0.0,1,2013,1.2849,-0.0003,0.3297181586442523,1,0.0012,0.7716,0.0014952303560060568,0.0005455537370430987,0.0005455537370430987
NVS,mkt-rf-alpha,0.08750527113427317,0.08750527113427317,1,2013,0.6755,0.0004,0.11973858127956215,1,0.0003,0.5835,0.0005429993975778285,0.0005455537370430987,0.0005455537370430987
CSCO,mkt-rf-alpha,0.0,0.0,1,2013,1.0426,-0.0004,0.15392462963798242,1,0.0006,0.7665,0.000698028824733378,0.0005455537370430987,0.0005455537370430987
ABT,mkt-rf-alpha,0.0,0.0,1,2013,1.1275,-0.0003,0.02902079233030005,1,0.0002,0.7776,0.000131605641090671,0.0005455537370430987,0.0005455537370430987
INTU,mkt-rf-alpha,0.03848237046955482,0.03848237046955482,1,2013,0.7146,0.0002,0.02339463653351676,1,0.0003,0.8866,0.00010609173257692627,0.0005455537370430987,0.0005455537370430987
SPGI,mkt-rf-alpha,0.009758751740790788,0.009758751740790788,1,2013,0.9639,0.0004,0.0070565343891857025,1,0.0005,0.9491,3.2000495424018255e-05,0.0005455537370430987,0.0005455537370430987
AMAT,mkt-rf-alpha,0.0,0.0,1,2013,1.223,0.0004,0.0036871981493042595,1,0.0003,0.9486,1.672097959092854e-05,0.0005455537370430987,0.0005455537370430987
RY,mkt-rf-alpha,0.0,0.0,1,2013,0.9147,-0.0003,0.0178320531186181,1,0.0004,0.9228,8.086611681474963e-05,0.0005455537370430987,0.0005455537370430987
NEE,mkt-rf-alpha,0.0,0.0,1,2013,0.952,0.0,0.06087055565446285,1,0.0002,0.5772,0.00027604030962610613,0.0005455537370430987,0.0005455537370430987
VRTX,mkt-rf-alpha,0.04960249503606366,0.04960249503606366,1,2013,0.9265,0.001,0.04494567399238145,1,0.0008,0.9198,0.00020382297535838855,0.0005455537370430987,0.0005455537370430987
LMT,mkt-rf-alpha,0.04151513171496628,0.04151513171496628,1,2013,0.9441,0.0011,0.02123317554944187,1,0.0002,0.8266,9.628977902362343e-05,0.0005455537370430987,0.0005455537370430987
CI,mkt-rf-alpha,0.10816848441967686,0.10816848441967686,1,2013,0.8396,0.001,0.020263696725702385,1,0.0004,0.9177,9.189331456221548e-05,0.0005455537370430987,0.0005455537370430987
ADI,mkt-rf-alpha,0.0,0.0,1,2013,1.2419,-0.0005,0.013397879482170243,1,0.0004,0.9321,6.0757697392899934e-05,0.0005455537370430987,0.0005455537370430987
GILD,mkt-rf-alpha,0.0,0.0,1,2013,1.3575,0.0013,0.7869943015398672,1,0.0022,0.7244,0.0035689201180327734,0.0005455537370430987,0.0005455537370430987
AMT,mkt-rf-alpha,0.0,0.0,1,2013,1.1119,-0.0009,0.08887418987460997,1,0.0004,0.7738,0.0004030332666916932,0.0005455537370430987,0.0005455537370430987
FI,mkt-rf-alpha,0.0,0.0,1,2013,1.0049,0.0004,0.023044988433151666,1,0.0006,0.9312,0.00010450612244330359,0.0005455537370430987,0.0005455537370430987
SNPS,mkt-rf-alpha,0.01847962518870741,0.01847962518870741,1,2013,0.7259,0.0001,0.01565469903907203,1,0.0002,0.8617,7.099209007355467e-05,0.0005455537370430987,0.0005455537370430987
DEO,mkt-rf-alpha,0.0,0.0,1,2013,0.9775,-0.0004,0.02542895275382254,1,0.0006,0.9282,0.00011531710062709366,0.0005455537370430987,0.0005455537370430987
ENB,mkt-rf-alpha,0.0,0.0,1,2013,0.8162,-0.0007,0.02650968324586006,1,0.0002,0.7934,0.00012021807740374542,0.0005455537370430987,0.0005455537370430987
MCK,mkt-rf-alpha,0.08079275957776237,0.08079275957776237,1,2013,0.9002,0.0012,0.3143654284191319,1,0.0006,0.5646,0.0014256076565024487,0.0005455537370430987,0.0005455537370430987
TGT,mkt-rf-alpha,0.0,0.0,1,2013,0.6958,-0.0003,0.03669715744286025,1,0.0002,0.7293,0.00016641699084247498,0.0005455537370430987,0.0005455537370430987
BMO,mkt-rf-alpha,0.0,0.0,1,2013,0.742,-0.0003,0.03992345582350149,1,0.0002,0.709,0.00018104784798453753,0.0005455537370430987,0.0005455537370430987
SCCO,mkt-rf-alpha,0.0,0.0,1,2013,1.6872,-0.0026,0.04628069401195712,1,0.0009,0.9238,0.0002098771231413109,0.0005455537370430987,0.0005455537370430987
ORLY,mkt-rf-alpha,0.07514508419186273,0.07514508419186273,1,2013,0.7771,0.0005,0.011681425171287244,1,0.0002,0.8867,5.2973793100571215e-05,0.0005455537370430987,0.0005455537370430987
AON,mkt-rf-alpha,0.0,0.0,1,2013,1.1371,0.0005,0.015750057611898873,1,0.0002,0.8611,7.142452920090631e-05,0.0005455537370430987,0.0005455537370430987
HMC,mkt-rf-alpha,0.0,0.0,1,2013,1.3405,-0.001,0.051747918854028956,1,0.0005,0.8788,0.000234670299776136,0.0005455537370430987,0.0005455537370430987
ECL,mkt-rf-alpha,0.0,0.0,1,2013,1.057,0.0003,0.048950734051108495,1,0.0005,0.8832,0.0002219854187071558,0.0005455537370430987,0.0005455537370430987
MSI,mkt-rf-alpha,0.0,0.0,1,2013,0.8658,-0.0001,0.14717006406274824,1,0.0006,0.775,0.0006673977198793059,0.0005455537370430987,0.0005455537370430987
CPRT,mkt-rf-alpha,0.0,0.0,1,2013,1.0713,-0.0003,0.08548896053925734,1,0.0004,0.7809,0.00038768167767071134,0.0005455537370430987,0.0005455537370430987
ROST,mkt-rf-alpha,0.0,0.0,1,2013,1.0178,0.0002,0.0018594921701232674,1,0.0002,0.9485,8.432562983356197e-06,0.0005455537370430987,0.0005455537370430987
ODFL,mkt-rf-alpha,0.0,0.0,1,2013,1.109,0.0003,0.01006032943323102,1,0.0004,0.9391,4.562232793559383e-05,0.0005455537370430987,0.0005455537370430987
COR,mkt-rf-alpha,0.2655890114648365,0.2655890114648365,1,2013,0.6717,0.0012,0.1195160779429662,1,0.0003,0.5842,0.0005419903729473414,0.0005455537370430987,0.0005455537370430987
SPG,mkt-rf-alpha,0.0,0.0,1,2013,1.0396,-0.0011,0.060679838508809175,1,0.0003,0.7693,0.0002751754313714029,0.0005455537370430987,0.0005455537370430987
CCI,mkt-rf-alpha,0.0,0.0,1,2013,0.8201,-0.0008,0.0763981099297657,1,0.0012,0.9165,0.000346455814196525,0.0005455537370430987,0.0005455537370430987
O,mkt-rf-alpha,0.0,0.0,1,2013,1.045,-0.0012,0.07148714342918382,1,0.0002,0.5104,0.00032418519913791796,0.0005455537370430987,0.0005455537370430987
SRE,mkt-rf-alpha,0.0,0.0,1,2013,1.027,0.0001,0.25460738944764877,1,0.0007,0.6932,0.001154612470028778,0.0005455537370430987,0.0005455537370430987
CM,mkt-rf-alpha,0.0,0.0,1,2013,0.7222,-0.0003,0.09634394474604537,1,0.0003,0.6571,0.0004369076650009021,0.0005455537370430987,0.0005455537370430987
ALL,mkt-rf-alpha,0.013600249318312017,0.013600249318312017,1,2013,0.8992,0.0002,0.1936732614113014,1,0.001,0.8248,0.0008782838676511043,0.0005455537370430987,0.0005455537370430987
LHX,mkt-rf-alpha,0.0,0.0,1,2013,1.0145,0.0004,0.3629347281789329,1,0.0012,0.7526,0.0016458633187001975,0.0005455537370430987,0.0005455537370430987
HSY,mkt-rf-alpha,0.0215123864341189,0.0215123864341189,1,2013,0.8937,0.0003,0.056595312972726436,1,0.0002,0.6041,0.000256652622083176,0.0005455537370430987,0.0005455537370430987
IT,mkt-rf-alpha,0.0,0.0,1,2013,1.056,0.0004,0.26242679241944916,1,0.0009,0.7538,0.001190072478471609,0.0005455537370430987,0.0005455537370430987
MLM,mkt-rf-alpha,0.0,0.0,1,2013,1.2091,-0.0012,0.01454218235609229,1,0.0004,0.9297,6.59469669211193e-05,0.0005455537370430987,0.0005455537370430987
ACGL,mkt-rf-alpha,0.05859294726135018,0.05859294726135018,1,2013,0.7103,0.0003,0.1723447272890327,1,0.0003,0.418,0.0007815616495001292,0.0005455537370430987,0.0005455537370430987
WST,mkt-rf-alpha,0.17794221147244405,0.17794221147244405,1,2013,0.797,0.0013,0.3769842245754201,1,0.0011,0.723,0.0017095760167966678,0.0005455537370430987,0.0005455537370430987
ANSS,mkt-rf-alpha,0.0,0.0,1,2013,1.1981,-0.0004,0.23830107349426005,1,0.0008,0.746,0.0010806653792516541,0.0005455537370430987,0.0005455537370430987
BF-A,mkt-rf-alpha,0.0,0.0,1,2013,0.985,-0.0002,0.024729656553092477,1,0.0003,0.8824,0.00011214588035984884,0.0005455537370430987,0.0005455537370430987
GIB,mkt-rf-alpha,0.2301528811795617,0.2301528811795617,1,2013,0.6586,0.001,0.16369888335273297,1,0.0006,0.7542,0.0007423538352869172,0.0005455537370430987,0.0005455537370430987
TU,mkt-rf-alpha,0.0,0.0,1,2013,0.6052,-0.0002,0.2872677006408397,1,0.0006,0.5987,0.0013027228711467017,0.0005455537370430987,0.0005455537370430987
TLK,mkt-rf-alpha,0.0,0.0,1,2013,1.4939,-0.0014,0.6502660012016575,1,0.0008,0.3757,0.0029488744825984683,0.0005455537370430987,0.0005455537370430987
RCI,mkt-rf-alpha,0.0,0.0,1,2013,0.7577,-0.0005,0.18776102989603763,1,0.0004,0.5664,0.0008514726417553049,0.0005455537370430987,0.0005455537370430987
RYAAY,mkt-rf-alpha,0.20072835762963584,0.20072835762963584,1,2013,0.5037,0.0006,0.10648373965663216,1,0.0005,0.7927,0.00048289035887595595,0.0005455537370430987,0.0005455537370430987
SBAC,mkt-rf-alpha,0.03559787755169677,0.03559787755169677,1,2013,0.736,0.0002,0.7115656704338411,1,0.0015,0.6404,0.003226860768297657,0.0005455537370430987,0.0005455537370430987
AEM,mkt-rf-alpha,0.0,0.0,1,2013,0.9155,-0.003,1.2956369289982042,1,0.0022,0.572,0.0058755504233262215,0.0005455537370430987,0.0005455537370430987
STE,mkt-rf-alpha,0.0,0.0,1,2013,1.0133,0.0001,0.046407838775726226,1,0.0003,0.8142,0.00021045370864444633,0.0005455537370430987,0.0005455537370430987
ICLR,mkt-rf-alpha,0.12587981009288002,0.12587981009288002,1,2013,0.6888,0.0006,0.5049554293090323,1,0.0014,0.7158,0.0022899093257025176,0.0005455537370430987,0.0005455537370430987
JBHT,mkt-rf-alpha,0.0,0.0,1,2013,1.0596,-0.0003,0.08906490702026361,1,0.0007,0.8668,0.0004038981449463963,0.0005455537370430987,0.0005455537370430987
IFF,mkt-rf-alpha,0.0,0.0,1,2013,1.1318,-0.0003,0.02244105080524838,1,0.0005,0.9249,0.0001017673413034101,0.0005455537370430987,0.0005455537370430987
VRSN,mkt-rf-alpha,0.10890982605744409,0.10890982605744409,1,2013,0.7981,0.0008,0.08434465766533535,1,0.0004,0.7833,0.00038249240814249225,0.0005455537370430987,0.0005455537370430987
BAX,mkt-rf-alpha,0.0,0.0,1,2013,0.9426,-0.0006,0.2432279330903131,1,0.0009,0.7689,0.001103008067498153,0.0005455537370430987,0.0005455537370430987
WBA,mkt-rf-alpha,0.03159463270775358,0.03159463270775358,1,2013,0.9415,0.0008,0.12801888402002568,1,0.0004,0.6917,0.0005805495284695261,0.0005455537370430987,0.0005455537370430987
