ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
LMT,mkt-rf-alpha,0.37218719653127985,0.37218719653127985,1,2013,0.9441,0.0011,0.0490882985761261,1,0.0002,0.8266,0.0009693157138019614,0.0033003300330033004,0.0033003300330033004
RELX,mkt-rf-alpha,0.357963482014161,0.357963482014161,1,2013,0.8136,0.0006,0.006634100508021977,1,0.0005,1.0611,0.00013099940425506508,0.0033003300330033004,0.0033003300330033004
CPRT,mkt-rf-alpha,0.0,0.0,1,2013,1.0713,-0.0003,0.1749946268152629,1,0.0004,0.7809,0.0034555086756549534,0.0033003300330033004,0.0033003300330033004
ODFL,mkt-rf-alpha,0.0,0.0,1,2013,1.109,0.0003,0.07900242861077399,1,0.0004,0.9391,0.0015600111982325751,0.0033003300330033004,0.0033003300330033004
FAST,mkt-rf-alpha,0.0,0.0,1,2013,1.1626,-0.0012,0.004530605224990622,1,0.0002,1.0469,8.946300778394694e-05,0.0033003300330033004,0.0033003300330033004
LHX,mkt-rf-alpha,0.056025631070207534,0.056025631070207534,1,2013,1.0145,0.0004,0.704610242066957,1,0.0012,0.7526,0.01391349465254179,0.0033003300330033004,0.0033003300330033004
JCI,mkt-rf-alpha,0.0,0.0,1,2013,1.0768,0.0001,0.04083612477346457,1,0.0004,1.002,0.0008063652353383431,0.0033003300330033004,0.0033003300330033004
EFX,mkt-rf-alpha,0.0,0.0,1,2013,0.894,-0.0001,0.0008494884796856489,1,0.0007,1.0686,1.677431395948822e-05,0.0033003300330033004,0.0033003300330033004
WAB,mkt-rf-alpha,0.14215812453498355,0.14215812453498355,1,2013,1.0083,0.0008,0.023542966437004834,1,0.0004,1.0305,0.00046488812973443847,0.0033003300330033004,0.0033003300330033004
RYAAY,mkt-rf-alpha,0.7661050680192696,0.7661050680192696,1,2013,0.5037,0.0006,0.22377953664864414,1,0.0005,0.7927,0.004418833563042812,0.0033003300330033004,0.0033003300330033004
JBHT,mkt-rf-alpha,0.0,0.0,1,2013,1.0596,-0.0003,0.24574488162337538,1,0.0007,0.8668,0.00485256939542391,0.0033003300330033004,0.0033003300330033004
HUBB,mkt-rf-alpha,0.0,0.0,1,2013,1.0474,-0.0002,0.014501981903206491,1,0.0004,1.0454,0.0002863615025941497,0.0033003300330033004,0.0033003300330033004
WSO-B,mkt-rf-alpha,0.07630759436313649,0.07630759436313649,1,2013,0.7957,0.0002,0.36819257819522033,1,0.0005,0.6142,0.007270466936156123,0.0033003300330033004,0.0033003300330033004
POOL,mkt-rf-alpha,0.0,0.0,1,2013,1.209,-0.0002,0.08244083436188292,1,0.0005,0.9674,0.0016279072309257486,0.0033003300330033004,0.0033003300330033004
RTO,mkt-rf-alpha,0.7634447066003271,0.7634447066003271,1,2013,0.3608,0.0005,3.323745032267565,1,0.002,0.2044,0.06563189969707052,0.0033003300330033004,0.0033003300330033004
TTC,mkt-rf-alpha,0.002107216965499111,0.002107216965499111,1,2013,1.0774,0.0002,0.0008090366473196655,1,0.0009,1.0688,1.5975537104274493e-05,0.0033003300330033004,0.0033003300330033004
MIDD,mkt-rf-alpha,0.0,0.0,1,2013,1.1699,0.0009,0.2383421963003995,1,0.0009,0.922,0.0047063932309197795,0.0033003300330033004,0.0033003300330033004
AIT,mkt-rf-alpha,0.0,0.0,1,2013,1.314,-0.001,0.04969507606161586,1,0.0004,0.9874,0.0009812973666301675,0.0033003300330033004,0.0033003300330033004
MLI,mkt-rf-alpha,0.0,0.0,1,2013,1.1274,-0.0006,0.03701342661487874,1,0.0006,1.0327,0.0007308808225206379,0.0033003300330033004,0.0033003300330033004
MMS,mkt-rf-alpha,0.0,0.0,1,2013,0.8109,0.0001,0.5924575368322561,1,0.0013,0.8252,0.011698885821461497,0.0033003300330033004,0.0033003300330033004
SRCL,mkt-rf-alpha,0.0,0.0,1,2013,0.8139,-0.0001,0.1442916860494782,1,0.0003,0.7126,0.002849237042547669,0.0033003300330033004,0.0033003300330033004
NSP,mkt-rf-alpha,0.0,0.0,1,2013,0.4412,-0.0004,0.1406510211365392,1,0.0007,0.9534,0.0027773471255784243,0.0033003300330033004,0.0033003300330033004
