ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
AMZN,mkt-rf-alpha,0.0,0.0,1,2021,0.9368,-0.0003,0.002942734756626988,1,0.0004,0.7998,5.7880623410202877e-05,0.00038095238095238096,0.00038095238095238096
TSM,mkt-rf-alpha,0.0,0.0,1,2021,1.093,0.0001,0.012526621057706558,1,0.0019,0.9267,0.00024638599670277235,0.00038095238095238096,0.00038095238095238096
PG,mkt-rf-alpha,0.0,0.0,1,2021,0.6307,-0.0002,0.003303555906658753,1,0.0004,0.7786,6.497761135870665e-05,0.00038095238095238096,0.00038095238095238096
COST,mkt-rf-alpha,0.3586602401287581,0.3586602401287581,1,2021,0.7103,0.0008,0.015578282953965763,1,0.0006,0.6676,0.00030640910704082515,0.00038095238095238096,0.00038095238095238096
TMO,mkt-rf-alpha,0.9310247267648145,0.9310247267648145,1,2021,0.545,0.0014,0.00988854189473845,1,0.0008,0.8565,0.00019449764141890016,0.00038095238095238096,0.00038095238095238096
DHR,mkt-rf-alpha,0.9788998541899089,0.9788998541899089,1,2021,0.5516,0.0015,0.015488077666457822,1,0.001,0.8427,0.0003046348600536992,0.00038095238095238096,0.00038095238095238096
CAT,mkt-rf-alpha,0.0,0.0,1,2021,1.0344,-0.0006,0.004847257713634275,1,0.0007,0.9015,9.53406682893336e-05,0.00038095238095238096,0.00038095238095238096
NKE,mkt-rf-alpha,0.009462125128373449,0.009462125128373449,1,2021,0.9364,0.0,0.009776210781992714,1,0.0011,0.9009,0.00019228820177455468,0.00038095238095238096,0.00038095238095238096
UNP,mkt-rf-alpha,0.0,0.0,1,2021,1.0701,-0.0004,0.005582515906151828,1,0.0007,0.8907,0.0001098024550523223,0.00038095238095238096,0.00038095238095238096
RY,mkt-rf-alpha,0.09892221725117704,0.09892221725117704,1,2021,0.8228,0.0003,0.01625737559011045,1,0.0009,0.8135,0.00031976617398164113,0.00038095238095238096,0.00038095238095238096
HON,mkt-rf-alpha,0.0,0.0,1,2021,1.0507,-0.0014,0.002491708319087278,1,0.0011,0.9544,4.90093884745731e-05,0.00038095238095238096,0.00038095238095238096
UPS,mkt-rf-alpha,0.01870920195837478,0.01870920195837478,1,2021,0.8676,0.0,0.008966065180978002,1,0.0007,0.841,0.00017635345524866897,0.00038095238095238096,0.00038095238095238096
SONY,mkt-rf-alpha,0.0,0.0,1,2021,1.0794,0.0003,0.021302063744328144,1,0.0009,0.7641,0.00041899009982770323,0.00038095238095238096,0.00038095238095238096
NEE,mkt-rf-alpha,0.0905890956892572,0.0905890956892572,1,2021,0.8383,0.0003,0.006984952828916797,1,0.0012,0.9271,0.00013738697424839347,0.00038095238095238096,0.00038095238095238096
SCHW,mkt-rf-alpha,0.0,0.0,1,2021,1.2916,0.0006,0.009052866495372439,1,0.0012,0.9136,0.00017806074951929964,0.00038095238095238096,0.00038095238095238096
DE,mkt-rf-alpha,0.0,0.0,1,2021,1.105,-0.0001,0.005208078863666041,1,0.002,0.9547,0.0001024376562378374,0.00038095238095238096,0.00038095238095238096
PGR,mkt-rf-alpha,0.0,0.0,1,2021,0.7653,-0.0006,0.05818241044262203,1,0.0018,0.7448,0.0011443893066962311,0.00038095238095238096,0.00038095238095238096
