ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
NKE,mkt-rf-alpha,0.06160675472781576,0.06160675472781576,1,2021,0.9364,0.0,0.08046588619645194,1,0.0011,0.9009,0.0015768122895398245,0.003401360544217687,0.003401360544217687
F,mkt-rf-alpha,0.4252763039735395,0.4252763039735395,1,2021,0.9784,0.0025,0.030132650810144858,1,0.0008,0.8886,0.0005904804676835042,0.003401360544217687,0.003401360544217687
DHI,mkt-rf-alpha,0.0,0.0,1,2021,1.2477,0.0004,0.012044985473461209,1,0.0014,0.9916,0.00023603395202176694,0.003401360544217687,0.003401360544217687
TSCO,mkt-rf-alpha,0.5407746463770823,0.5407746463770823,1,2021,0.7943,0.0011,0.24406235928627795,1,0.0011,0.6983,0.004782654435658926,0.003401360544217687,0.003401360544217687
EBAY,mkt-rf-alpha,0.31292259236515463,0.31292259236515463,1,2021,0.8246,0.0006,0.39673983995807616,1,0.0013,0.6604,0.007774527628623099,0.003401360544217687,0.003401360544217687
ROL,mkt-rf-alpha,0.0,0.0,1,2021,1.1467,-0.0015,0.5839417929590207,1,0.0022,0.7906,0.011442943575687654,0.003401360544217687,0.003401360544217687
DECK,mkt-rf-alpha,0.02527162805015797,0.02527162805015797,1,2021,1.058,0.0002,0.19820617995304887,1,0.0018,0.9045,0.0038840551590978477,0.003401360544217687,0.003401360544217687
BALL,mkt-rf-alpha,0.0751019314195877,0.0751019314195877,1,2021,0.5078,-0.0002,0.2966565528396705,1,0.0017,0.8431,0.005813292071972964,0.003401360544217687,0.003401360544217687
AVY,mkt-rf-alpha,0.0,0.0,1,2021,1.2402,-0.0001,0.0003813123892902131,1,0.0009,0.9997,7.472210771638946e-06,0.003401360544217687,0.003401360544217687
PAG,mkt-rf-alpha,0.0,0.0,1,2021,1.4507,0.0004,0.08042102591535902,1,0.0013,0.9316,0.0015759332059196325,0.003401360544217687,0.003401360544217687
LAD,mkt-rf-alpha,0.0,0.0,1,2021,1.2285,-0.0011,0.21940714879758436,1,0.0032,0.9526,0.004299510078000966,0.003401360544217687,0.003401360544217687
MHK,mkt-rf-alpha,0.0,0.0,1,2021,1.4479,-0.0009,0.06439693350895183,1,0.0011,0.9208,0.0012619245367867652,0.003401360544217687,0.003401360544217687
MAT,mkt-rf-alpha,0.17039570268177015,0.17039570268177015,1,2021,0.7631,0.0001,0.17206160813206856,1,0.0014,0.8727,0.003371725225249482,0.003401360544217687,0.003401360544217687
AN,mkt-rf-alpha,0.02337466453405038,0.02337466453405038,1,2021,1.0518,0.0001,0.2810182588506628,1,0.0016,0.8357,0.005506843521973754,0.003401360544217687,0.003401360544217687
ANF,mkt-rf-alpha,0.0,0.0,1,2021,1.2875,0.0005,0.02927133341315989,1,0.0011,0.9643,0.0005736020621758017,0.003401360544217687,0.003401360544217687
SEE,mkt-rf-alpha,0.03203194769480983,0.03203194769480983,1,2021,1.0348,0.0001,0.45890721749670754,1,0.0013,0.6071,0.00899276170948628,0.003401360544217687,0.003401360544217687
SLGN,mkt-rf-alpha,0.0,0.0,1,2021,0.7244,-0.0006,0.27706158205826326,1,0.001,0.5594,0.005429308346672749,0.003401360544217687,0.003401360544217687
AEO,mkt-rf-alpha,0.0,0.0,1,2021,1.2856,-0.0007,0.2913809837831378,1,0.0017,0.8459,0.005709911838238291,0.003401360544217687,0.003401360544217687
