ticker,stock,mkt_cap,price,revenue
MSFT,Microsoft Corporation,"3,069.22B",413.1,227.58B
AAPL,Apple Inc,"2,924.70B",189.16,385.71B
GOOGL,Alphabet Inc.,"1,816.20B",145.54,307.39B
AMZN,"Amazon.com, Inc.","1,763.85B",170.71,574.79B
NVDA,NVIDIA Corporation,"1,729.00B",701.12,44.87B
META,"Meta Platforms, Inc.","1,207.84B",470.24,134.90B
BRK.B,Berkshire Hathaway Inc.,860.39B,396.77,401.78B
LLY,Eli Lilly and Company,692.02B,728.99,32.07B
TSLA,"Tesla, Inc.",600.59B,188.59,96.77B
AVGO,Broadcom Inc.,588.03B,"1,255.47",35.82B
V,Visa Inc.,559.94B,279.09,33.35B
TSM,Taiwan Semiconductor Manufacturing Company Limited,550.00B,124.71,66.97B
NVO,Novo Nordisk A/S,527.33B,118.75,34.41B
JPM,JPMorgan Chase & Co.,507.00B,175.39,154.08B
UNH,UnitedHealth Group Incorporated,479.26B,518.09,359.98B
WMT,Walmart Inc.,456.12B,169.4,638.79B
MA,Mastercard Incorporated,428.80B,460.82,25.10B
XOM,Exxon Mobil Corporation,407.99B,102.07,355.67B
JNJ,Johnson & Johnson,380.18B,157.93,95.33B
PG,The Procter & Gamble Company,373.94B,158.97,83.93B
ASML,ASML Holding N.V.,364.96B,924.98,30.62B
HD,"The Home Depot, Inc.",361.61B,363.35,153.71B
MRK,"Merck & Co., Inc.",323.01B,127.49,59.31B
ORCL,Oracle Corporation,322.24B,117.28,51.63B
COST,Costco Wholesale Corporation,318.53B,717.82,245.65B
ABBV,AbbVie Inc.,309.23B,175.16,55.14B
CVX,Chevron Corporation,285.92B,151.86,195.16B
CRM,"Salesforce, Inc.",279.90B,289.17,33.95B
ADBE,Adobe Inc.,279.14B,617.58,19.41B
TM,Toyota Motor Corporation,278.53B,223.68,308.27B
AMD,"Advanced Micro Devices, Inc.",276.87B,171.33,22.68B
BAC,Bank of America Corporation,262.54B,33.18,101.15B
KO,The Coca-Cola Company,259.25B,59.97,45.03B
NFLX,"Netflix, Inc.",243.81B,563.39,33.72B
PEP,"PepsiCo, Inc.",235.84B,171.54,91.62B
ACN,Accenture plc,229.99B,366.82,64.59B
TMO,Thermo Fisher Scientific Inc.,214.13B,553.98,42.86B
SAP,SAP SE,212.20B,181.44,33.60B
NVS,Novartis AG,211.77B,103.6,46.66B
MCD,McDonald's Corporation,208.38B,287.34,25.01B
AZN,AstraZeneca PLC,206.74B,66.7,45.00B
SHEL,Shell plc,205.49B,63.53,386.20B
CSCO,"Cisco Systems, Inc.",202.30B,49.79,58.03B
LIN,Linde plc,201.89B,416.36,32.45B
ABT,Abbott Laboratories,196.00B,112.89,40.11B
TMUS,"T-Mobile US, Inc.",191.86B,161.68,78.56B
DHR,Danaher Corporation,183.00B,247.56,24.98B
DIS,The Walt Disney Company,181.38B,98.89,88.90B
INTC,Intel Corporation,181.06B,42.84,54.23B
INTU,Intuit Inc.,180.76B,645.55,14.75B
BABA,Alibaba Group Holding Limited,176.28B,73.6,125.85B
WFC,Wells Fargo & Company,176.24B,48.54,81.78B
PDD,PDD Holdings Inc.,171.45B,129.06,27.31B
CMCSA,Comcast Corporation,170.64B,43.07,121.57B
