mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.02208,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.03241,0.96861,-0.02182,0.93997,-0.02182,0.93997,-0.0352
0.03717,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,0.04398,1.00867,0.03743,0.97509,0.03743,0.97509,0.0539
-0.0013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,0.00274,1.01309,-0.00104,0.9746,-0.00104,0.9746,-0.013
-0.01471,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,-0.01312,0.99674,-0.01445,0.96037,-0.01445,0.96037,-0.0298
-2e-05,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,0.00081,0.9977,0.00024,0.96004,0.00024,0.96004,-0.0036
0.00344,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,0.00775,1.00491,0.0037,0.96429,0.0037,0.96429,0.0051
0.01285,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,0.01779,1.02191,0.01311,0.97725,0.01311,0.97725,0.0144
0.0135,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.01924,1.04329,0.01376,0.992,0.01376,0.992,0.0139
0.0015,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,-0.00025,1.04288,0.00176,0.99449,0.00176,0.99449,-0.004
0.01076,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,0.01638,1.05967,0.01102,1.00605,0.01102,1.00605,0.0068
0.00194,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,-0.00535,1.05561,0.0022,1.00871,0.0022,1.00871,0.0037
0.00415,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,0.00733,1.06795,0.00441,1.01389,0.00441,1.01389,0.0116
-0.00532,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,0.00155,1.07183,-0.00506,1.00849,-0.00506,1.00849,-0.0055
0.00644,0.0005,0.0125,0.0034,0.0087,0.0113,2001-01-22,0.00026,mkt-rf-alpha,0.00126,1.06831,0.0067,1.01489,0.0067,1.01489,-0.0001
0.01292,0.0022,-0.0019,-0.0102,-0.0048,-0.0035,2001-01-23,0.00026,mkt-rf-alpha,0.01285,1.08439,0.01318,1.02944,0.01318,1.02944,0.0157
0.0019,-0.0047,-0.0015,-0.0095,-0.0064,-0.011,2001-01-24,0.00026,mkt-rf-alpha,0.01073,1.09573,0.00216,1.03186,0.00216,1.03186,0.0034
-0.00144,0.0004,0.0141,0.0167,0.017,0.0239,2001-01-25,0.00026,mkt-rf-alpha,-0.0116,1.07819,-0.00118,1.02861,-0.00118,1.02861,-0.0081
0.0002,0.0021,-0.0021,-0.0003,-0.0019,0.001,2001-01-26,0.00026,mkt-rf-alpha,0.00105,1.07744,0.00046,1.02879,0.00046,1.02879,-0.0011
0.00975,0.0061,-0.0034,-0.0084,-0.0079,-0.0153,2001-01-29,0.00026,mkt-rf-alpha,0.01109,1.08998,0.01001,1.04077,0.01001,1.04077,0.009
0.00672,0.0004,-0.0028,-0.0014,0.0002,-0.0105,2001-01-30,0.00026,mkt-rf-alpha,0.00146,1.09327,0.00698,1.04928,0.00698,1.04928,0.0063
-0.00118,0.0043,0.0032,0.0125,0.0072,0.0055,2001-01-31,0.00026,mkt-rf-alpha,-0.0004,1.09485,-0.00092,1.04792,-0.00092,1.04792,-0.0072
0.00341,-0.0015,0.0056,0.009,0.0008,0.0028,2001-02-01,0.0002,mkt-rf-alpha,0.00965,1.10631,0.00361,1.05204,0.00361,1.05204,0.0039
-0.00841,0.0041,0.0215,0.0142,0.0158,0.0298,2001-02-02,0.0002,mkt-rf-alpha,-0.0077,1.09477,-0.00821,1.04089,-0.00821,1.04089,-0.019
0.00192,-0.003,0.0099,0.0049,0.003,0.0161,2001-02-05,0.0002,mkt-rf-alpha,-0.00596,1.08746,0.00212,1.04185,0.00212,1.04185,0.0017
0.00373,0.0087,-0.006,0.0006,0.0004,-0.0036,2001-02-06,0.0002,mkt-rf-alpha,0.00406,1.09308,0.00393,1.04581,0.00393,1.04581,0.0004
-0.00016,0.0107,0.014,0.0115,0.0114,0.0233,2001-02-07,0.0002,mkt-rf-alpha,-0.00647,1.08409,4e-05,1.04516,4e-05,1.04516,-0.0086
-0.00331,-0.0007,0.0091,0.0022,0.0051,0.0074,2001-02-08,0.0002,mkt-rf-alpha,0.01037,1.09641,-0.00311,1.04133,-0.00311,1.04133,-0.0067
-0.00621,0.0028,0.0127,0.009,0.0133,0.0231,2001-02-09,0.0002,mkt-rf-alpha,-0.0048,1.08517,-0.00601,1.03349,-0.00601,1.03349,-0.0142
0.00853,0.0017,0.0012,0.0069,0.0035,-0.006,2001-02-12,0.0002,mkt-rf-alpha,-0.00324,1.08036,0.00873,1.04288,0.00873,1.04288,0.011
-0.00189,0.0055,0.0089,0.0028,0.0054,0.0114,2001-02-13,0.0002,mkt-rf-alpha,-0.00081,1.07772,-0.00169,1.04075,-0.00169,1.04075,-0.009
0.00158,0.0014,-0.0035,-0.0052,-0.0087,-0.0096,2001-02-14,0.0002,mkt-rf-alpha,0.0084,1.08965,0.00178,1.04319,0.00178,1.04319,-0.0004
0.00746,0.0006,-0.0101,-0.0014,-0.0087,-0.0208,2001-02-15,0.0002,mkt-rf-alpha,0.01082,1.10429,0.00766,1.05353,0.00766,1.05353,0.0093
-0.01096,-0.0001,0.0191,0.014,0.0177,0.033,2001-02-16,0.0002,mkt-rf-alpha,-0.00151,1.10151,-0.01076,1.0402,-0.01076,1.0402,-0.0193
-0.01031,0.0062,0.0136,0.0147,0.0159,0.018,2001-02-20,0.0002,mkt-rf-alpha,-0.02033,1.07545,-0.01011,1.02884,-0.01011,1.02884,-0.0193
-0.01223,0.0017,0.0092,0.0007,0.0052,0.0048,2001-02-21,0.0002,mkt-rf-alpha,-0.00567,1.07374,-0.01203,1.01553,-0.01203,1.01553,-0.0184
-0.00663,-0.0085,0.0052,0.0075,0.0009,0.0005,2001-02-22,0.0002,mkt-rf-alpha,-0.00309,1.06835,-0.00643,1.0075,-0.00643,1.0075,-0.0048
-0.00129,0.0016,-0.0044,-0.0032,-0.0022,-0.0014,2001-02-23,0.0002,mkt-rf-alpha,0.00328,1.07545,-0.00109,1.0062,-0.00109,1.0062,-0.0038
0.01611,-0.0011,-0.002,-0.0058,-0.0022,-0.0066,2001-02-26,0.0002,mkt-rf-alpha,0.0037,1.0703,0.01631,1.02276,0.01631,1.02276,0.0191
-0.00737,-0.0064,0.0173,0.0126,0.0144,0.0262,2001-02-27,0.0002,mkt-rf-alpha,-0.00046,1.07117,-0.00717,1.01525,-0.00717,1.01525,-0.0117
-0.00675,0.0056,0.0087,0.0022,0.0106,0.0106,2001-02-28,0.0002,mkt-rf-alpha,-0.00817,1.05809,-0.00655,1.00833,-0.00655,1.00833,-0.0148
-0.00022,-0.0041,-0.0006,-0.0013,-0.0054,-0.0059,2001-03-01,0.00019,mkt-rf-alpha,-0.00071,1.05913,-3e-05,1.00742,-3e-05,1.00742,0.0002
0.00485,0.0095,0.0098,0.0002,0.0142,0.016,2001-03-02,0.00019,mkt-rf-alpha,-0.00075,1.05767,0.00504,1.01283,0.00504,1.01283,-0.0053
