mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.03244,0.96858,-0.02187,0.9398,-0.02187,0.9398,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,0.044,1.00865,0.03747,0.97495,0.03747,0.97495,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,0.00272,1.01304,-0.00123,0.97426,-0.00123,0.97426,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,-0.01313,0.99669,-0.01459,0.95989,-0.01459,0.95989,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,0.00081,0.99765,0.00029,0.95962,0.00029,0.95962,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,0.00776,1.00486,0.00348,0.96357,0.00348,0.96357,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,0.01779,1.02186,0.01276,0.97587,0.01276,0.97587,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.01926,1.04326,0.01359,0.98991,0.01359,0.98991,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,-0.00026,1.04283,0.00175,0.99258,0.00175,0.99258,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,0.01638,1.05962,0.01105,1.0042,0.01105,1.0042,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,-0.00535,1.05557,0.00223,1.00694,0.00223,1.00694,0.0037
0.0116,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,0.00733,1.0679,0.0044,1.01207,0.0044,1.01207,0.0116
-0.0055,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,0.00155,1.07178,-0.00511,1.00646,-0.00511,1.00646,-0.0055
-0.0001,0.0005,0.0125,0.0034,0.0087,0.0113,2001-01-22,0.00026,mkt-rf-alpha,0.00127,1.06827,0.00668,1.01272,0.00668,1.01272,-0.0001
0.0157,0.0022,-0.0019,-0.0102,-0.0048,-0.0035,2001-01-23,0.00026,mkt-rf-alpha,0.01285,1.08435,0.0133,1.02756,0.0133,1.02756,0.0157
0.0034,-0.0047,-0.0015,-0.0095,-0.0064,-0.011,2001-01-24,0.00026,mkt-rf-alpha,0.01073,1.09569,0.00219,1.02998,0.00219,1.02998,0.0034
-0.0081,0.0004,0.0141,0.0167,0.017,0.0239,2001-01-25,0.00026,mkt-rf-alpha,-0.01161,1.07814,-0.00123,1.02665,-0.00123,1.02665,-0.0081
-0.0011,0.0021,-0.0021,-0.0003,-0.0019,0.001,2001-01-26,0.00026,mkt-rf-alpha,0.00104,1.07739,0.0006,1.02734,0.0006,1.02734,-0.0011
0.009,0.0061,-0.0034,-0.0084,-0.0079,-0.0153,2001-01-29,0.00026,mkt-rf-alpha,0.01109,1.08993,0.01002,1.03927,0.01002,1.03927,0.009
0.0063,0.0004,-0.0028,-0.0014,0.0002,-0.0105,2001-01-30,0.00026,mkt-rf-alpha,0.00146,1.09323,0.00704,1.04781,0.00704,1.04781,0.0063
-0.0072,0.0043,0.0032,0.0125,0.0072,0.0055,2001-01-31,0.00026,mkt-rf-alpha,-0.00041,1.0948,-0.00097,1.04632,-0.00097,1.04632,-0.0072
0.0039,-0.0015,0.0056,0.009,0.0008,0.0028,2001-02-01,0.0002,mkt-rf-alpha,0.00965,1.10624,0.00364,1.05053,0.00364,1.05053,0.0039
-0.019,0.0041,0.0215,0.0142,0.0158,0.0298,2001-02-02,0.0002,mkt-rf-alpha,-0.00771,1.09469,-0.0083,1.03922,-0.0083,1.03922,-0.019
0.0017,-0.003,0.0099,0.0049,0.003,0.0161,2001-02-05,0.0002,mkt-rf-alpha,-0.00596,1.08739,0.00216,1.04028,0.00216,1.04028,0.0017
0.0004,0.0087,-0.006,0.0006,0.0004,-0.0036,2001-02-06,0.0002,mkt-rf-alpha,0.00406,1.09301,0.00396,1.04426,0.00396,1.04426,0.0004
-0.0086,0.0107,0.014,0.0115,0.0114,0.0233,2001-02-07,0.0002,mkt-rf-alpha,-0.00647,1.08403,4e-05,1.04364,4e-05,1.04364,-0.0086
-0.0067,-0.0007,0.0091,0.0022,0.0051,0.0074,2001-02-08,0.0002,mkt-rf-alpha,0.01036,1.09633,-0.003,1.04013,-0.003,1.04013,-0.0067
-0.0142,0.0028,0.0127,0.009,0.0133,0.0231,2001-02-09,0.0002,mkt-rf-alpha,-0.00481,1.08508,-0.00604,1.03226,-0.00604,1.03226,-0.0142
0.011,0.0017,0.0012,0.0069,0.0035,-0.006,2001-02-12,0.0002,mkt-rf-alpha,-0.00323,1.08027,0.00873,1.04163,0.00873,1.04163,0.011
-0.009,0.0055,0.0089,0.0028,0.0054,0.0114,2001-02-13,0.0002,mkt-rf-alpha,-0.00081,1.07764,-0.00167,1.03963,-0.00167,1.03963,-0.009
-0.0004,0.0014,-0.0035,-0.0052,-0.0087,-0.0096,2001-02-14,0.0002,mkt-rf-alpha,0.00839,1.08955,0.00179,1.04208,0.00179,1.04208,-0.0004
0.0093,0.0006,-0.0101,-0.0014,-0.0087,-0.0208,2001-02-15,0.0002,mkt-rf-alpha,0.01082,1.10419,0.00765,1.05232,0.00765,1.05232,0.0093
-0.0193,-0.0001,0.0191,0.014,0.0177,0.033,2001-02-16,0.0002,mkt-rf-alpha,-0.00153,1.10139,-0.01074,1.03907,-0.01074,1.03907,-0.0193
-0.0193,0.0062,0.0136,0.0147,0.0159,0.018,2001-02-20,0.0002,mkt-rf-alpha,-0.02034,1.07531,-0.01005,1.02799,-0.01005,1.02799,-0.0193
-0.0184,0.0017,0.0092,0.0007,0.0052,0.0048,2001-02-21,0.0002,mkt-rf-alpha,-0.00568,1.07359,-0.01203,1.01471,-0.01203,1.01471,-0.0184
-0.0048,-0.0085,0.0052,0.0075,0.0009,0.0005,2001-02-22,0.0002,mkt-rf-alpha,-0.00309,1.06821,-0.00638,1.00679,-0.00638,1.00679,-0.0048
-0.0038,0.0016,-0.0044,-0.0032,-0.0022,-0.0014,2001-02-23,0.0002,mkt-rf-alpha,0.00326,1.07528,-0.00105,1.00553,-0.00105,1.00553,-0.0038
