year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.42101,0.00136,3.00364,0.65583,12.96171,0,0,0,0,0,0,0,0,0,0,0.01153,z-score,277.0,all
2001,mkt-rf-alpha,0.23909,0.00066,5.87438,0.80892,64.6487,0,0,0,0,0,0,0,0,0,0,0.01017,t-value,,all
2002,mkt-rf-alpha,0.37084,0.00156,3.99141,0.38931,10.31245,0,0,0,0,0,0,0,0,0,0,0.00846,z-score,346.0,all
2002,mkt-rf-alpha,-0.0028,0.00053,4.13717,0.93411,75.33675,0,0,0,0,0,0,0,0,0,0,0.01346,t-value,,all
2003,mkt-rf-alpha,0.70479,0.00157,3.12183,0.28659,4.47792,0,0,0,0,0,0,0,0,0,0,0.00846,z-score,307.0,all
2003,mkt-rf-alpha,0.47304,0.00038,4.19644,0.72132,63.09158,0,0,0,0,0,0,0,0,0,0,0.00798,t-value,,all
2004,mkt-rf-alpha,0.80798,0.00226,2.1826,0.56417,3.09118,0,0,0,0,0,0,0,0,0,0,0.01688,z-score,425.0,all
2004,mkt-rf-alpha,0.26983,0.00039,3.41841,0.86165,42.51826,0,0,0,0,0,0,0,0,0,0,0.00791,t-value,,all
2005,mkt-rf-alpha,0.39986,0.00103,2.2164,0.62349,7.12017,0,0,0,0,0,0,0,0,0,0,0.00915,z-score,383.0,all
2005,mkt-rf-alpha,0.12872,0.0002,3.20522,0.91414,76.32712,0,0,0,0,0,0,0,0,0,0,0.00752,t-value,,all
2006,mkt-rf-alpha,0.29223,0.00095,4.12673,0.41416,8.62878,0,0,0,0,0,0,0,0,0,0,0.00709,z-score,337.0,all
2006,mkt-rf-alpha,0.22327,0.00028,4.48964,0.85127,64.67616,0,0,0,0,0,0,0,0,0,0,0.00767,t-value,,all
2007,mkt-rf-alpha,0.16726,0.00022,0.82575,0.7472,26.33802,0,0,0,0,0,0,0,0,0,0,0.0095,z-score,433.0,all
2007,mkt-rf-alpha,0.04323,0.00017,2.54974,0.96669,132.45659,0,0,0,0,0,0,0,0,0,0,0.0105,t-value,,all
2008,mkt-rf-alpha,-0.39182,0.00084,0.98657,1.14733,24.36244,0,0,0,0,0,0,0,0,0,0,0.03255,z-score,334.0,all
2008,mkt-rf-alpha,-0.46528,0.00075,1.21478,1.50792,43.90517,0,0,0,0,0,0,0,0,0,0,0.04071,t-value,,all
2009,mkt-rf-alpha,0.8105,0.00186,2.14478,0.60059,6.5706,0,0,0,0,0,0,0,0,0,0,0.01703,z-score,301.0,all
2009,mkt-rf-alpha,0.40522,-0.00027,-0.89778,1.02731,32.66142,0,0,0,0,0,0,0,0,0,0,0.02307,t-value,,all
2010,mkt-rf-alpha,0.38988,0.00069,2.25105,0.68464,14.70536,0,0,0,0,0,0,0,0,0,0,0.01191,z-score,436.0,all
2010,mkt-rf-alpha,0.24631,0.0001,1.55644,0.91291,89.59479,0,0,0,0,0,0,0,0,0,0,0.01277,t-value,,all
2011,mkt-rf-alpha,0.1895,0.00088,2.44428,0.5952,14.4152,0,0,0,0,0,0,0,0,0,0,0.01302,z-score,426.0,all
2011,mkt-rf-alpha,-0.05179,-0.0,-0.03029,1.05525,79.51089,0,0,0,0,0,0,0,0,0,0,0.01923,t-value,,all
2012,mkt-rf-alpha,0.65679,0.00181,3.59065,0.43838,5.61296,0,0,0,0,0,0,0,0,0,0,0.00929,z-score,462.0,all
2012,mkt-rf-alpha,0.21054,0.00019,2.95569,0.8746,87.13064,0,0,0,0,0,0,0,0,0,0,0.00858,t-value,,all
2013,mkt-rf-alpha,0.82482,0.00205,2.34547,0.3096,2.04018,0,0,0,0,0,0,0,0,0,0,0.01407,z-score,427.0,all
2013,mkt-rf-alpha,0.34891,8e-05,0.97908,0.85645,63.59686,0,0,0,0,0,0,0,0,0,0,0.0068,t-value,,all
2014,mkt-rf-alpha,0.16791,0.00046,1.17601,0.73362,11.67769,0,0,0,0,0,0,0,0,0,0,0.0107,z-score,523.0,all
2014,mkt-rf-alpha,0.09367,8e-05,1.33238,0.94368,92.25966,0,0,0,0,0,0,0,0,0,0,0.00802,t-value,,all
2015,mkt-rf-alpha,0.21265,0.00094,1.25435,0.64245,7.76901,0,0,0,0,0,0,0,0,0,0,0.01396,z-score,555.0,all
2015,mkt-rf-alpha,-0.02209,0.00016,1.9038,0.97034,103.69534,0,0,0,0,0,0,0,0,0,0,0.0097,t-value,,all
2016,mkt-rf-alpha,0.27825,0.00064,2.0282,0.59996,13.48238,0,0,0,0,0,0,0,0,0,0,0.00754,z-score,507.0,all
2016,mkt-rf-alpha,0.21514,-4e-05,-0.29876,1.01833,58.4188,0,0,0,0,0,0,0,0,0,0,0.01059,t-value,,all
2017,mkt-rf-alpha,0.25527,0.0007,2.30027,0.46584,5.78359,0,0,0,0,0,0,0,0,0,0,0.00616,z-score,589.0,all
2017,mkt-rf-alpha,0.20727,0.00024,3.76683,0.8482,50.8187,0,0,0,0,0,0,0,0,0,0,0.00548,t-value,,all
2018,mkt-rf-alpha,-0.01198,0.00012,0.44282,0.72487,26.09733,0,0,0,0,0,0,0,0,0,0,0.00997,z-score,569.0,all
2018,mkt-rf-alpha,-0.08249,1e-05,0.17186,0.93064,126.01422,0,0,0,0,0,0,0,0,0,0,0.00991,t-value,,all
2019,mkt-rf-alpha,0.31339,0.00053,2.6667,0.58711,19.52305,0,0,0,0,0,0,0,0,0,0,0.00596,z-score,544.0,all
2019,mkt-rf-alpha,0.27988,0.00021,3.31779,0.81202,84.7542,0,0,0,0,0,0,0,0,0,0,0.00762,t-value,,all
2020,mkt-rf-alpha,0.35599,0.00091,0.89646,0.99076,19.35741,0,0,0,0,0,0,0,0,0,0,0.03058,z-score,611.0,all
2020,mkt-rf-alpha,0.20024,0.00054,0.88294,1.30332,41.95651,0,0,0,0,0,0,0,0,0,0,0.03651,t-value,,all
2021,mkt-rf-alpha,0.28046,0.00106,3.62558,0.5733,14.26681,0,0,0,0,0,0,0,0,0,0,0.01156,z-score,598.0,all
2021,mkt-rf-alpha,0.25427,0.00018,1.80522,0.83932,62.55191,0,0,0,0,0,0,0,0,0,0,0.00944,t-value,,all
2022,mkt-rf-alpha,-0.15516,0.00077,1.53358,1.06965,26.83938,0,0,0,0,0,0,0,0,0,0,0.02364,z-score,696.0,all
2022,mkt-rf-alpha,-0.14457,0.00025,1.48743,1.13447,83.44707,0,0,0,0,0,0,0,0,0,0,0.01911,t-value,,all
2023,mkt-rf-alpha,0.23962,0.0006,1.89491,0.75206,16.45052,0,0,0,0,0,0,0,0,0,0,0.01067,z-score,690.0,all
2023,mkt-rf-alpha,0.2355,0.00019,2.00767,0.89821,65.4476,0,0,0,0,0,0,0,0,0,0,0.0105,t-value,,all
