mkt-rf,smb,hml,rmw,cma,mom,date,rf,coeff,z-score,weight_z-score,t-value,weight_t-value,equal,weight_equal,mkt-rf0
-0.0352,0.0038,0.0167,0.0158,0.0158,-0.0129,2001-01-02,0.00026,mkt-rf-alpha,-0.01338,0.9868,-0.004,0.99601,-0.004,0.99601,-0.0352
0.0539,-0.0064,-0.0433,-0.0265,-0.0587,-0.0736,2001-01-03,0.00026,mkt-rf-alpha,0.00829,0.99491,0.01626,1.01231,0.01626,1.01231,0.0539
-0.013,0.0095,-0.0025,0.0048,-0.0086,-0.0427,2001-01-04,0.00026,mkt-rf-alpha,-0.00994,0.98577,0.01661,1.02891,0.01661,1.02891,-0.013
-0.0298,0.0071,0.0238,0.0186,0.0227,0.0064,2001-01-05,0.00026,mkt-rf-alpha,0.00721,0.99299,-0.00768,1.02064,-0.00768,1.02064,-0.0298
-0.0036,-0.0041,0.0125,0.0098,0.0064,0.0019,2001-01-08,0.00026,mkt-rf-alpha,0.01065,1.00214,0.00923,1.02952,0.00923,1.02952,-0.0036
0.0051,0.0023,-0.0039,-0.0106,-0.0051,-0.0156,2001-01-09,0.00026,mkt-rf-alpha,-0.00062,1.00056,-0.00259,1.02683,-0.00259,1.02683,0.0051
0.0144,0.0045,-0.0106,-0.0193,-0.0097,-0.0119,2001-01-10,0.00026,mkt-rf-alpha,-0.00521,0.99499,-0.00339,1.02321,-0.00339,1.02321,0.0144
0.0139,0.0079,-0.029,-0.0222,-0.0193,-0.0294,2001-01-11,0.00026,mkt-rf-alpha,0.0005,0.99537,0.00092,1.02454,0.00092,1.02454,0.0139
-0.004,0.0122,-0.0062,-0.0119,-0.0005,-0.011,2001-01-12,0.00026,mkt-rf-alpha,0.00897,1.0042,0.0092,1.0353,0.0092,1.0353,-0.004
0.0068,0.013,-0.0049,0.0021,0.0043,0.0004,2001-01-16,0.00026,mkt-rf-alpha,0.01066,1.015,0.01012,1.0449,0.01012,1.0449,0.0068
0.0037,-0.0021,-0.0061,-0.0105,-0.012,-0.0178,2001-01-17,0.00026,mkt-rf-alpha,0.0069,1.02263,0.0042,1.04994,0.0042,1.04994,0.0037
0.0116,-0.0055,-0.0142,-0.0059,-0.0113,-0.0231,2001-01-18,0.00026,mkt-rf-alpha,-0.00398,1.01885,0.00655,1.05889,0.00655,1.05889,0.0116
-0.0055,-0.0022,-0.0022,-0.0032,-0.0055,-0.0119,2001-01-19,0.00026,mkt-rf-alpha,0.01032,1.03047,-0.00814,1.04935,-0.00814,1.04935,-0.0055
-0.0001,0.0005,0.0125,0.0034,0.0087,0.0113,2001-01-22,0.00026,mkt-rf-alpha,0.01515,1.04895,0.01701,1.06835,0.01701,1.06835,-0.0001
0.0157,0.0022,-0.0019,-0.0102,-0.0048,-0.0035,2001-01-23,0.00026,mkt-rf-alpha,-0.00141,1.04717,0.00599,1.07346,0.00599,1.07346,0.0157
0.0034,-0.0047,-0.0015,-0.0095,-0.0064,-0.011,2001-01-24,0.00026,mkt-rf-alpha,-0.00118,1.04551,-0.00623,1.06682,-0.00623,1.06682,0.0034
