ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
LIN,mkt-rf-alpha,0.0,0.0,1,2001,1.4252,0.0005,0.0,1,-0.0009,1.4086,0.0,0.01282,0.01282
BHP,mkt-rf-alpha,0.0,0.0,1,2001,0.7881,-0.0001,0.10563,1,-0.0002,0.4217,0.01712,0.01282,0.01282
RIO,mkt-rf-alpha,0.0,0.0,1,2001,1.2055,-0.0003,0.0,1,-0.0016,0.8697,0.0,0.01282,0.01282
SHW,mkt-rf-alpha,0.0,0.0,1,2001,1.1886,0.0005,0.0,1,0.0009,1.4918,0.0,0.01282,0.01282
SCCO,mkt-rf-alpha,0.0,0.0,1,2001,0.7428,-0.0007,0.17106,1,-0.0001,0.3328,0.02773,0.01282,0.01282
ECL,mkt-rf-alpha,0.0,0.0,1,2001,1.3772,-0.0007,0.0,1,0.0006,1.1893,0.0,0.01282,0.01282
FCX,mkt-rf-alpha,0.41947,0.41947,1,2001,0.651,0.003,0.0,1,-0.0038,0.5981,0.0,0.01282,0.01282
CRH,mkt-rf-alpha,0.0,0.0,1,2001,0.4857,-0.0003,0.0,1,-0.0012,0.5468,0.0,0.01282,0.01282
APD,mkt-rf-alpha,0.0,0.0,1,2001,1.3412,0.0002,0.0,1,0.0005,1.5402,0.0,0.01282,0.01282
NUE,mkt-rf-alpha,0.0,0.0,1,2001,1.5338,0.0012,0.0,1,-0.0015,1.2765,0.0,0.01282,0.01282
NEM,mkt-rf-alpha,0.89708,0.89708,1,2001,-0.1475,0.0015,0.0,1,-0.0017,-0.6219,0.0,0.01282,0.01282
PPG,mkt-rf-alpha,0.0,0.0,1,2001,1.4118,-0.0004,0.0,1,-0.0008,1.464,0.0,0.01282,0.01282
MLM,mkt-rf-alpha,0.0,0.0,1,2001,1.1305,-0.0002,0.0,1,0.0001,1.59,0.0,0.01282,0.01282
