year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.24227,0.0007,1.41138,0.39337,7.08713,0,0,0,0,0,0,0,0,0,0,0.00851,z-score,17.0,basic_materials
2001,mkt-rf-alpha,0.30185,0.00061,1.43657,0.61645,13.11681,0,0,0,0,0,0,0,0,0,0,0.00891,t-value,,basic_materials
2002,mkt-rf-alpha,0.82698,0.00212,1.80261,-0.02961,-0.26006,0,0,0,0,0,0,0,0,0,0,0.01879,z-score,23.0,basic_materials
2002,mkt-rf-alpha,0.19227,0.00069,1.61498,0.61068,14.83705,0,0,0,0,0,0,0,0,0,0,0.01006,t-value,,basic_materials
2003,mkt-rf-alpha,0.32208,0.0009,0.57639,0.08295,0.41748,0,0,0,0,0,0,0,0,0,0,0.02469,z-score,28.0,basic_materials
2003,mkt-rf-alpha,0.53083,0.00071,2.02306,0.579,12.96532,0,0,0,0,0,0,0,0,0,0,0.00795,t-value,,basic_materials
2004,mkt-rf-alpha,0.40807,0.00051,0.675,0.93487,7.04931,0,0,0,0,0,0,0,0,0,0,0.01404,z-score,29.0,basic_materials
2004,mkt-rf-alpha,0.25357,-3e-05,-0.08578,1.07329,14.99822,0,0,0,0,0,0,0,0,0,0,0.01159,t-value,,basic_materials
2005,mkt-rf-alpha,0.24181,0.00026,0.57661,0.70183,8.31404,0,0,0,0,0,0,0,0,0,0,0.01013,z-score,21.0,basic_materials
2005,mkt-rf-alpha,0.16402,-7e-05,-0.15522,0.95509,11.47914,0,0,0,0,0,0,0,0,0,0,0.01119,t-value,,basic_materials
2006,mkt-rf-alpha,0.2003,0.001,1.27073,0.31169,1.90957,0,0,0,0,0,0,0,0,0,0,0.01552,z-score,24.0,basic_materials
2006,mkt-rf-alpha,0.29186,0.00078,2.08505,0.75882,9.6835,0,0,0,0,0,0,0,0,0,0,0.01197,t-value,,basic_materials
2007,mkt-rf-alpha,0.18131,-0.0008,-1.01245,1.07947,12.75462,0,0,0,0,0,0,0,0,0,0,0.01813,z-score,29.0,basic_materials
2007,mkt-rf-alpha,0.19294,0.00012,0.35502,1.0672,29.15901,0,0,0,0,0,0,0,0,0,0,0.01321,t-value,,basic_materials
2008,mkt-rf-alpha,-0.67978,0.00093,0.38041,1.74621,12.9023,0,0,0,0,0,0,0,0,0,0,0.05906,z-score,17.0,basic_materials
2008,mkt-rf-alpha,-0.61042,0.00218,1.22809,2.10152,21.4209,0,0,0,0,0,0,0,0,0,0,0.05848,t-value,,basic_materials
2009,mkt-rf-alpha,0.66464,0.0018,1.39147,0.43242,3.16628,0,0,0,0,0,0,0,0,0,0,0.02059,z-score,24.0,basic_materials
2009,mkt-rf-alpha,0.60325,-1e-05,-0.01028,0.99061,16.10536,0,0,0,0,0,0,0,0,0,0,0.0219,t-value,,basic_materials
2010,mkt-rf-alpha,0.43688,0.00096,1.18615,0.57738,4.72484,0,0,0,0,0,0,0,0,0,0,0.01684,z-score,32.0,basic_materials
2010,mkt-rf-alpha,0.30092,0.00028,0.71696,0.9528,16.08474,0,0,0,0,0,0,0,0,0,0,0.0157,t-value,,basic_materials
2011,mkt-rf-alpha,-0.14893,-1e-05,-0.00631,0.48094,3.66378,0,0,0,0,0,0,0,0,0,0,0.02142,z-score,33.0,basic_materials
2011,mkt-rf-alpha,-0.1811,-0.00031,-0.59683,1.13608,19.33958,0,0,0,0,0,0,0,0,0,0,0.02249,t-value,,basic_materials
2012,mkt-rf-alpha,0.13643,0.00074,0.81605,0.62018,4.39479,0,0,0,0,0,0,0,0,0,0,0.01706,z-score,26.0,basic_materials
2012,mkt-rf-alpha,0.16199,0.00022,0.6143,0.94582,17.40037,0,0,0,0,0,0,0,0,0,0,0.01197,t-value,,basic_materials
2013,mkt-rf-alpha,-0.31743,-0.00251,-1.71507,1.16345,4.57391,0,0,0,0,0,0,0,0,0,0,0.02513,z-score,32.0,basic_materials
2013,mkt-rf-alpha,0.01304,-0.00134,-2.33238,1.21382,12.12626,0,0,0,0,0,0,0,0,0,0,0.013,t-value,,basic_materials
2014,mkt-rf-alpha,0.30095,0.00087,1.32408,0.70171,6.64037,0,0,0,0,0,0,0,0,0,0,0.01193,z-score,31.0,basic_materials
2014,mkt-rf-alpha,-0.02702,-0.00032,-0.70305,0.98255,13.20014,0,0,0,0,0,0,0,0,0,0,0.01087,t-value,,basic_materials
2015,mkt-rf-alpha,-0.1591,0.00045,0.33658,0.54484,3.70924,0,0,0,0,0,0,0,0,0,0,0.02321,z-score,37.0,basic_materials
2015,mkt-rf-alpha,-0.25498,-0.00013,-0.20355,1.13522,16.53102,0,0,0,0,0,0,0,0,0,0,0.01736,t-value,,basic_materials
2016,mkt-rf-alpha,0.35011,0.00075,0.75651,0.03239,0.23243,0,0,0,0,0,0,0,0,0,0,0.01619,z-score,35.0,basic_materials
2016,mkt-rf-alpha,0.46011,0.00038,0.69031,0.80075,10.19215,0,0,0,0,0,0,0,0,0,0,0.01314,t-value,,basic_materials
2017,mkt-rf-alpha,0.0169,0.00057,0.53187,-0.00902,-0.03186,0,0,0,0,0,0,0,0,0,0,0.01808,z-score,40.0,basic_materials
2017,mkt-rf-alpha,0.20767,0.0005,1.36053,0.76401,7.84036,0,0,0,0,0,0,0,0,0,0,0.00817,t-value,,basic_materials
2018,mkt-rf-alpha,-0.10472,-0.00019,-0.18884,0.15132,1.40957,0,0,0,0,0,0,0,0,0,0,0.01625,z-score,33.0,basic_materials
2018,mkt-rf-alpha,-0.22555,-0.00056,-1.19171,0.95999,19.16309,0,0,0,0,0,0,0,0,0,0,0.01242,t-value,,basic_materials
2019,mkt-rf-alpha,0.38334,0.0014,2.10857,-0.17198,-1.71672,0,0,0,0,0,0,0,0,0,0,0.01066,z-score,44.0,basic_materials
2019,mkt-rf-alpha,0.26485,0.00028,0.88396,0.64094,13.20207,0,0,0,0,0,0,0,0,0,0,0.00873,t-value,,basic_materials
2020,mkt-rf-alpha,0.12197,0.00075,0.29489,0.72276,5.61065,0,0,0,0,0,0,0,0,0,0,0.0443,z-score,51.0,basic_materials
2020,mkt-rf-alpha,0.14705,0.00072,0.79255,1.28999,27.94014,0,0,0,0,0,0,0,0,0,0,0.03785,t-value,,basic_materials
2021,mkt-rf-alpha,0.22448,0.00034,0.37905,0.64617,5.20501,0,0,0,0,0,0,0,0,0,0,0.01555,z-score,38.0,basic_materials
2021,mkt-rf-alpha,0.29916,0.0001,0.23912,0.88465,14.95296,0,0,0,0,0,0,0,0,0,0,0.01207,t-value,,basic_materials
2022,mkt-rf-alpha,0.12181,0.00148,1.98166,0.96469,16.15048,0,0,0,0,0,0,0,0,0,0,0.02012,z-score,35.0,basic_materials
2022,mkt-rf-alpha,-0.08759,7e-05,0.10066,1.24503,22.25727,0,0,0,0,0,0,0,0,0,0,0.0207,t-value,,basic_materials
2023,mkt-rf-alpha,0.10018,0.00014,0.32091,0.70365,11.53589,0,0,0,0,0,0,0,0,0,0,0.00974,z-score,38.0,basic_materials
2023,mkt-rf-alpha,0.17591,0.00014,0.34494,0.91894,15.80319,0,0,0,0,0,0,0,0,0,0,0.01176,t-value,,basic_materials
