ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
DIS,mkt-rf-alpha,0.0,0.0,1,2001,1.3097,-0.0014,0.06824,1,-0.0002,0.4252,0.04016,0.02128,0.02128
CMCSA,mkt-rf-alpha,0.02425,0.02425,1,2001,0.6961,0.0002,0.0,1,0.0006,1.3314,0.0,0.02128,0.02128
VZ,mkt-rf-alpha,0.01886,0.01886,1,2001,0.6508,0.0001,0.0,1,-0.0006,0.8235,0.0,0.02128,0.02128
T,mkt-rf-alpha,0.0,0.0,1,2001,0.7265,-0.0006,0.0,1,0.0001,1.0831,0.0,0.02128,0.02128
EA,mkt-rf-alpha,0.0,0.0,1,2001,0.7836,0.0032,0.0,1,0.0031,1.02,0.0,0.02128,0.02128
BCE,mkt-rf-alpha,0.0,0.0,1,2001,0.7483,-0.0004,0.0,1,0.001,1.0785,0.0,0.02128,0.02128
ORAN,mkt-rf-alpha,0.0,0.0,1,2001,0.9197,-0.0008,0.0,1,0.0,1.313,0.0,0.02128,0.02128
TTWO,mkt-rf-alpha,0.0,0.0,1,2001,1.1374,0.0016,0.0,1,0.0013,1.4561,0.0,0.02128,0.02128
TU,mkt-rf-alpha,0.0,0.0,1,2001,0.5096,-0.0022,1.63012,1,0.0013,0.1346,0.16184,0.02128,0.02128
TLK,mkt-rf-alpha,0.15021,0.15021,1,2001,0.5252,0.0004,0.0,1,-0.0027,0.5699,0.0,0.02128,0.02128
RCI,mkt-rf-alpha,0.0,0.0,1,2001,0.6688,-0.0006,0.0,1,-0.0009,0.5332,0.0,0.02128,0.02128
VOD,mkt-rf-alpha,0.02938,0.02938,1,2001,0.7381,0.0005,0.0,1,-0.0003,1.0389,0.0,0.02128,0.02128
TEF,mkt-rf-alpha,0.04633,0.04633,1,2001,0.6738,0.0003,0.0,1,-0.0004,0.9625,0.0,0.02128,0.02128
SIRI,mkt-rf-alpha,0.0,0.0,1,2001,2.2565,-0.0014,0.0,1,0.0006,1.5057,0.0,0.02128,0.02128
VIV,mkt-rf-alpha,0.0,0.0,1,2001,0.9073,0.0007,0.0,1,-0.0014,1.1024,0.0,0.02128,0.02128
OMC,mkt-rf-alpha,0.0,0.0,1,2001,0.9406,0.0004,0.0,1,-0.0005,0.9289,0.0,0.02128,0.02128
TKO,mkt-rf-alpha,0.0,0.0,1,2001,0.4095,-0.0003,0.0,1,-0.0004,0.6734,0.0,0.02128,0.02128
IPG,mkt-rf-alpha,0.0,0.0,1,2001,0.9371,-0.0018,0.0,1,-0.001,1.0816,0.0,0.02128,0.02128
WPP,mkt-rf-alpha,0.0,0.0,1,2001,1.1725,-0.0007,0.00979,1,-0.0001,0.9724,0.00576,0.02128,0.02128
MTCH,mkt-rf-alpha,0.0,0.0,1,2001,1.4892,0.0018,0.0,1,0.001,1.462,0.0,0.02128,0.02128
TIMB,mkt-rf-alpha,0.0,0.0,1,2001,1.1874,-0.0004,0.0,1,0.0006,1.3911,0.0,0.02128,0.02128
SKM,mkt-rf-alpha,0.88838,0.88838,1,2001,0.4044,0.0016,0.0,1,0.0001,1.7898,0.0,0.02128,0.02128
PSO,mkt-rf-alpha,0.0,0.0,1,2001,0.7647,-0.003,0.0,1,-0.0009,0.3417,0.0,0.02128,0.02128
NYT,mkt-rf-alpha,0.0,0.0,1,2001,0.7444,0.0,0.0,1,-0.0007,0.7837,0.0,0.02128,0.02128
KT,mkt-rf-alpha,0.0,0.0,1,2001,0.5687,-0.0006,0.0,1,-0.0007,1.5717,0.0,0.02128,0.02128
PHI,mkt-rf-alpha,0.0,0.0,1,2001,0.0792,-0.0027,0.0,1,-0.0011,0.5428,0.0,0.02128,0.02128
