year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.03239,0.00013,0.18673,0.78719,10.17128,0,0,0,0,0,0,0,0,0,0,0.01422,z-score,9.0,communication_services
2001,mkt-rf-alpha,0.04436,5e-05,0.10637,0.91411,18.28749,0,0,0,0,0,0,0,0,0,0,0.01492,t-value,,communication_services
2002,mkt-rf-alpha,0.02981,0.0007,1.34593,0.68337,13.55272,0,0,0,0,0,0,0,0,0,0,0.01325,z-score,11.0,communication_services
2002,mkt-rf-alpha,-0.07006,0.00082,1.90444,0.89055,21.25616,0,0,0,0,0,0,0,0,0,0,0.01722,t-value,,communication_services
2003,mkt-rf-alpha,0.61956,0.00082,1.30963,0.57886,7.23972,0,0,0,0,0,0,0,0,0,0,0.01242,z-score,11.0,communication_services
2003,mkt-rf-alpha,0.49602,0.00045,1.65786,0.69766,20.09318,0,0,0,0,0,0,0,0,0,0,0.00968,t-value,,communication_services
2004,mkt-rf-alpha,0.56946,0.00146,1.87732,0.58333,4.25237,0,0,0,0,0,0,0,0,0,0,0.01394,z-score,17.0,communication_services
2004,mkt-rf-alpha,0.21284,0.00032,1.16623,0.88248,18.25867,0,0,0,0,0,0,0,0,0,0,0.00917,t-value,,communication_services
2005,mkt-rf-alpha,-0.02764,-0.00025,-0.27173,0.59943,3.4844,0,0,0,0,0,0,0,0,0,0,0.01515,z-score,13.0,communication_services
2005,mkt-rf-alpha,0.01191,-0.00014,-0.63041,0.85447,20.39151,0,0,0,0,0,0,0,0,0,0,0.00708,t-value,,communication_services
2006,mkt-rf-alpha,0.30684,0.00064,1.93486,0.63309,9.18309,0,0,0,0,0,0,0,0,0,0,0.00712,z-score,16.0,communication_services
2006,mkt-rf-alpha,0.25459,0.00036,1.75941,0.87996,20.6419,0,0,0,0,0,0,0,0,0,0,0.00752,t-value,,communication_services
2007,mkt-rf-alpha,0.19886,0.00053,1.33235,0.88596,20.88718,0,0,0,0,0,0,0,0,0,0,0.01158,z-score,14.0,communication_services
2007,mkt-rf-alpha,0.141,0.00029,1.48307,0.93144,44.58634,0,0,0,0,0,0,0,0,0,0,0.01015,t-value,,communication_services
2008,mkt-rf-alpha,-0.52514,0.00094,0.75433,1.35685,19.72259,0,0,0,0,0,0,0,0,0,0,0.0399,z-score,12.0,communication_services
2008,mkt-rf-alpha,-0.6747,6e-05,0.05695,1.75273,32.70666,0,0,0,0,0,0,0,0,0,0,0.04679,t-value,,communication_services
2009,mkt-rf-alpha,0.39439,0.0005,1.06697,0.76153,15.38923,0,0,0,0,0,0,0,0,0,0,0.01437,z-score,13.0,communication_services
2009,mkt-rf-alpha,0.56343,0.00029,0.73558,0.90695,21.84422,0,0,0,0,0,0,0,0,0,0,0.01944,t-value,,communication_services
2010,mkt-rf-alpha,0.40242,0.00052,0.90256,0.8428,9.67335,0,0,0,0,0,0,0,0,0,0,0.01507,z-score,19.0,communication_services
2010,mkt-rf-alpha,0.26646,0.00021,1.12413,0.84309,30.34991,0,0,0,0,0,0,0,0,0,0,0.01194,t-value,,communication_services
2011,mkt-rf-alpha,-0.03118,-9e-05,-0.19692,0.80098,16.12219,0,0,0,0,0,0,0,0,0,0,0.01468,z-score,17.0,communication_services
2011,mkt-rf-alpha,-0.0539,-8e-05,-0.37529,1.00398,40.3322,0,0,0,0,0,0,0,0,0,0,0.01785,t-value,,communication_services
2012,mkt-rf-alpha,0.17335,0.00014,0.27414,0.79187,10.04848,0,0,0,0,0,0,0,0,0,0,0.01042,z-score,20.0,communication_services
2012,mkt-rf-alpha,0.14724,-5e-05,-0.28699,0.87452,30.39184,0,0,0,0,0,0,0,0,0,0,0.00844,t-value,,communication_services
2013,mkt-rf-alpha,0.298,0.00019,0.51435,0.68102,10.55105,0,0,0,0,0,0,0,0,0,0,0.00776,z-score,17.0,communication_services
2013,mkt-rf-alpha,0.4455,0.00049,2.99005,0.73386,25.64178,0,0,0,0,0,0,0,0,0,0,0.0064,t-value,,communication_services
