ticker,factor,coefficient,z-score,t-value,year,beta,alpha,last_z-score,last_t-value,last_alpha,last_beta,weight_z-score,weight_t-value,weight_equal
AMZN,mkt-rf-alpha,0.2074,0.2074,1,2001,1.085,0.0046,0.0,1,-0.0009,1.3948,0.0,0.00685,0.00685
HD,mkt-rf-alpha,0.0,0.0,1,2001,1.8893,0.0002,0.0,1,-0.001,1.6593,0.0,0.00685,0.00685
TM,mkt-rf-alpha,0.0,0.0,1,2001,1.0447,-0.002,0.0,1,-0.0011,0.1667,0.0,0.00685,0.00685
MCD,mkt-rf-alpha,0.0,0.0,1,2001,0.6246,-0.0009,0.0,1,-0.0007,0.7104,0.0,0.00685,0.00685
NKE,mkt-rf-alpha,0.0,0.0,1,2001,0.7898,-0.0004,0.0,1,0.0005,1.5725,0.0,0.00685,0.00685
BKNG,mkt-rf-alpha,0.0,0.0,1,2001,1.9212,0.01,0.0,1,-0.0074,1.435,0.0,0.00685,0.00685
LOW,mkt-rf-alpha,0.0,0.0,1,2001,1.6569,0.0028,0.0,1,-0.0004,1.636,0.0,0.00685,0.00685
TJX,mkt-rf-alpha,0.01197,0.01197,1,2001,1.0827,0.0012,0.0,1,0.0018,1.707,0.0,0.00685,0.00685
SBUX,mkt-rf-alpha,0.0,0.0,1,2001,1.2612,0.0001,0.0,1,0.003,1.1661,0.0,0.00685,0.00685
MAR,mkt-rf-alpha,0.0,0.0,1,2001,1.43,-0.0005,0.16168,1,0.0017,0.9077,0.00647,0.00685,0.00685
ORLY,mkt-rf-alpha,0.0,0.0,1,2001,1.6472,0.0002,0.0,1,0.0024,1.542,0.0,0.00685,0.00685
HMC,mkt-rf-alpha,0.0,0.0,1,2001,1.1118,-0.0005,0.16608,1,0.0005,0.4126,0.00665,0.00685,0.00685
F,mkt-rf-alpha,0.0,0.0,1,2001,1.1035,-0.0024,0.0,1,-0.0,0.7819,0.0,0.00685,0.00685
AZO,mkt-rf-alpha,0.40645,0.40645,1,2001,1.0138,0.0042,0.0,1,-0.0008,1.3009,0.0,0.00685,0.00685
ROST,mkt-rf-alpha,0.0,0.0,1,2001,1.3253,0.0024,0.0,1,0.0011,1.2595,0.0,0.00685,0.00685
DHI,mkt-rf-alpha,0.0,0.0,1,2001,1.5836,0.0013,0.0,1,0.0033,2.0143,0.0,0.00685,0.00685
LEN,mkt-rf-alpha,0.0,0.0,1,2001,1.4005,0.001,0.0,1,0.0038,1.5994,0.0,0.00685,0.00685
YUM,mkt-rf-alpha,0.25676,0.25676,1,2001,0.7051,0.0016,0.0,1,-0.0007,1.4797,0.0,0.00685,0.00685
RCL,mkt-rf-alpha,0.0,0.0,1,2001,2.4305,-0.0027,0.0,1,-0.0013,1.7412,0.0,0.00685,0.00685
TSCO,mkt-rf-alpha,2.67012,2.67012,1,2001,0.5613,0.0057,0.0,1,-0.0005,0.4389,0.0,0.00685,0.00685
NVR,mkt-rf-alpha,0.0,0.0,1,2001,1.2517,0.0016,0.0,1,0.0044,1.1665,0.0,0.00685,0.00685
PHM,mkt-rf-alpha,0.0,0.0,1,2001,1.7106,0.0001,0.0,1,0.0034,1.5634,0.0,0.00685,0.00685
