year,factor,total_return,alpha,alpha_t,mkt-rf,mkt_rf_t,smb,smb_t,hml,hml_t,rmw,rmw_t,cma,cma_t,mom,mom_t,vol,value,n,sector
2001,mkt-rf-alpha,0.39037,0.00108,1.77682,0.72407,10.73239,0,0,0,0,0,0,0,0,0,0,0.01257,z-score,35.0,consumer_cyclical
2001,mkt-rf-alpha,0.49282,0.00092,3.01406,0.90761,26.6228,0,0,0,0,0,0,0,0,0,0,0.01123,t-value,,consumer_cyclical
2002,mkt-rf-alpha,0.4538,0.00145,2.93355,0.49385,10.30386,0,0,0,0,0,0,0,0,0,0,0.00958,z-score,43.0,consumer_cyclical
2002,mkt-rf-alpha,0.05348,0.00042,1.37132,1.07626,36.45539,0,0,0,0,0,0,0,0,0,0,0.01394,t-value,,consumer_cyclical
2003,mkt-rf-alpha,0.63912,0.00131,2.03344,0.36912,4.49826,0,0,0,0,0,0,0,0,0,0,0.01127,z-score,32.0,consumer_cyclical
2003,mkt-rf-alpha,0.43623,0.00023,1.01962,0.87107,30.38945,0,0,0,0,0,0,0,0,0,0,0.00965,t-value,,consumer_cyclical
2004,mkt-rf-alpha,0.39293,0.00103,2.41169,0.50835,6.75463,0,0,0,0,0,0,0,0,0,0,0.00835,z-score,44.0,consumer_cyclical
2004,mkt-rf-alpha,0.28206,0.00032,1.73979,0.98463,30.3997,0,0,0,0,0,0,0,0,0,0,0.00812,t-value,,consumer_cyclical
2005,mkt-rf-alpha,0.15376,0.00039,0.88284,0.56996,6.91061,0,0,0,0,0,0,0,0,0,0,0.00849,z-score,41.0,consumer_cyclical
2005,mkt-rf-alpha,0.08796,0.00016,0.78758,1.00814,26.77877,0,0,0,0,0,0,0,0,0,0,0.0089,t-value,,consumer_cyclical
2006,mkt-rf-alpha,0.37469,0.00083,2.10779,0.48162,5.85838,0,0,0,0,0,0,0,0,0,0,0.00828,z-score,44.0,consumer_cyclical
2006,mkt-rf-alpha,0.19168,3e-05,0.13764,1.00014,23.83443,0,0,0,0,0,0,0,0,0,0,0.0087,t-value,,consumer_cyclical
2007,mkt-rf-alpha,0.1972,0.00066,1.47891,0.82622,17.40541,0,0,0,0,0,0,0,0,0,0,0.01173,z-score,50.0,consumer_cyclical
2007,mkt-rf-alpha,-0.10362,-0.0001,-0.46822,1.05006,44.22251,0,0,0,0,0,0,0,0,0,0,0.01214,t-value,,consumer_cyclical
2008,mkt-rf-alpha,-0.74616,-0.00176,-1.21549,1.55564,19.40315,0,0,0,0,0,0,0,0,0,0,0.05112,z-score,45.0,consumer_cyclical
2008,mkt-rf-alpha,-0.61464,-0.00051,-0.48957,1.51271,26.3068,0,0,0,0,0,0,0,0,0,0,0.05096,t-value,,consumer_cyclical
2009,mkt-rf-alpha,0.35912,1e-05,0.0151,0.99721,15.46239,0,0,0,0,0,0,0,0,0,0,0.02144,z-score,42.0,consumer_cyclical
2009,mkt-rf-alpha,0.58909,-5e-05,-0.08476,1.07136,19.07923,0,0,0,0,0,0,0,0,0,0,0.0257,t-value,,consumer_cyclical
2010,mkt-rf-alpha,0.1731,-0.00042,-0.58732,0.9129,8.50253,0,0,0,0,0,0,0,0,0,0,0.01833,z-score,38.0,consumer_cyclical
2010,mkt-rf-alpha,0.3057,-5e-05,-0.26354,0.86658,28.31129,0,0,0,0,0,0,0,0,0,0,0.01478,t-value,,consumer_cyclical
